Année,Juridiction,Marchandise,Type de commerce,Quantité
2022,Canada,"Sucre d'érable (tonnes métriques)",Importations,23
2022,Canada,"Sirop d'érable (litres)",Exportations,50544831
2022,Canada,"Sirop d'érable (litres)",Importations,2185707
2023,Canada,"Sucre d'érable (tonnes métriques)",Exportations,1702
2023,Canada,"Sucre d'érable (tonnes métriques)",Importations,27
2023,Canada,"Sirop d'érable (litres)",Exportations,48078120
2023,Canada,"Sirop d'érable (litres)",Importations,2034125
2024,Canada,"Sucre d'érable (tonnes métriques)",Exportations,849
2024,Canada,"Sucre d'érable (tonnes métriques)",Importations,22
2024,Canada,"Sirop d'érable (litres)",Exportations,53125088
2024,Canada,"Sirop d'érable (litres)",Importations,3369512
