Année,Juridiction,Origine,Superficie (en hectare),Nombre
2017,Colombie-Britannique,Foudre,1004756,821
2017,Colombie-Britannique,Brûlage dirigé,45,1
2017,Colombie-Britannique,Indéterminée,1,4
2018,Colombie-Britannique,Activité humaine,121608,542
2018,Colombie-Britannique,Foudre,1236349,1557
2018,Colombie-Britannique,Brûlage dirigé,15,2
2018,Colombie-Britannique,Indéterminée,2964,22
2019,Colombie-Britannique,Activité humaine,4666,360
2019,Colombie-Britannique,Foudre,15585,380
2019,Colombie-Britannique,Brûlage dirigé,38,2
2019,Colombie-Britannique,Indéterminée,1256,101
2020,Colombie-Britannique,Activité humaine,1012,369
2020,Colombie-Britannique,Foudre,11336,277
2020,Colombie-Britannique,Brûlage dirigé,123,2
2020,Colombie-Britannique,Indéterminée,2201,36
2021,Colombie-Britannique,Activité humaine,294381,636
2021,Colombie-Britannique,Foudre,570673,980
2021,Colombie-Britannique,Indéterminée,1314,47
2022,Colombie-Britannique,Activité humaine,22293,573
2022,Colombie-Britannique,Cause naturelle,112840,1223
2022,Colombie-Britannique,Brûlage dirigé,391,4
2022,Colombie-Britannique,Indéterminée,102,18
2023,Colombie-Britannique,Indéterminée,2840830,2269
2000,Manitoba,Activité humaine,1616,4
2000,Manitoba,Indéterminée,111699,353
2001,Manitoba,Activité humaine,499,6
2001,Manitoba,Indéterminée,80522,527
2002,Manitoba,Activité humaine,1535,5
2002,Manitoba,Indéterminée,95405,755
2003,Manitoba,Activité humaine,3203,2
2003,Manitoba,Indéterminée,938176,1207
2004,Manitoba,Activité humaine,1062,16
2004,Manitoba,Foudre,18074,32
2004,Manitoba,Indéterminée,8384,9
2005,Manitoba,Activité humaine,6189,111
2005,Manitoba,Foudre,69102,143
2006,Manitoba,Activité humaine,8113,262
2006,Manitoba,Foudre,159437,422
2007,Manitoba,Activité humaine,5513,221
2007,Manitoba,Foudre,331368,162
2008,Manitoba,Activité humaine,73198,254
2008,Manitoba,Foudre,77474,143
2008,Manitoba,Brûlage dirigé,4250,1
2009,Manitoba,Activité humaine,2230,117
2009,Manitoba,Foudre,642,67
2009,Manitoba,Brûlage dirigé,420,2
2010,Manitoba,Activité humaine,22397,248
2010,Manitoba,Foudre,165099,338
2010,Manitoba,Brûlage dirigé,1765,3
2011,Manitoba,Activité humaine,26229,158
2011,Manitoba,Foudre,100615,159
2011,Manitoba,Brûlage dirigé,1967,5
2011,Manitoba,Indéterminée,0,1
2012,Manitoba,Activité humaine,21027,205
2012,Manitoba,Foudre,195861,293
2012,Manitoba,Indéterminée,620,1
2013,Manitoba,Activité humaine,896,192
2013,Manitoba,Foudre,1114519,302
2013,Manitoba,Brûlage dirigé,42,2
2014,Manitoba,Activité humaine,1172,115
2014,Manitoba,Foudre,37936,130
2014,Manitoba,Brûlage dirigé,100,1
2015,Manitoba,Activité humaine,6779,164
2015,Manitoba,Foudre,61353,295
2015,Manitoba,Brûlage dirigé,1055,2
2015,Manitoba,Indéterminée,6,2
2016,Manitoba,Activité humaine,6701,108
2016,Manitoba,Foudre,31707,96
2016,Manitoba,Brûlage dirigé,750,2
2016,Manitoba,Indéterminée,0,1
2017,Manitoba,Activité humaine,1368,143
2017,Manitoba,Foudre,223056,423
2018,Manitoba,Activité humaine,78904,236
2018,Manitoba,Foudre,155521,245
2018,Manitoba,Brûlage dirigé,3,1
2018,Manitoba,Indéterminée,50,1
2019,Manitoba,Activité humaine,7940,149
2019,Manitoba,Foudre,63324,133
2019,Manitoba,Brûlage dirigé,39,1
2019,Manitoba,Indéterminée,33,1
2020,Manitoba,Activité humaine,34268,81
2020,Manitoba,Foudre,15035,74
2021,Manitoba,Activité humaine,243012,119
2021,Manitoba,Foudre,883671,369
2021,Manitoba,Brûlage dirigé,40,1
2021,Manitoba,Indéterminée,16038,8
2022,Manitoba,Activité humaine,3809,51
2022,Manitoba,Cause naturelle,187968,173
2022,Manitoba,Brûlage dirigé,329,2
2022,Manitoba,Indéterminée,1,1
2023,Manitoba,Indéterminée,189913,305
2000,Nouveau-Brunswick,Activité humaine,372,265
2000,Nouveau-Brunswick,Foudre,71,20
2000,Nouveau-Brunswick,Indéterminée,50,57
2001,Nouveau-Brunswick,Activité humaine,487,343
2001,Nouveau-Brunswick,Foudre,25,56
2001,Nouveau-Brunswick,Indéterminée,264,97
2002,Nouveau-Brunswick,Activité humaine,256,211
2002,Nouveau-Brunswick,Foudre,33,55
2002,Nouveau-Brunswick,Indéterminée,37,51
2003,Nouveau-Brunswick,Activité humaine,215,182
2003,Nouveau-Brunswick,Foudre,4,22
2003,Nouveau-Brunswick,Indéterminée,20,26
2004,Nouveau-Brunswick,Activité humaine,389,212
2004,Nouveau-Brunswick,Foudre,5,8
2004,Nouveau-Brunswick,Indéterminée,68,36
2005,Nouveau-Brunswick,Activité humaine,459,258
2005,Nouveau-Brunswick,Foudre,10,25
2005,Nouveau-Brunswick,Indéterminée,33,26
2006,Nouveau-Brunswick,Activité humaine,574,249
2006,Nouveau-Brunswick,Foudre,9,27
2006,Nouveau-Brunswick,Indéterminée,42,34
2007,Nouveau-Brunswick,Activité humaine,384,254
2007,Nouveau-Brunswick,Foudre,25,30
2007,Nouveau-Brunswick,Indéterminée,183,34
2008,Nouveau-Brunswick,Activité humaine,126,140
2008,Nouveau-Brunswick,Foudre,7,13
2008,Nouveau-Brunswick,Indéterminée,10,15
2009,Nouveau-Brunswick,Activité humaine,234,182
