Année,Juridiction,Superficie (en hectare)
2015,Manitoba,11353347
2015,Nouveau-Brunswick,4185080
2015,Terre-Neuve-et-Labrador,1493405
2015,Territoires du Nord-Ouest,0
2015,Nouvelle-Écosse,1301299
2015,Nunavut,0
2015,Ontario,24839080
2015,Île-du-Prince-Édouard,446
2015,Québec,43651083
2015,Saskatchewan,5195176
2015,Yukon,0
2016,Canada,167797442
2016,Alberta,20240950
2016,Colombie-Britannique,51953410
2016,Manitoba,11373482
2016,Nouveau-Brunswick,4190695
2016,Terre-Neuve-et-Labrador,1493405
2016,Territoires du Nord-Ouest,0
2016,Nouvelle-Écosse,1308691
2016,Nunavut,0
2016,Ontario,26788856
2016,Île-du-Prince-Édouard,446
2016,Québec,45155197
2016,Saskatchewan,5292756
2016,Yukon,0
2017,Canada,169865528
2017,Alberta,23060640
2017,Colombie-Britannique,50473380
2017,Manitoba,11373478
2017,Nouveau-Brunswick,4208422
2017,Terre-Neuve-et-Labrador,1417834
2017,Territoires du Nord-Ouest,0
2017,Nouvelle-Écosse,1310665
2017,Nunavut,0
2017,Ontario,28171032
2017,Île-du-Prince-Édouard,0
2017,Québec,44557321
2017,Saskatchewan,5292756
2017,Yukon,0
2018,Canada,164476024
2018,Alberta,20270763
2018,Colombie-Britannique,50352453
2018,Manitoba,11091302
2018,Nouveau-Brunswick,4234837
2018,Terre-Neuve-et-Labrador,1417834
2018,Territoires du Nord-Ouest,0
2018,Nouvelle-Écosse,1272577
2018,Nunavut,0
2018,Ontario,27608513
2018,Île-du-Prince-Édouard,0
2018,Québec,42231286
2018,Saskatchewan,5996459
2018,Yukon,0
2019,Canada,168002236
2019,Alberta,21149524
2019,Colombie-Britannique,51811125
2019,Manitoba,11091305
2019,Nouveau-Brunswick,4235954
2019,Terre-Neuve-et-Labrador,1399901
2019,Territoires du Nord-Ouest,0
2019,Nouvelle-Écosse,1284871
2019,Nunavut,0
2019,Ontario,27539123
2019,Île-du-Prince-Édouard,0
2019,Québec,43493594
2019,Saskatchewan,5996839
2019,Yukon,0
2020,Canada,164290088
2020,Alberta,21429312
2020,Colombie-Britannique,46517615
2020,Manitoba,10927934
2020,Nouveau-Brunswick,4233777
2020,Terre-Neuve-et-Labrador,1358643
2020,Territoires du Nord-Ouest,0
2020,Nouvelle-Écosse,1278688
