Année,Juridiction,Superficie (en hectare)
2014,Terre-Neuve-et-Labrador,0
2014,Territoires du Nord-Ouest,0
2014,Nouvelle-Écosse,0
2014,Nunavut,0
2014,Ontario,11113
2014,Île-du-Prince-Édouard,0
2014,Québec,40
2014,Saskatchewan,0
2014,Yukon,0
2015,Canada,19763.9216657247
2015,Alberta,817
2015,Colombie-Britannique,12213.3
2015,Manitoba,0
2015,Nouveau-Brunswick,0
2015,Terre-Neuve-et-Labrador,56
2015,Territoires du Nord-Ouest,0
2015,Nouvelle-Écosse,0
2015,Nunavut,0
2015,Ontario,6677.62166572471
2015,Île-du-Prince-Édouard,0
2015,Québec,0
2015,Saskatchewan,0
2015,Yukon,0
2016,Canada,29904.2754820036
2016,Alberta,1093
2016,Colombie-Britannique,11528.5
2016,Manitoba,0
2016,Nouveau-Brunswick,0
2016,Terre-Neuve-et-Labrador,4737
2016,Territoires du Nord-Ouest,0
2016,Nouvelle-Écosse,0
2016,Nunavut,0
2016,Ontario,12545.7754820036
2016,Île-du-Prince-Édouard,0
2016,Québec,0
2016,Saskatchewan,0
2016,Yukon,0
2017,Canada,18924.4917479981
2017,Alberta,458
2017,Colombie-Britannique,4070
2017,Manitoba,0
2017,Nouveau-Brunswick,0
2017,Terre-Neuve-et-Labrador,4455
2017,Territoires du Nord-Ouest,0
2017,Nouvelle-Écosse,0
2017,Nunavut,0
2017,Ontario,9941.49174799806
2017,Île-du-Prince-Édouard,0
2017,Québec,0
2017,Saskatchewan,0
2017,Yukon,0
2018,Canada,6857.23679305744
2018,Alberta,991
2018,Colombie-Britannique,662.6
2018,Manitoba,0
2018,Nouveau-Brunswick,0
2018,Terre-Neuve-et-Labrador,0
2018,Territoires du Nord-Ouest,0
2018,Nouvelle-Écosse,0
2018,Nunavut,0
2018,Ontario,5203.63679305744
2018,Île-du-Prince-Édouard,0
2018,Québec,0
2018,Saskatchewan,0
2018,Yukon,0
2019,Canada,8802
2019,Alberta,379
2019,Colombie-Britannique,752
2019,Manitoba,0
2019,Nouveau-Brunswick,0
2019,Terre-Neuve-et-Labrador,0
2019,Territoires du Nord-Ouest,0
2019,Nouvelle-Écosse,0
2019,Ontario,7671
2019,Île-du-Prince-Édouard,0
2019,Québec,0
2019,Saskatchewan,0
2019,Yukon,0
2020,Canada,9260.4
2020,Alberta,2939
2020,Colombie-Britannique,1761.8
2020,Manitoba,0
2020,Nouveau-Brunswick,0
2020,Terre-Neuve-et-Labrador,0
2020,Territoires du Nord-Ouest,0
2020,Nouvelle-Écosse,0
