Année,Juridiction,Insecte espèce,Superficie défoliée (hectares)
2019,Colombie-Britannique,Diprion du sapin,0
2019,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",370
2019,Colombie-Britannique,Arpenteuse de Bruce,751
2019,Colombie-Britannique,Livrée des forêts,0
2019,Colombie-Britannique,Arpenteuse de la pruche,0
2019,Colombie-Britannique,Tordeuse du pin gris,0
2019,Colombie-Britannique,Tordeuse du tremble,0
2019,Colombie-Britannique,Dendroctone du pin ponderosa,178140
2019,Colombie-Britannique,Spongieuse,0
2019,Colombie-Britannique,"Dendroctone de l'épinette",515447
2019,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",3885
2019,Colombie-Britannique,Diprion de Swaine,0
2019,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,130205
2019,Colombie-Britannique,"Tordeuse occidentale de l'épinette",0
2020,Colombie-Britannique,Noctuelle décolorée,0
2020,Colombie-Britannique,Diprion du sapin,0
2020,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",0
2020,Colombie-Britannique,Arpenteuse de Bruce,0
2020,Colombie-Britannique,Livrée des forêts,0
2020,Colombie-Britannique,Arpenteuse de la pruche,0
2020,Colombie-Britannique,Tordeuse du pin gris,0
2020,Colombie-Britannique,Tordeuse du tremble,277057
2020,Colombie-Britannique,Dendroctone du pin ponderosa,111963
2020,Colombie-Britannique,Spongieuse,0
2020,Colombie-Britannique,"Dendroctone de l'épinette",525271
2020,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",7267
2020,Colombie-Britannique,Diprion de Swaine,0
2020,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,62711
2020,Colombie-Britannique,"Tordeuse occidentale de l'épinette",13981
2021,Colombie-Britannique,Noctuelle décolorée,0
2021,Colombie-Britannique,Diprion du sapin,0
2021,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",217
2021,Colombie-Britannique,Arpenteuse de Bruce,0
2021,Colombie-Britannique,Livrée des forêts,51
2021,Colombie-Britannique,Arpenteuse de la pruche,0
2021,Colombie-Britannique,Tordeuse du pin gris,0
2021,Colombie-Britannique,Tordeuse du tremble,222339
2021,Colombie-Britannique,Dendroctone du pin ponderosa,73238
2021,Colombie-Britannique,Spongieuse,0
2021,Colombie-Britannique,"Dendroctone de l'épinette",470668
2021,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",36449
2021,Colombie-Britannique,Diprion de Swaine,0
2021,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,310049
2021,Colombie-Britannique,"Tordeuse occidentale de l'épinette",0
2022,Colombie-Britannique,Noctuelle décolorée,0
2022,Colombie-Britannique,Diprion du sapin,0
2022,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",19103
2022,Colombie-Britannique,Arpenteuse de Bruce,0
2022,Colombie-Britannique,Livrée des forêts,0
2022,Colombie-Britannique,Arpenteuse de la pruche,37639
2022,Colombie-Britannique,Tordeuse du pin gris,0
2022,Colombie-Britannique,Tordeuse du tremble,12199
2022,Colombie-Britannique,Dendroctone du pin ponderosa,50820
2022,Colombie-Britannique,Spongieuse,0
2022,Colombie-Britannique,"Dendroctone de l'épinette",143569
2022,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",0
2022,Colombie-Britannique,Diprion de Swaine,0
2022,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,60585
2022,Colombie-Britannique,"Tordeuse occidentale de l'épinette",141611
2023,Colombie-Britannique,Noctuelle décolorée,0
2023,Colombie-Britannique,Diprion du sapin,0
2023,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",22155
2023,Colombie-Britannique,Arpenteuse de Bruce,0
2023,Colombie-Britannique,Livrée des forêts,0
2023,Colombie-Britannique,Arpenteuse de la pruche,68192
2023,Colombie-Britannique,Tordeuse du pin gris,0
2023,Colombie-Britannique,Tordeuse du tremble,17292
2023,Colombie-Britannique,Dendroctone du pin ponderosa,42845
2023,Colombie-Britannique,Spongieuse,0
2023,Colombie-Britannique,"Dendroctone de l'épinette",95633
2023,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",3221
2023,Colombie-Britannique,Diprion de Swaine,0
2023,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,284756
2023,Colombie-Britannique,"Tordeuse occidentale de l'épinette",319397
2010,Manitoba,Noctuelle décolorée,0
2010,Manitoba,Diprion du sapin,0
2010,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2010,Manitoba,Arpenteuse de Bruce,0
2010,Manitoba,Livrée des forêts,0
2010,Manitoba,Arpenteuse de la pruche,0
2010,Manitoba,Tordeuse du pin gris,0
2010,Manitoba,Tordeuse du tremble,0
2010,Manitoba,Dendroctone du pin ponderosa,0
2010,Manitoba,Spongieuse,0
2010,Manitoba,"Dendroctone de l'épinette",0
2010,Manitoba,"Tordeuse des bourgeons de l'épinette",40550
2010,Manitoba,Diprion de Swaine,0
2010,Manitoba,Tordeuse bisannuelle de l’épinette,0
2010,Manitoba,"Tordeuse occidentale de l'épinette",0
2011,Manitoba,Noctuelle décolorée,0
2011,Manitoba,Diprion du sapin,0
2011,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2011,Manitoba,Arpenteuse de Bruce,0
2011,Manitoba,Livrée des forêts,0
2011,Manitoba,Arpenteuse de la pruche,0
2011,Manitoba,Tordeuse du pin gris,0
2011,Manitoba,Tordeuse du tremble,0
2011,Manitoba,Dendroctone du pin ponderosa,0
2011,Manitoba,Spongieuse,0
2011,Manitoba,"Dendroctone de l'épinette",0
2011,Manitoba,"Tordeuse des bourgeons de l'épinette",754
2011,Manitoba,Diprion de Swaine,0
2011,Manitoba,Tordeuse bisannuelle de l’épinette,0
2011,Manitoba,"Tordeuse occidentale de l'épinette",0
2012,Manitoba,Noctuelle décolorée,0
2012,Manitoba,Diprion du sapin,0
2012,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2012,Manitoba,Arpenteuse de Bruce,0
2012,Manitoba,Livrée des forêts,0
2012,Manitoba,Arpenteuse de la pruche,0
2012,Manitoba,Tordeuse du pin gris,0
2012,Manitoba,Tordeuse du tremble,0
2012,Manitoba,Dendroctone du pin ponderosa,0
2012,Manitoba,Spongieuse,0
2012,Manitoba,"Dendroctone de l'épinette",0
2012,Manitoba,"Tordeuse des bourgeons de l'épinette",240
2012,Manitoba,Diprion de Swaine,0
2012,Manitoba,Tordeuse bisannuelle de l’épinette,0
2012,Manitoba,"Tordeuse occidentale de l'épinette",0
2013,Manitoba,Noctuelle décolorée,0
2013,Manitoba,Diprion du sapin,0
2013,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2013,Manitoba,Arpenteuse de Bruce,0
2013,Manitoba,Livrée des forêts,210361
2013,Manitoba,Arpenteuse de la pruche,0
2013,Manitoba,Tordeuse du pin gris,311
2013,Manitoba,Tordeuse du tremble,0
2013,Manitoba,Dendroctone du pin ponderosa,0
2013,Manitoba,Spongieuse,0
2013,Manitoba,"Dendroctone de l'épinette",0
2013,Manitoba,"Tordeuse des bourgeons de l'épinette",1163
2013,Manitoba,Diprion de Swaine,0
2013,Manitoba,Tordeuse bisannuelle de l’épinette,0
2013,Manitoba,"Tordeuse occidentale de l'épinette",0
2014,Manitoba,Noctuelle décolorée,0
2014,Manitoba,Diprion du sapin,0
2014,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2014,Manitoba,Arpenteuse de Bruce,0
2014,Manitoba,Livrée des forêts,904126
2014,Manitoba,Arpenteuse de la pruche,0
2014,Manitoba,Tordeuse du pin gris,4346
2014,Manitoba,Tordeuse du tremble,0
2014,Manitoba,Dendroctone du pin ponderosa,0
2014,Manitoba,Spongieuse,0
2014,Manitoba,"Dendroctone de l'épinette",0
2014,Manitoba,"Tordeuse des bourgeons de l'épinette",0
2014,Manitoba,Diprion de Swaine,0
2014,Manitoba,Tordeuse bisannuelle de l’épinette,0
2014,Manitoba,"Tordeuse occidentale de l'épinette",0
2015,Manitoba,Noctuelle décolorée,0
2015,Manitoba,Diprion du sapin,0
2015,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2015,Manitoba,Arpenteuse de Bruce,0
2015,Manitoba,Livrée des forêts,1411322
2015,Manitoba,Arpenteuse de la pruche,0
2015,Manitoba,Tordeuse du pin gris,3285
2015,Manitoba,Tordeuse du tremble,0
2015,Manitoba,Dendroctone du pin ponderosa,0
2015,Manitoba,Spongieuse,0
2015,Manitoba,"Dendroctone de l'épinette",0
2015,Manitoba,"Tordeuse des bourgeons de l'épinette",0
2015,Manitoba,Diprion de Swaine,0
2015,Manitoba,Tordeuse bisannuelle de l’épinette,0
2015,Manitoba,"Tordeuse occidentale de l'épinette",0
2016,Manitoba,Noctuelle décolorée,0
2016,Manitoba,Diprion du sapin,0
2016,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2016,Manitoba,Arpenteuse de Bruce,0
2016,Manitoba,Livrée des forêts,1411322
2016,Manitoba,Arpenteuse de la pruche,0
2016,Manitoba,Tordeuse du pin gris,199799
2016,Manitoba,Tordeuse du tremble,0
2016,Manitoba,Dendroctone du pin ponderosa,0
2016,Manitoba,Spongieuse,0
2016,Manitoba,"Dendroctone de l'épinette",0
2016,Manitoba,"Tordeuse des bourgeons de l'épinette",12597
2016,Manitoba,Diprion de Swaine,0
2016,Manitoba,Tordeuse bisannuelle de l’épinette,0
2016,Manitoba,"Tordeuse occidentale de l'épinette",0
2017,Manitoba,Noctuelle décolorée,0
2017,Manitoba,Diprion du sapin,0
2017,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2017,Manitoba,Arpenteuse de Bruce,0
2017,Manitoba,Livrée des forêts,403704
2017,Manitoba,Arpenteuse de la pruche,0
2017,Manitoba,Tordeuse du pin gris,638181
2017,Manitoba,Tordeuse du tremble,0
2017,Manitoba,Dendroctone du pin ponderosa,0
2017,Manitoba,Spongieuse,0
2017,Manitoba,"Dendroctone de l'épinette",0
2017,Manitoba,"Tordeuse des bourgeons de l'épinette",388
2017,Manitoba,Diprion de Swaine,0
2017,Manitoba,Tordeuse bisannuelle de l’épinette,0
2017,Manitoba,"Tordeuse occidentale de l'épinette",0
2018,Manitoba,Noctuelle décolorée,0
2018,Manitoba,Diprion du sapin,0
2018,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2018,Manitoba,Arpenteuse de Bruce,0
2018,Manitoba,Livrée des forêts,33946
2018,Manitoba,Arpenteuse de la pruche,0
2018,Manitoba,Tordeuse du pin gris,552118
2018,Manitoba,Tordeuse du tremble,0
2018,Manitoba,Dendroctone du pin ponderosa,0
2018,Manitoba,Spongieuse,0
2018,Manitoba,"Dendroctone de l'épinette",0
2018,Manitoba,"Tordeuse des bourgeons de l'épinette",0
2018,Manitoba,Diprion de Swaine,0
2018,Manitoba,Tordeuse bisannuelle de l’épinette,0
2018,Manitoba,"Tordeuse occidentale de l'épinette",0
2019,Manitoba,Noctuelle décolorée,0
2019,Manitoba,Diprion du sapin,0
2019,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2019,Manitoba,Arpenteuse de Bruce,0
2019,Manitoba,Livrée des forêts,714
2019,Manitoba,Arpenteuse de la pruche,0
2019,Manitoba,Tordeuse du pin gris,1025850
2019,Manitoba,Tordeuse du tremble,0
2019,Manitoba,Dendroctone du pin ponderosa,0
2019,Manitoba,Spongieuse,0
2019,Manitoba,"Dendroctone de l'épinette",0
2019,Manitoba,"Tordeuse des bourgeons de l'épinette",34305
2019,Manitoba,Diprion de Swaine,0
2019,Manitoba,Tordeuse bisannuelle de l’épinette,0
2019,Manitoba,"Tordeuse occidentale de l'épinette",0
2020,Manitoba,Noctuelle décolorée,0
2020,Manitoba,Diprion du sapin,0
2020,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2020,Manitoba,Arpenteuse de Bruce,0
2020,Manitoba,Livrée des forêts,3067
2020,Manitoba,Arpenteuse de la pruche,0
2020,Manitoba,Tordeuse du pin gris,2580000
2020,Manitoba,Tordeuse du tremble,0
2020,Manitoba,Dendroctone du pin ponderosa,0
2020,Manitoba,Spongieuse,0
2020,Manitoba,"Dendroctone de l'épinette",0
2020,Manitoba,"Tordeuse des bourgeons de l'épinette",104433
2020,Manitoba,Diprion de Swaine,0
2020,Manitoba,Tordeuse bisannuelle de l’épinette,0
2020,Manitoba,"Tordeuse occidentale de l'épinette",0
2021,Manitoba,Noctuelle décolorée,0
2021,Manitoba,Diprion du sapin,0
2021,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2021,Manitoba,Arpenteuse de Bruce,0
2021,Manitoba,Livrée des forêts,34937
2021,Manitoba,Arpenteuse de la pruche,0
2021,Manitoba,Tordeuse du pin gris,2030000
2021,Manitoba,Tordeuse du tremble,0
2021,Manitoba,Dendroctone du pin ponderosa,0
2021,Manitoba,Spongieuse,0
2021,Manitoba,"Dendroctone de l'épinette",0
2021,Manitoba,"Tordeuse des bourgeons de l'épinette",156055
2021,Manitoba,Diprion de Swaine,0
2021,Manitoba,Tordeuse bisannuelle de l’épinette,0
2021,Manitoba,"Tordeuse occidentale de l'épinette",0
2022,Manitoba,Noctuelle décolorée,0
2022,Manitoba,Diprion du sapin,0
2022,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2022,Manitoba,Arpenteuse de Bruce,0
2022,Manitoba,Livrée des forêts,151956
2022,Manitoba,Arpenteuse de la pruche,0
2022,Manitoba,Tordeuse du pin gris,673851
2022,Manitoba,Tordeuse du tremble,0
2022,Manitoba,Dendroctone du pin ponderosa,0
2022,Manitoba,Spongieuse,0
2022,Manitoba,"Dendroctone de l'épinette",0
2022,Manitoba,"Tordeuse des bourgeons de l'épinette",19422
2022,Manitoba,Diprion de Swaine,0
2022,Manitoba,Tordeuse bisannuelle de l’épinette,0
2022,Manitoba,"Tordeuse occidentale de l'épinette",0
2023,Manitoba,Noctuelle décolorée,0
2023,Manitoba,Diprion du sapin,0
2023,Manitoba,"Tordeuse à tête noire de l'Ouest",0
2023,Manitoba,Arpenteuse de Bruce,0
2023,Manitoba,Livrée des forêts,151956
2023,Manitoba,Arpenteuse de la pruche,0
2023,Manitoba,Tordeuse du pin gris,673851
2023,Manitoba,Tordeuse du tremble,0
2023,Manitoba,Dendroctone du pin ponderosa,0
2023,Manitoba,Spongieuse,0
2023,Manitoba,"Dendroctone de l'épinette",0
2023,Manitoba,"Tordeuse des bourgeons de l'épinette",19422
2023,Manitoba,Diprion de Swaine,0
2023,Manitoba,Tordeuse bisannuelle de l’épinette,0
2023,Manitoba,"Tordeuse occidentale de l'épinette",0
2010,Nouveau-Brunswick,Noctuelle décolorée,0
2010,Nouveau-Brunswick,Diprion du sapin,46600
2010,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2010,Nouveau-Brunswick,Arpenteuse de Bruce,0
2010,Nouveau-Brunswick,Livrée des forêts,2001
2010,Nouveau-Brunswick,Arpenteuse de la pruche,0
2010,Nouveau-Brunswick,Tordeuse du pin gris,0
2010,Nouveau-Brunswick,Tordeuse du tremble,0
2010,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2010,Nouveau-Brunswick,Spongieuse,0
2010,Nouveau-Brunswick,"Dendroctone de l'épinette",19
2010,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",0
2010,Nouveau-Brunswick,Diprion de Swaine,0
2010,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2010,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2011,Nouveau-Brunswick,Noctuelle décolorée,0
2011,Nouveau-Brunswick,Diprion du sapin,45700
2011,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2011,Nouveau-Brunswick,Arpenteuse de Bruce,0
2011,Nouveau-Brunswick,Livrée des forêts,7500
2011,Nouveau-Brunswick,Arpenteuse de la pruche,0
2011,Nouveau-Brunswick,Tordeuse du pin gris,0
2011,Nouveau-Brunswick,Tordeuse du tremble,800
2011,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2011,Nouveau-Brunswick,Spongieuse,0
2011,Nouveau-Brunswick,"Dendroctone de l'épinette",20
2011,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",0
2011,Nouveau-Brunswick,Diprion de Swaine,0
2011,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2011,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2012,Nouveau-Brunswick,Noctuelle décolorée,0
2012,Nouveau-Brunswick,Diprion du sapin,45700
2012,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2012,Nouveau-Brunswick,Arpenteuse de Bruce,0
2012,Nouveau-Brunswick,Livrée des forêts,7500
2012,Nouveau-Brunswick,Arpenteuse de la pruche,0
2012,Nouveau-Brunswick,Tordeuse du pin gris,0
2012,Nouveau-Brunswick,Tordeuse du tremble,800
2012,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2012,Nouveau-Brunswick,Spongieuse,0
2012,Nouveau-Brunswick,"Dendroctone de l'épinette",20
2012,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",0
2012,Nouveau-Brunswick,Diprion de Swaine,0
2012,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2012,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2013,Nouveau-Brunswick,Noctuelle décolorée,0
2013,Nouveau-Brunswick,Diprion du sapin,0
2013,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2013,Nouveau-Brunswick,Arpenteuse de Bruce,0
2013,Nouveau-Brunswick,Livrée des forêts,4000
2013,Nouveau-Brunswick,Arpenteuse de la pruche,0
2013,Nouveau-Brunswick,Tordeuse du pin gris,0
2013,Nouveau-Brunswick,Tordeuse du tremble,0
2013,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2013,Nouveau-Brunswick,Spongieuse,0
2013,Nouveau-Brunswick,"Dendroctone de l'épinette",0
2013,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",0
2013,Nouveau-Brunswick,Diprion de Swaine,0
2013,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2013,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2014,Nouveau-Brunswick,Noctuelle décolorée,0
2014,Nouveau-Brunswick,Diprion du sapin,0
2014,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2014,Nouveau-Brunswick,Arpenteuse de Bruce,0
2014,Nouveau-Brunswick,Livrée des forêts,0
2014,Nouveau-Brunswick,Arpenteuse de la pruche,0
2014,Nouveau-Brunswick,Tordeuse du pin gris,0
2014,Nouveau-Brunswick,Tordeuse du tremble,0
2014,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2014,Nouveau-Brunswick,Spongieuse,0
2014,Nouveau-Brunswick,"Dendroctone de l'épinette",0
2014,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",0
2014,Nouveau-Brunswick,Diprion de Swaine,0
2014,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2014,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2015,Nouveau-Brunswick,Noctuelle décolorée,0
2015,Nouveau-Brunswick,Diprion du sapin,0
2015,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2015,Nouveau-Brunswick,Arpenteuse de Bruce,0
2015,Nouveau-Brunswick,Livrée des forêts,0
2015,Nouveau-Brunswick,Arpenteuse de la pruche,0
2015,Nouveau-Brunswick,Tordeuse du pin gris,0
2015,Nouveau-Brunswick,Tordeuse du tremble,0
2015,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2015,Nouveau-Brunswick,Spongieuse,0
2015,Nouveau-Brunswick,"Dendroctone de l'épinette",0
2015,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",0
2015,Nouveau-Brunswick,Diprion de Swaine,0
2015,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2015,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2016,Nouveau-Brunswick,Noctuelle décolorée,0
2016,Nouveau-Brunswick,Diprion du sapin,0
2016,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2016,Nouveau-Brunswick,Arpenteuse de Bruce,0
2016,Nouveau-Brunswick,Livrée des forêts,0
2016,Nouveau-Brunswick,Arpenteuse de la pruche,0
2016,Nouveau-Brunswick,Tordeuse du pin gris,0
2016,Nouveau-Brunswick,Tordeuse du tremble,0
2016,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2016,Nouveau-Brunswick,Spongieuse,0
2016,Nouveau-Brunswick,"Dendroctone de l'épinette",0
2016,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",0
2016,Nouveau-Brunswick,Diprion de Swaine,0
2016,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2016,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2017,Nouveau-Brunswick,Noctuelle décolorée,0
2017,Nouveau-Brunswick,Diprion du sapin,0
2017,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2017,Nouveau-Brunswick,Arpenteuse de Bruce,0
2017,Nouveau-Brunswick,Livrée des forêts,0
2017,Nouveau-Brunswick,Arpenteuse de la pruche,0
2017,Nouveau-Brunswick,Tordeuse du pin gris,0
2017,Nouveau-Brunswick,Tordeuse du tremble,0
2017,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2017,Nouveau-Brunswick,Spongieuse,0
2017,Nouveau-Brunswick,"Dendroctone de l'épinette",0
2017,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",875
2017,Nouveau-Brunswick,Diprion de Swaine,0
2017,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2017,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2018,Nouveau-Brunswick,Noctuelle décolorée,0
2018,Nouveau-Brunswick,Diprion du sapin,0
2018,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2018,Nouveau-Brunswick,Arpenteuse de Bruce,0
2018,Nouveau-Brunswick,Livrée des forêts,0
2018,Nouveau-Brunswick,Arpenteuse de la pruche,0
2018,Nouveau-Brunswick,Tordeuse du pin gris,0
2018,Nouveau-Brunswick,Tordeuse du tremble,0
2018,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2018,Nouveau-Brunswick,Spongieuse,0
2018,Nouveau-Brunswick,"Dendroctone de l'épinette",0
2018,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",440
2018,Nouveau-Brunswick,Diprion de Swaine,0
2018,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2018,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2019,Nouveau-Brunswick,Noctuelle décolorée,0
2019,Nouveau-Brunswick,Diprion du sapin,0
2019,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2019,Nouveau-Brunswick,Arpenteuse de Bruce,0
2019,Nouveau-Brunswick,Livrée des forêts,0
2019,Nouveau-Brunswick,Arpenteuse de la pruche,0
2019,Nouveau-Brunswick,Tordeuse du pin gris,0
2019,Nouveau-Brunswick,Tordeuse du tremble,0
2019,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2019,Nouveau-Brunswick,Spongieuse,0
2019,Nouveau-Brunswick,"Dendroctone de l'épinette",0
2019,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",0
2019,Nouveau-Brunswick,Diprion de Swaine,0
2019,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2019,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2020,Nouveau-Brunswick,Noctuelle décolorée,0
2020,Nouveau-Brunswick,Diprion du sapin,0
2020,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2020,Nouveau-Brunswick,Arpenteuse de Bruce,0
2020,Nouveau-Brunswick,Livrée des forêts,0
2020,Nouveau-Brunswick,Arpenteuse de la pruche,0
2020,Nouveau-Brunswick,Tordeuse du pin gris,0
2020,Nouveau-Brunswick,Tordeuse du tremble,0
2020,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2020,Nouveau-Brunswick,Spongieuse,0
2020,Nouveau-Brunswick,"Dendroctone de l'épinette",0
2020,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",0
2020,Nouveau-Brunswick,Diprion de Swaine,0
2020,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2020,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2021,Nouveau-Brunswick,Noctuelle décolorée,0
2021,Nouveau-Brunswick,Diprion du sapin,0
2021,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2021,Nouveau-Brunswick,Arpenteuse de Bruce,0
2021,Nouveau-Brunswick,Livrée des forêts,0
2021,Nouveau-Brunswick,Arpenteuse de la pruche,0
2021,Nouveau-Brunswick,Tordeuse du pin gris,0
2021,Nouveau-Brunswick,Tordeuse du tremble,0
2021,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2021,Nouveau-Brunswick,Spongieuse,0
2021,Nouveau-Brunswick,"Dendroctone de l'épinette",0
2021,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",0
2021,Nouveau-Brunswick,Diprion de Swaine,0
2021,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2021,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2022,Nouveau-Brunswick,Noctuelle décolorée,0
2022,Nouveau-Brunswick,Diprion du sapin,0
2022,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2022,Nouveau-Brunswick,Arpenteuse de Bruce,0
2022,Nouveau-Brunswick,Livrée des forêts,2100
2022,Nouveau-Brunswick,Arpenteuse de la pruche,0
2022,Nouveau-Brunswick,Tordeuse du pin gris,0
2022,Nouveau-Brunswick,Tordeuse du tremble,0
2022,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2022,Nouveau-Brunswick,Spongieuse,0
2022,Nouveau-Brunswick,"Dendroctone de l'épinette",100
2022,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",1200
2022,Nouveau-Brunswick,Diprion de Swaine,0
2022,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2022,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2023,Nouveau-Brunswick,Noctuelle décolorée,0
2023,Nouveau-Brunswick,Diprion du sapin,0
2023,Nouveau-Brunswick,"Tordeuse à tête noire de l'Ouest",0
2023,Nouveau-Brunswick,Arpenteuse de Bruce,0
2023,Nouveau-Brunswick,Livrée des forêts,7500
2023,Nouveau-Brunswick,Arpenteuse de la pruche,0
2023,Nouveau-Brunswick,Tordeuse du pin gris,0
2023,Nouveau-Brunswick,Tordeuse du tremble,0
2023,Nouveau-Brunswick,Dendroctone du pin ponderosa,0
2023,Nouveau-Brunswick,Spongieuse,0
2023,Nouveau-Brunswick,"Dendroctone de l'épinette",0
2023,Nouveau-Brunswick,"Tordeuse des bourgeons de l'épinette",100
2023,Nouveau-Brunswick,Diprion de Swaine,0
2023,Nouveau-Brunswick,Tordeuse bisannuelle de l’épinette,0
2023,Nouveau-Brunswick,"Tordeuse occidentale de l'épinette",0
2010,Terre-Neuve-et-Labrador,Noctuelle décolorée,0
2010,Terre-Neuve-et-Labrador,Diprion du sapin,4709
2010,Terre-Neuve-et-Labrador,"Tordeuse à tête noire de l'Ouest",0
2010,Terre-Neuve-et-Labrador,Arpenteuse de Bruce,0
2010,Terre-Neuve-et-Labrador,Livrée des forêts,0
2010,Terre-Neuve-et-Labrador,Arpenteuse de la pruche,2210
2010,Terre-Neuve-et-Labrador,Tordeuse du pin gris,0
2010,Terre-Neuve-et-Labrador,Tordeuse du tremble,0
