Année,Juridiction,Superficie (en hectare)
2015,Île-du-Prince-Édouard,282
2015,Québec,101092
2015,Saskatchewan,7047
2015,Yukon,0
2016,Canada,432291
2016,Alberta,65227
2016,Colombie-Britannique,191060
2016,Manitoba,3436
2016,Nouveau-Brunswick,17625
2016,Terre-Neuve-et-Labrador,3721
2016,Territoires du Nord-Ouest,0
2016,Nouvelle-Écosse,5024
2016,Nunavut,0
2016,Ontario,49154
2016,Île-du-Prince-Édouard,317
2016,Québec,88538
2016,Saskatchewan,8182
2016,Yukon,7
2017,Canada,440884
2017,Alberta,73183
2017,Colombie-Britannique,221770
2017,Manitoba,2854
2017,Nouveau-Brunswick,15340
2017,Terre-Neuve-et-Labrador,3469
2017,Territoires du Nord-Ouest,0
2017,Nouvelle-Écosse,5059
2017,Nunavut,0
2017,Ontario,49063
2017,Île-du-Prince-Édouard,309
2017,Québec,62539
2017,Saskatchewan,7292
2017,Yukon,6
2018,Canada,434183
2018,Alberta,74428
2018,Colombie-Britannique,214134
2018,Manitoba,2010
2018,Nouveau-Brunswick,11505
2018,Terre-Neuve-et-Labrador,3331
2018,Territoires du Nord-Ouest,0
2018,Nouvelle-Écosse,5142
2018,Nunavut,0
2018,Ontario,47829
2018,Île-du-Prince-Édouard,273
2018,Québec,69799
2018,Saskatchewan,5732
2018,Yukon,0
2019,Canada,448384
2019,Alberta,77920
2019,Colombie-Britannique,224835
2019,Manitoba,3353
2019,Nouveau-Brunswick,12384
2019,Terre-Neuve-et-Labrador,3201
2019,Territoires du Nord-Ouest,0
2019,Nouvelle-Écosse,5521
2019,Ontario,47296
2019,Île-du-Prince-Édouard,322
2019,Québec,68043
2019,Saskatchewan,5509
2019,Yukon,0
2020,Canada,434987
2020,Alberta,79898
2020,Colombie-Britannique,211035
2020,Manitoba,3412
2020,Nouveau-Brunswick,12384
2020,Terre-Neuve-et-Labrador,3433
2020,Territoires du Nord-Ouest,0
2020,Nouvelle-Écosse,5386
2020,Ontario,43141
2020,Île-du-Prince-Édouard,369
2020,Québec,69960
