Année,Juridiction,"Marché d'exportation",Valeur (en dollars)
2014,Canada,Taïwan,260065395
2014,Canada,États-Unis,20364576523
2015,Canada,Afrique,25540695
2015,Canada,Chine,4951825640
2015,Canada,Union européenne,1016047558
2015,Canada,Inde,449352760
2015,Canada,Japon,1418174167
2015,Canada,Moyen-Orient,302071234
2015,Canada,Océanie,155561373
2015,Canada,Autre,787281654
2015,Canada,Amérique du Sud et Amérique centrale,633606582
2015,Canada,Corée du Sud,515019514
2015,Canada,Taïwan,284229397
2015,Canada,États-Unis,22299069362
2016,Canada,Afrique,25171028
2016,Canada,Chine,4807327953
2016,Canada,Union européenne,1170388567
2016,Canada,Inde,490570187
2016,Canada,Japon,1440256706
2016,Canada,Moyen-Orient,230411117
2016,Canada,Océanie,179022973
2016,Canada,Autre,898608058
2016,Canada,Amérique du Sud et Amérique centrale,582204320
2016,Canada,Corée du Sud,479344520
2016,Canada,Taïwan,248878246
2016,Canada,États-Unis,23989907420
2017,Canada,Afrique,20651810
2017,Canada,Chine,5489648041
2017,Canada,Union européenne,1111242072
2017,Canada,Inde,496642235
2017,Canada,Japon,1493492246
2017,Canada,Moyen-Orient,214411743
2017,Canada,Océanie,182640866
2017,Canada,Autre,1069285331
2017,Canada,Amérique du Sud et Amérique centrale,590141963
2017,Canada,Corée du Sud,612714148
2017,Canada,Taïwan,219915666
2017,Canada,États-Unis,24387906782
2018,Canada,Afrique,29105266
2018,Canada,Chine,5943697240
2018,Canada,Union européenne,1272822200
2018,Canada,Inde,709921159
2018,Canada,Japon,1832870689
2018,Canada,Moyen-Orient,265622197
2018,Canada,Océanie,181611653
2018,Canada,Autre,1419597246
2018,Canada,Amérique du Sud et Amérique centrale,648435522
2018,Canada,Corée du Sud,637568947
2018,Canada,Taïwan,303161545
2018,Canada,États-Unis,25259605925
2019,Canada,Afrique,24377941
2019,Canada,Chine,5133870466
2019,Canada,Union européenne,1063847699
2019,Canada,Inde,571406431
2019,Canada,Japon,1442868212
2019,Canada,Moyen-Orient,141520589
2019,Canada,Océanie,136666183
2019,Canada,Autre,928112690
2019,Canada,Amérique du Sud et Amérique centrale,522436107
2019,Canada,Corée du Sud,456667243
2019,Canada,Taïwan,200207700
2019,Canada,États-Unis,22541044414
2020,Canada,Afrique,13255176
2020,Canada,Chine,4160230040
2020,Canada,Union européenne,945814101
2020,Canada,Inde,378897178
2020,Canada,Japon,1059678755
2020,Canada,Moyen-Orient,93656437
2020,Canada,Océanie,129427680
2020,Canada,Autre,712952092
2020,Canada,Amérique du Sud et Amérique centrale,353079061
2020,Canada,Corée du Sud,339007528
2020,Canada,Taïwan,156404383
2020,Canada,États-Unis,24932713935
2021,Canada,Afrique,18156873
2021,Canada,Chine,4309535300
2021,Canada,Union européenne,954895377
2021,Canada,Inde,596859667
2021,Canada,Japon,1819635517
2021,Canada,Moyen-Orient,114901439
2021,Canada,Océanie,153341513
2021,Canada,Autre,1013215054
2021,Canada,Amérique du Sud et Amérique centrale,416453011
2021,Canada,Corée du Sud,513464849
2021,Canada,Taïwan,229787707
2021,Canada,États-Unis,34828419922
2022,Canada,Afrique,33656597
2022,Canada,Chine,3809068657
2022,Canada,Union européenne,1041756121
2022,Canada,Inde,872766530
2022,Canada,Japon,1799732848
2022,Canada,Moyen-Orient,133601870
2022,Canada,Océanie,174684019
2022,Canada,Autre,1180460661
2022,Canada,Amérique du Sud et Amérique centrale,585385674
2022,Canada,Corée du Sud,548736294
2022,Canada,Taïwan,196670900
2022,Canada,États-Unis,35189959090
2023,Canada,Afrique,66763907
2023,Canada,Chine,3775592601
2023,Canada,Union européenne,918822450
2023,Canada,Inde,738458138
2023,Canada,Japon,1182195103
2023,Canada,Moyen-Orient,123420722
2023,Canada,Océanie,78562736
2023,Canada,Autre,897284409
2023,Canada,Amérique du Sud et Amérique centrale,433776306
2023,Canada,Corée du Sud,431432856
2023,Canada,Taïwan,144031236
2023,Canada,États-Unis,27461825923
2024,Canada,Afrique,82823095
2024,Canada,Chine,3673975121
2024,Canada,Union européenne,976147829
2024,Canada,Inde,837804878
2024,Canada,Japon,1077535871
2024,Canada,Moyen-Orient,104499043
2024,Canada,Océanie,103050088
2024,Canada,Autre,959755571
2024,Canada,Amérique du Sud et Amérique centrale,386950608
2024,Canada,Corée du Sud,443605183
2024,Canada,Taïwan,129931562
2024,Canada,États-Unis,28470005278
