Année,Juridiction,"Mises en chantier (total d'unités)"
2017,Manitoba,7501
2017,Nouveau-Brunswick,2324
2017,Terre-Neuve-et-Labrador,1400
2017,Nouvelle-Écosse,3984
2017,Ontario,79123
2017,Île-du-Prince-Édouard,911
2017,Québec,46495
2017,Saskatchewan,4904
2018,Canada,212843
2018,Alberta,26085
2018,Colombie-Britannique,40857
2018,Manitoba,7376
2018,Nouveau-Brunswick,2328
2018,Terre-Neuve-et-Labrador,1096
2018,Nouvelle-Écosse,4786
2018,Ontario,78742
2018,Île-du-Prince-Édouard,1089
2018,Québec,46874
2018,Saskatchewan,3610
2019,Canada,208685
2019,Alberta,27325
2019,Colombie-Britannique,44932
2019,Manitoba,6946
2019,Nouveau-Brunswick,2935
2019,Terre-Neuve-et-Labrador,945
2019,Nouvelle-Écosse,4719
2019,Ontario,68985
2019,Île-du-Prince-Édouard,1504
2019,Québec,47967
2019,Saskatchewan,2427
2020,Canada,217880
2020,Alberta,24023
2020,Colombie-Britannique,37734
2020,Manitoba,7314
2020,Nouveau-Brunswick,3483
2020,Terre-Neuve-et-Labrador,763
2020,Nouvelle-Écosse,4865
2020,Ontario,81305
2020,Île-du-Prince-Édouard,1240
2020,Québec,54066
2020,Saskatchewan,3087
2021,Canada,271198
2021,Alberta,31935
2021,Colombie-Britannique,47607
2021,Manitoba,8023
2021,Nouveau-Brunswick,3829
2021,Terre-Neuve-et-Labrador,1021
2021,Nouvelle-Écosse,5975
2021,Ontario,99566
2021,Île-du-Prince-Édouard,1260
2021,Québec,67810
2021,Saskatchewan,4172
2022,Canada,261849
2022,Alberta,36544
2022,Colombie-Britannique,46721
2022,Manitoba,8095
2022,Nouveau-Brunswick,4680
2022,Terre-Neuve-et-Labrador,1379
2022,Nouvelle-Écosse,5714
2022,Ontario,96080
2022,Île-du-Prince-Édouard,1318
2022,Québec,57107
2022,Saskatchewan,4211
2023,Canada,240267
2023,Alberta,36022
2023,Colombie-Britannique,50490
2023,Manitoba,7104
2023,Nouveau-Brunswick,4547
2023,Terre-Neuve-et-Labrador,978
2023,Nouvelle-Écosse,7159
2023,Ontario,89297
2023,Île-du-Prince-Édouard,1139
2023,Québec,38912
2023,Saskatchewan,4619
2024,Canada,245367
2024,Alberta,47827
2024,Colombie-Britannique,45828
2024,Manitoba,7191
2024,Nouveau-Brunswick,6169
2024,Terre-Neuve-et-Labrador,1672
2024,Nouvelle-Écosse,7381
2024,Ontario,74573
2024,Île-du-Prince-Édouard,1694
2024,Québec,48713
2024,Saskatchewan,4319
