Année,Juridiction,Type de commerce,Groupe de produits de base,Produit,Valeur (en dollars)
2008,Canada,Importations,Produits bruts du bois,Bois à pâte,35055126
2008,Canada,Importations,Produits de pâtes et papiers,Papier journal,59338426
2008,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3191058029
2008,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,184301527
2008,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,340202196
2008,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,40221269
2008,Canada,Importations,Produits fabriqués en bois,Panneau de particules,71668825
2008,Canada,Importations,Produits fabriqués en bois,Contreplaqué,272953607
2008,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",166560349
2008,Canada,Importations,Produits fabriqués en bois,Placage,169908439
2009,Canada,Importations,Produits bruts du bois,Grumes,289074182
2009,Canada,Importations,Produits bruts du bois,Bois à pâte,51164940
2009,Canada,Importations,Produits de pâtes et papiers,Papier journal,43360553
2009,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,2895907333
2009,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,164595179
2009,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,239484833
2009,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,28227417
2009,Canada,Importations,Produits fabriqués en bois,Panneau de particules,44984555
2009,Canada,Importations,Produits fabriqués en bois,Contreplaqué,226217816
2009,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",158105398
2009,Canada,Importations,Produits fabriqués en bois,Placage,141926025
2010,Canada,Importations,Produits bruts du bois,Grumes,281434293
2010,Canada,Importations,Produits bruts du bois,Bois à pâte,35328312
2010,Canada,Importations,Produits de pâtes et papiers,Papier journal,44511380
2010,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,2815564949
2010,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,173593222
2010,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,281917161
2010,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,33053168
2010,Canada,Importations,Produits fabriqués en bois,Panneau de particules,45895025
2010,Canada,Importations,Produits fabriqués en bois,Contreplaqué,303823975
2010,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",205545244
2010,Canada,Importations,Produits fabriqués en bois,Placage,130756787
2011,Canada,Importations,Produits bruts du bois,Grumes,237835032
2011,Canada,Importations,Produits bruts du bois,Bois à pâte,32741792
2011,Canada,Importations,Produits de pâtes et papiers,Papier journal,42604742
2011,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,2692150371
2011,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,168921129
2011,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,223245248
2011,Canada,Importations,Produits fabriqués en bois,Grumes,24338098
2011,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,29613232
2011,Canada,Importations,Produits fabriqués en bois,Panneau de particules,46620703
2011,Canada,Importations,Produits fabriqués en bois,Contreplaqué,462089996
2011,Canada,Importations,Produits fabriqués en bois,Bois à pâte,362180
2011,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",187844903
2011,Canada,Importations,Produits fabriqués en bois,Placage,127925871
2012,Canada,Importations,Produits bruts du bois,Grumes,256523727
2012,Canada,Importations,Produits bruts du bois,Bois à pâte,38545665
2012,Canada,Importations,Produits de pâtes et papiers,Papier journal,49088831
2012,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,2681887303
2012,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,187948222
2012,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,247493214
2012,Canada,Importations,Produits fabriqués en bois,Grumes,18179325
2012,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,33551317
2012,Canada,Importations,Produits fabriqués en bois,Panneau de particules,53201497
2012,Canada,Importations,Produits fabriqués en bois,Contreplaqué,361734311
2012,Canada,Importations,Produits fabriqués en bois,Bois à pâte,508103
2012,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",213124193
2012,Canada,Importations,Produits fabriqués en bois,Placage,132079404
2013,Canada,Importations,Produits bruts du bois,Grumes,281668264
2013,Canada,Importations,Produits bruts du bois,Bois à pâte,37644226
2013,Canada,Importations,Produits de pâtes et papiers,Papier journal,60270874
2013,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,2785203154
2013,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,173147389
2013,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,261889835
2013,Canada,Importations,Produits fabriqués en bois,Grumes,20761859
2013,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,39949321
2013,Canada,Importations,Produits fabriqués en bois,Panneau de particules,58904659
2013,Canada,Importations,Produits fabriqués en bois,Contreplaqué,363034534
2013,Canada,Importations,Produits fabriqués en bois,Bois à pâte,261435
2013,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",249232778
2013,Canada,Importations,Produits fabriqués en bois,Placage,133808963
2014,Canada,Importations,Produits bruts du bois,Grumes,302784164
2014,Canada,Importations,Produits bruts du bois,Bois à pâte,40710399
2014,Canada,Importations,Produits de pâtes et papiers,Papier journal,50930689
2014,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3000516701
2014,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,207963162
2014,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,307758750
