Année,Juridiction,Type de commerce,Groupe de produits de base,Produit,Valeur (en dollars)
2007,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,445648211
2007,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",7084104492
2007,Canada,Exportations,Produits fabriqués en bois,Placage,346844058
2008,Canada,Exportations,Produits bruts du bois,Grumes,307311392
2008,Canada,Exportations,Produits bruts du bois,Bois à pâte,11946653
2008,Canada,Exportations,Produits de pâtes et papiers,Papier journal,4264225995
2008,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,6278909068
2008,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,6986245123
2008,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,271504404
2008,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,709151204
2008,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,185685043
2008,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,327787221
2008,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",5098752861
2008,Canada,Exportations,Produits fabriqués en bois,Placage,262143299
2009,Canada,Exportations,Produits bruts du bois,Grumes,276766839
2009,Canada,Exportations,Produits bruts du bois,Bois à pâte,8729082
2009,Canada,Exportations,Produits de pâtes et papiers,Papier journal,2672363902
2009,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,5443920232
2009,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,5075704546
2009,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,179023416
2009,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,549960647
2009,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,163188559
2009,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,229071915
2009,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",3765497063
2009,Canada,Exportations,Produits fabriqués en bois,Placage,199644946
2010,Canada,Exportations,Produits bruts du bois,Grumes,394888548
2010,Canada,Exportations,Produits bruts du bois,Bois à pâte,15282149
2010,Canada,Exportations,Produits de pâtes et papiers,Papier journal,2652704950
2010,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,4706270986
2010,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,7013317343
2010,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,208076416
2010,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,725974081
2010,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,173307620
2010,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,188309927
2010,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",4842174265
2010,Canada,Exportations,Produits fabriqués en bois,Placage,199510350
2011,Canada,Exportations,Produits bruts du bois,Grumes,593270851
2011,Canada,Exportations,Produits bruts du bois,Bois à pâte,26391457
2011,Canada,Exportations,Produits de pâtes et papiers,Papier journal,2779573365
2011,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,4540228931
2011,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,7203021626
2011,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,199928856
2011,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,636500314
2011,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,158779868
