Année,Juridiction,"Nombre d'emplois",Secteur
2009,Nouveau-Brunswick,3020,Foresterie et exploitation forestière
2009,Nouveau-Brunswick,2640,Fabrication du papier
2009,Nouveau-Brunswick,940,Activités de soutien à la foresterie
2009,Nouveau-Brunswick,3815,Fabrication de produits en bois
2009,Terre-Neuve-et-Labrador,510,Foresterie et exploitation forestière
2009,Terre-Neuve-et-Labrador,645,Fabrication du papier
2009,Terre-Neuve-et-Labrador,200,Activités de soutien à la foresterie
2009,Terre-Neuve-et-Labrador,395,Fabrication de produits en bois
2009,Territoires du Nord-Ouest,10,Foresterie et exploitation forestière
2009,Territoires du Nord-Ouest,0,Fabrication du papier
2009,Territoires du Nord-Ouest,170,Activités de soutien à la foresterie
2009,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2009,Nouvelle-Écosse,1410,Foresterie et exploitation forestière
2009,Nouvelle-Écosse,1810,Fabrication du papier
2009,Nouvelle-Écosse,680,Activités de soutien à la foresterie
2009,Nouvelle-Écosse,3200,Fabrication de produits en bois
2009,Nunavut,0,Foresterie et exploitation forestière
2009,Nunavut,0,Fabrication du papier
2009,Nunavut,0,Activités de soutien à la foresterie
2009,Nunavut,0,Fabrication de produits en bois
2009,Ontario,4620,Foresterie et exploitation forestière
2009,Ontario,22775,Fabrication du papier
2009,Ontario,3040,Activités de soutien à la foresterie
2009,Ontario,17385,Fabrication de produits en bois
2009,Île-du-Prince-Édouard,40,Foresterie et exploitation forestière
2009,Île-du-Prince-Édouard,120,Fabrication du papier
2009,Île-du-Prince-Édouard,20,Activités de soutien à la foresterie
2009,Île-du-Prince-Édouard,160,Fabrication de produits en bois
2009,Québec,12250,Foresterie et exploitation forestière
2009,Québec,22380,Fabrication du papier
2009,Québec,6120,Activités de soutien à la foresterie
2009,Québec,26065,Fabrication de produits en bois
2009,Saskatchewan,340,Foresterie et exploitation forestière
2009,Saskatchewan,330,Fabrication du papier
2009,Saskatchewan,1195,Activités de soutien à la foresterie
2009,Saskatchewan,1305,Fabrication de produits en bois
2009,Yukon,20,Foresterie et exploitation forestière
2009,Yukon,0,Fabrication du papier
2009,Yukon,10,Activités de soutien à la foresterie
2009,Yukon,25,Fabrication de produits en bois
2010,Canada,34890,Foresterie et exploitation forestière
2010,Canada,65040,Fabrication du papier
2010,Canada,20415,Activités de soutien à la foresterie
2010,Canada,91745,Fabrication de produits en bois
2010,Alberta,2235,Foresterie et exploitation forestière
2010,Alberta,2865,Fabrication du papier
2010,Alberta,1575,Activités de soutien à la foresterie
2010,Alberta,9445,Fabrication de produits en bois
2010,Colombie-Britannique,11280,Foresterie et exploitation forestière
2010,Colombie-Britannique,9795,Fabrication du papier
2010,Colombie-Britannique,6070,Activités de soutien à la foresterie
2010,Colombie-Britannique,23785,Fabrication de produits en bois
2010,Manitoba,330,Foresterie et exploitation forestière
2010,Manitoba,1515,Fabrication du papier
2010,Manitoba,565,Activités de soutien à la foresterie
2010,Manitoba,2445,Fabrication de produits en bois
2010,Nouveau-Brunswick,3125,Foresterie et exploitation forestière
2010,Nouveau-Brunswick,2915,Fabrication du papier
2010,Nouveau-Brunswick,1020,Activités de soutien à la foresterie
2010,Nouveau-Brunswick,3935,Fabrication de produits en bois
2010,Terre-Neuve-et-Labrador,445,Foresterie et exploitation forestière
2010,Terre-Neuve-et-Labrador,495,Fabrication du papier
2010,Terre-Neuve-et-Labrador,170,Activités de soutien à la foresterie
2010,Terre-Neuve-et-Labrador,435,Fabrication de produits en bois
2010,Territoires du Nord-Ouest,10,Foresterie et exploitation forestière
2010,Territoires du Nord-Ouest,0,Fabrication du papier
2010,Territoires du Nord-Ouest,165,Activités de soutien à la foresterie
2010,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2010,Nouvelle-Écosse,1400,Foresterie et exploitation forestière
2010,Nouvelle-Écosse,2175,Fabrication du papier
2010,Nouvelle-Écosse,660,Activités de soutien à la foresterie
2010,Nouvelle-Écosse,2865,Fabrication de produits en bois
2010,Nunavut,0,Foresterie et exploitation forestière
2010,Nunavut,0,Fabrication du papier
2010,Nunavut,0,Activités de soutien à la foresterie
2010,Nunavut,0,Fabrication de produits en bois
2010,Ontario,4665,Foresterie et exploitation forestière
2010,Ontario,21595,Fabrication du papier
2010,Ontario,2920,Activités de soutien à la foresterie
2010,Ontario,17515,Fabrication de produits en bois
2010,Île-du-Prince-Édouard,40,Foresterie et exploitation forestière
2010,Île-du-Prince-Édouard,115,Fabrication du papier
2010,Île-du-Prince-Édouard,25,Activités de soutien à la foresterie
2010,Île-du-Prince-Édouard,95,Fabrication de produits en bois
2010,Québec,10950,Foresterie et exploitation forestière
2010,Québec,23245,Fabrication du papier
2010,Québec,6155,Activités de soutien à la foresterie
2010,Québec,29875,Fabrication de produits en bois
2010,Saskatchewan,385,Foresterie et exploitation forestière
2010,Saskatchewan,325,Fabrication du papier
2010,Saskatchewan,1080,Activités de soutien à la foresterie
2010,Saskatchewan,1315,Fabrication de produits en bois
2010,Yukon,25,Foresterie et exploitation forestière
2010,Yukon,0,Fabrication du papier
2010,Yukon,10,Activités de soutien à la foresterie
2010,Yukon,35,Fabrication de produits en bois
2011,Canada,36360,Foresterie et exploitation forestière
2011,Canada,61335,Fabrication du papier
2011,Canada,21375,Activités de soutien à la foresterie
2011,Canada,88100,Fabrication de produits en bois
2011,Alberta,2625,Foresterie et exploitation forestière
2011,Alberta,2835,Fabrication du papier
2011,Alberta,1510,Activités de soutien à la foresterie
2011,Alberta,10000,Fabrication de produits en bois
2011,Colombie-Britannique,12480,Foresterie et exploitation forestière
2011,Colombie-Britannique,9605,Fabrication du papier
2011,Colombie-Britannique,6765,Activités de soutien à la foresterie
2011,Colombie-Britannique,23785,Fabrication de produits en bois
2011,Manitoba,345,Foresterie et exploitation forestière
2011,Manitoba,1435,Fabrication du papier
2011,Manitoba,495,Activités de soutien à la foresterie
2011,Manitoba,2540,Fabrication de produits en bois
2011,Nouveau-Brunswick,2835,Foresterie et exploitation forestière
2011,Nouveau-Brunswick,2705,Fabrication du papier
2011,Nouveau-Brunswick,890,Activités de soutien à la foresterie
2011,Nouveau-Brunswick,4020,Fabrication de produits en bois
2011,Terre-Neuve-et-Labrador,485,Foresterie et exploitation forestière
2011,Terre-Neuve-et-Labrador,480,Fabrication du papier
2011,Terre-Neuve-et-Labrador,195,Activités de soutien à la foresterie
2011,Terre-Neuve-et-Labrador,410,Fabrication de produits en bois
2011,Territoires du Nord-Ouest,10,Foresterie et exploitation forestière
2011,Territoires du Nord-Ouest,0,Fabrication du papier
2011,Territoires du Nord-Ouest,180,Activités de soutien à la foresterie
2011,Territoires du Nord-Ouest,10,Fabrication de produits en bois
2011,Nouvelle-Écosse,1200,Foresterie et exploitation forestière
2011,Nouvelle-Écosse,1915,Fabrication du papier
2011,Nouvelle-Écosse,585,Activités de soutien à la foresterie
2011,Nouvelle-Écosse,2015,Fabrication de produits en bois
2011,Nunavut,0,Foresterie et exploitation forestière
2011,Nunavut,0,Fabrication du papier
2011,Nunavut,0,Activités de soutien à la foresterie
2011,Nunavut,0,Fabrication de produits en bois
2011,Ontario,5035,Foresterie et exploitation forestière
2011,Ontario,20305,Fabrication du papier
2011,Ontario,3730,Activités de soutien à la foresterie
2011,Ontario,16115,Fabrication de produits en bois
2011,Île-du-Prince-Édouard,50,Foresterie et exploitation forestière
2011,Île-du-Prince-Édouard,155,Fabrication du papier
2011,Île-du-Prince-Édouard,25,Activités de soutien à la foresterie
2011,Île-du-Prince-Édouard,100,Fabrication de produits en bois
2011,Québec,10960,Foresterie et exploitation forestière
2011,Québec,21625,Fabrication du papier
2011,Québec,5985,Activités de soutien à la foresterie
2011,Québec,27730,Fabrication de produits en bois
2011,Saskatchewan,310,Foresterie et exploitation forestière
2011,Saskatchewan,275,Fabrication du papier
2011,Saskatchewan,1000,Activités de soutien à la foresterie
2011,Saskatchewan,1330,Fabrication de produits en bois
2011,Yukon,25,Foresterie et exploitation forestière
2011,Yukon,0,Fabrication du papier
2011,Yukon,15,Activités de soutien à la foresterie
2011,Yukon,45,Fabrication de produits en bois
2012,Canada,33075,Foresterie et exploitation forestière
2012,Canada,58785,Fabrication du papier
2012,Canada,20035,Activités de soutien à la foresterie
2012,Canada,90760,Fabrication de produits en bois
2012,Alberta,2865,Foresterie et exploitation forestière
2012,Alberta,2790,Fabrication du papier
2012,Alberta,1460,Activités de soutien à la foresterie
2012,Alberta,10180,Fabrication de produits en bois
2012,Colombie-Britannique,12405,Foresterie et exploitation forestière
2012,Colombie-Britannique,8915,Fabrication du papier
2012,Colombie-Britannique,6770,Activités de soutien à la foresterie
2012,Colombie-Britannique,26155,Fabrication de produits en bois
2012,Manitoba,335,Foresterie et exploitation forestière
2012,Manitoba,1420,Fabrication du papier
2012,Manitoba,475,Activités de soutien à la foresterie
2012,Manitoba,2545,Fabrication de produits en bois
2012,Nouveau-Brunswick,2480,Foresterie et exploitation forestière
2012,Nouveau-Brunswick,2820,Fabrication du papier
2012,Nouveau-Brunswick,890,Activités de soutien à la foresterie
2012,Nouveau-Brunswick,4025,Fabrication de produits en bois
2012,Terre-Neuve-et-Labrador,380,Foresterie et exploitation forestière
2012,Terre-Neuve-et-Labrador,395,Fabrication du papier
2012,Terre-Neuve-et-Labrador,190,Activités de soutien à la foresterie
2012,Terre-Neuve-et-Labrador,420,Fabrication de produits en bois
2012,Territoires du Nord-Ouest,10,Foresterie et exploitation forestière
2012,Territoires du Nord-Ouest,0,Fabrication du papier
2012,Territoires du Nord-Ouest,165,Activités de soutien à la foresterie
2012,Territoires du Nord-Ouest,10,Fabrication de produits en bois
2012,Nouvelle-Écosse,975,Foresterie et exploitation forestière
2012,Nouvelle-Écosse,1125,Fabrication du papier
2012,Nouvelle-Écosse,445,Activités de soutien à la foresterie
2012,Nouvelle-Écosse,1890,Fabrication de produits en bois
2012,Nunavut,0,Foresterie et exploitation forestière
2012,Nunavut,0,Fabrication du papier
2012,Nunavut,0,Activités de soutien à la foresterie
2012,Nunavut,0,Fabrication de produits en bois
2012,Ontario,4345,Foresterie et exploitation forestière
2012,Ontario,20210,Fabrication du papier
2012,Ontario,3405,Activités de soutien à la foresterie
2012,Ontario,16310,Fabrication de produits en bois
2012,Île-du-Prince-Édouard,45,Foresterie et exploitation forestière
2012,Île-du-Prince-Édouard,190,Fabrication du papier
2012,Île-du-Prince-Édouard,25,Activités de soutien à la foresterie
2012,Île-du-Prince-Édouard,105,Fabrication de produits en bois
2012,Québec,8870,Foresterie et exploitation forestière
2012,Québec,20650,Fabrication du papier
2012,Québec,5290,Activités de soutien à la foresterie
2012,Québec,27690,Fabrication de produits en bois
2012,Saskatchewan,340,Foresterie et exploitation forestière
2012,Saskatchewan,270,Fabrication du papier
2012,Saskatchewan,905,Activités de soutien à la foresterie
2012,Saskatchewan,1390,Fabrication de produits en bois
2012,Yukon,25,Foresterie et exploitation forestière
2012,Yukon,0,Fabrication du papier
2012,Yukon,15,Activités de soutien à la foresterie
2012,Yukon,40,Fabrication de produits en bois
2013,Canada,33565,Foresterie et exploitation forestière
2013,Canada,59090,Fabrication du papier
2013,Canada,20320,Activités de soutien à la foresterie
2013,Canada,94790,Fabrication de produits en bois
2013,Alberta,2665,Foresterie et exploitation forestière
2013,Alberta,2990,Fabrication du papier
2013,Alberta,1450,Activités de soutien à la foresterie
2013,Alberta,10270,Fabrication de produits en bois
2013,Colombie-Britannique,12535,Foresterie et exploitation forestière
2013,Colombie-Britannique,9250,Fabrication du papier
2013,Colombie-Britannique,6890,Activités de soutien à la foresterie
2013,Colombie-Britannique,27280,Fabrication de produits en bois
2013,Manitoba,330,Foresterie et exploitation forestière
2013,Manitoba,1150,Fabrication du papier
2013,Manitoba,485,Activités de soutien à la foresterie
2013,Manitoba,2645,Fabrication de produits en bois
2013,Nouveau-Brunswick,2670,Foresterie et exploitation forestière
2013,Nouveau-Brunswick,3020,Fabrication du papier
2013,Nouveau-Brunswick,1005,Activités de soutien à la foresterie
2013,Nouveau-Brunswick,4055,Fabrication de produits en bois
2013,Terre-Neuve-et-Labrador,360,Foresterie et exploitation forestière
2013,Terre-Neuve-et-Labrador,255,Fabrication du papier
2013,Terre-Neuve-et-Labrador,170,Activités de soutien à la foresterie
2013,Terre-Neuve-et-Labrador,385,Fabrication de produits en bois
2013,Territoires du Nord-Ouest,10,Foresterie et exploitation forestière
2013,Territoires du Nord-Ouest,0,Fabrication du papier
2013,Territoires du Nord-Ouest,140,Activités de soutien à la foresterie
2013,Territoires du Nord-Ouest,5,Fabrication de produits en bois
2013,Nouvelle-Écosse,985,Foresterie et exploitation forestière
2013,Nouvelle-Écosse,985,Fabrication du papier
2013,Nouvelle-Écosse,470,Activités de soutien à la foresterie
2013,Nouvelle-Écosse,1875,Fabrication de produits en bois
2013,Nunavut,0,Foresterie et exploitation forestière
2013,Nunavut,0,Fabrication du papier
2013,Nunavut,0,Activités de soutien à la foresterie
2013,Nunavut,0,Fabrication de produits en bois
2013,Ontario,4355,Foresterie et exploitation forestière
2013,Ontario,20535,Fabrication du papier
2013,Ontario,3305,Activités de soutien à la foresterie
2013,Ontario,17340,Fabrication de produits en bois
2013,Île-du-Prince-Édouard,50,Foresterie et exploitation forestière
2013,Île-du-Prince-Édouard,205,Fabrication du papier
2013,Île-du-Prince-Édouard,30,Activités de soutien à la foresterie
2013,Île-du-Prince-Édouard,115,Fabrication de produits en bois
2013,Québec,9230,Foresterie et exploitation forestière
2013,Québec,20470,Fabrication du papier
2013,Québec,5495,Activités de soutien à la foresterie
2013,Québec,29155,Fabrication de produits en bois
2013,Saskatchewan,345,Foresterie et exploitation forestière
2013,Saskatchewan,230,Fabrication du papier
2013,Saskatchewan,865,Activités de soutien à la foresterie
2013,Saskatchewan,1635,Fabrication de produits en bois
2013,Yukon,30,Foresterie et exploitation forestière
2013,Yukon,0,Fabrication du papier
2013,Yukon,15,Activités de soutien à la foresterie
2013,Yukon,30,Fabrication de produits en bois
2014,Canada,32450,Foresterie et exploitation forestière
2014,Canada,58150,Fabrication du papier
2014,Canada,20555,Activités de soutien à la foresterie
2014,Canada,93575,Fabrication de produits en bois
2014,Alberta,2480,Foresterie et exploitation forestière
2014,Alberta,3040,Fabrication du papier
2014,Alberta,1595,Activités de soutien à la foresterie
2014,Alberta,9925,Fabrication de produits en bois
2014,Colombie-Britannique,13165,Foresterie et exploitation forestière
2014,Colombie-Britannique,8250,Fabrication du papier
2014,Colombie-Britannique,6880,Activités de soutien à la foresterie
2014,Colombie-Britannique,26690,Fabrication de produits en bois
2014,Manitoba,315,Foresterie et exploitation forestière
2014,Manitoba,1250,Fabrication du papier
2014,Manitoba,520,Activités de soutien à la foresterie
2014,Manitoba,2485,Fabrication de produits en bois
2014,Nouveau-Brunswick,2795,Foresterie et exploitation forestière
2014,Nouveau-Brunswick,3260,Fabrication du papier
2014,Nouveau-Brunswick,1000,Activités de soutien à la foresterie
2014,Nouveau-Brunswick,4925,Fabrication de produits en bois
2014,Terre-Neuve-et-Labrador,410,Foresterie et exploitation forestière
2014,Terre-Neuve-et-Labrador,325,Fabrication du papier
2014,Terre-Neuve-et-Labrador,160,Activités de soutien à la foresterie
2014,Terre-Neuve-et-Labrador,360,Fabrication de produits en bois
2014,Territoires du Nord-Ouest,5,Foresterie et exploitation forestière
2014,Territoires du Nord-Ouest,0,Fabrication du papier
2014,Territoires du Nord-Ouest,150,Activités de soutien à la foresterie
2014,Territoires du Nord-Ouest,15,Fabrication de produits en bois
2014,Nouvelle-Écosse,1010,Foresterie et exploitation forestière
2014,Nouvelle-Écosse,1150,Fabrication du papier
2014,Nouvelle-Écosse,460,Activités de soutien à la foresterie
2014,Nouvelle-Écosse,1945,Fabrication de produits en bois
2014,Nunavut,0,Foresterie et exploitation forestière
2014,Nunavut,0,Fabrication du papier
2014,Nunavut,0,Activités de soutien à la foresterie
2014,Nunavut,0,Fabrication de produits en bois
2014,Ontario,3880,Foresterie et exploitation forestière
2014,Ontario,18920,Fabrication du papier
2014,Ontario,3235,Activités de soutien à la foresterie
2014,Ontario,16955,Fabrication de produits en bois
2014,Île-du-Prince-Édouard,50,Foresterie et exploitation forestière
2014,Île-du-Prince-Édouard,260,Fabrication du papier
2014,Île-du-Prince-Édouard,40,Activités de soutien à la foresterie
2014,Île-du-Prince-Édouard,140,Fabrication de produits en bois
2014,Québec,7895,Foresterie et exploitation forestière
2014,Québec,21450,Fabrication du papier
2014,Québec,5595,Activités de soutien à la foresterie
2014,Québec,28550,Fabrication de produits en bois
2014,Saskatchewan,420,Foresterie et exploitation forestière
2014,Saskatchewan,245,Fabrication du papier
2014,Saskatchewan,910,Activités de soutien à la foresterie
2014,Saskatchewan,1545,Fabrication de produits en bois
2014,Yukon,25,Foresterie et exploitation forestière
2014,Yukon,0,Fabrication du papier
2014,Yukon,10,Activités de soutien à la foresterie
2014,Yukon,40,Fabrication de produits en bois
2015,Canada,32855,Foresterie et exploitation forestière
2015,Canada,57775,Fabrication du papier
2015,Canada,20795,Activités de soutien à la foresterie
2015,Canada,95150,Fabrication de produits en bois
2015,Alberta,2720,Foresterie et exploitation forestière
2015,Alberta,3080,Fabrication du papier
2015,Alberta,1670,Activités de soutien à la foresterie
2015,Alberta,9655,Fabrication de produits en bois
2015,Colombie-Britannique,12640,Foresterie et exploitation forestière
2015,Colombie-Britannique,7935,Fabrication du papier
2015,Colombie-Britannique,7135,Activités de soutien à la foresterie
2015,Colombie-Britannique,26440,Fabrication de produits en bois
2015,Manitoba,290,Foresterie et exploitation forestière
2015,Manitoba,1245,Fabrication du papier
2015,Manitoba,510,Activités de soutien à la foresterie
2015,Manitoba,2265,Fabrication de produits en bois
2015,Nouveau-Brunswick,2760,Foresterie et exploitation forestière
2015,Nouveau-Brunswick,3100,Fabrication du papier
2015,Nouveau-Brunswick,970,Activités de soutien à la foresterie
2015,Nouveau-Brunswick,5115,Fabrication de produits en bois
2015,Terre-Neuve-et-Labrador,475,Foresterie et exploitation forestière
2015,Terre-Neuve-et-Labrador,345,Fabrication du papier
2015,Terre-Neuve-et-Labrador,155,Activités de soutien à la foresterie
2015,Terre-Neuve-et-Labrador,355,Fabrication de produits en bois
2015,Territoires du Nord-Ouest,5,Foresterie et exploitation forestière
2015,Territoires du Nord-Ouest,0,Fabrication du papier
2015,Territoires du Nord-Ouest,150,Activités de soutien à la foresterie
2015,Territoires du Nord-Ouest,5,Fabrication de produits en bois
2015,Nouvelle-Écosse,985,Foresterie et exploitation forestière
2015,Nouvelle-Écosse,1290,Fabrication du papier
2015,Nouvelle-Écosse,495,Activités de soutien à la foresterie
2015,Nouvelle-Écosse,1825,Fabrication de produits en bois
2015,Nunavut,0,Foresterie et exploitation forestière
2015,Nunavut,0,Fabrication du papier
2015,Nunavut,0,Activités de soutien à la foresterie
2015,Nunavut,0,Fabrication de produits en bois
2015,Ontario,4070,Foresterie et exploitation forestière
2015,Ontario,18495,Fabrication du papier
2015,Ontario,3295,Activités de soutien à la foresterie
2015,Ontario,17300,Fabrication de produits en bois
2015,Île-du-Prince-Édouard,55,Foresterie et exploitation forestière
2015,Île-du-Prince-Édouard,295,Fabrication du papier
2015,Île-du-Prince-Édouard,40,Activités de soutien à la foresterie
2015,Île-du-Prince-Édouard,110,Fabrication de produits en bois
2015,Québec,8380,Foresterie et exploitation forestière
2015,Québec,21715,Fabrication du papier
2015,Québec,5475,Activités de soutien à la foresterie
2015,Québec,30370,Fabrication de produits en bois
2015,Saskatchewan,445,Foresterie et exploitation forestière
2015,Saskatchewan,275,Fabrication du papier
2015,Saskatchewan,885,Activités de soutien à la foresterie
2015,Saskatchewan,1680,Fabrication de produits en bois
2015,Yukon,30,Foresterie et exploitation forestière
2015,Yukon,0,Fabrication du papier
2015,Yukon,15,Activités de soutien à la foresterie
2015,Yukon,30,Fabrication de produits en bois
2016,Canada,34120,Foresterie et exploitation forestière
2016,Canada,54815,Fabrication du papier
2016,Canada,21515,Activités de soutien à la foresterie
2016,Canada,100315,Fabrication de produits en bois
2016,Alberta,2980,Foresterie et exploitation forestière
2016,Alberta,3080,Fabrication du papier
2016,Alberta,1750,Activités de soutien à la foresterie
2016,Alberta,10150,Fabrication de produits en bois
2016,Colombie-Britannique,13405,Foresterie et exploitation forestière
2016,Colombie-Britannique,7850,Fabrication du papier
2016,Colombie-Britannique,7845,Activités de soutien à la foresterie
2016,Colombie-Britannique,28970,Fabrication de produits en bois
2016,Manitoba,245,Foresterie et exploitation forestière
2016,Manitoba,1270,Fabrication du papier
2016,Manitoba,535,Activités de soutien à la foresterie
2016,Manitoba,2495,Fabrication de produits en bois
2016,Nouveau-Brunswick,2895,Foresterie et exploitation forestière
2016,Nouveau-Brunswick,3035,Fabrication du papier
2016,Nouveau-Brunswick,930,Activités de soutien à la foresterie
2016,Nouveau-Brunswick,5410,Fabrication de produits en bois
2016,Terre-Neuve-et-Labrador,445,Foresterie et exploitation forestière
2016,Terre-Neuve-et-Labrador,345,Fabrication du papier
2016,Terre-Neuve-et-Labrador,150,Activités de soutien à la foresterie
2016,Terre-Neuve-et-Labrador,420,Fabrication de produits en bois
2016,Territoires du Nord-Ouest,5,Foresterie et exploitation forestière
2016,Territoires du Nord-Ouest,0,Fabrication du papier
2016,Territoires du Nord-Ouest,150,Activités de soutien à la foresterie
2016,Territoires du Nord-Ouest,5,Fabrication de produits en bois
2016,Nouvelle-Écosse,910,Foresterie et exploitation forestière
2016,Nouvelle-Écosse,1255,Fabrication du papier
2016,Nouvelle-Écosse,540,Activités de soutien à la foresterie
2016,Nouvelle-Écosse,1910,Fabrication de produits en bois
2016,Nunavut,0,Foresterie et exploitation forestière
2016,Nunavut,0,Fabrication du papier
2016,Nunavut,0,Activités de soutien à la foresterie
2016,Nunavut,0,Fabrication de produits en bois
2016,Ontario,4325,Foresterie et exploitation forestière
2016,Ontario,17900,Fabrication du papier
2016,Ontario,3235,Activités de soutien à la foresterie
2016,Ontario,17360,Fabrication de produits en bois
2016,Île-du-Prince-Édouard,80,Foresterie et exploitation forestière
2016,Île-du-Prince-Édouard,275,Fabrication du papier
2016,Île-du-Prince-Édouard,45,Activités de soutien à la foresterie
2016,Île-du-Prince-Édouard,140,Fabrication de produits en bois
2016,Québec,8350,Foresterie et exploitation forestière
2016,Québec,19520,Fabrication du papier
2016,Québec,5420,Activités de soutien à la foresterie
2016,Québec,31685,Fabrication de produits en bois
2016,Saskatchewan,445,Foresterie et exploitation forestière
2016,Saskatchewan,285,Fabrication du papier
2016,Saskatchewan,895,Activités de soutien à la foresterie
2016,Saskatchewan,1765,Fabrication de produits en bois
2016,Yukon,35,Foresterie et exploitation forestière
2016,Yukon,0,Fabrication du papier
2016,Yukon,20,Activités de soutien à la foresterie
2016,Yukon,5,Fabrication de produits en bois
2017,Canada,33415,Foresterie et exploitation forestière
2017,Canada,57940,Fabrication du papier
2017,Canada,21765,Activités de soutien à la foresterie
2017,Canada,103490,Fabrication de produits en bois
2017,Alberta,3070,Foresterie et exploitation forestière
2017,Alberta,2730,Fabrication du papier
2017,Alberta,1750,Activités de soutien à la foresterie
2017,Alberta,9305,Fabrication de produits en bois
2017,Colombie-Britannique,13190,Foresterie et exploitation forestière
2017,Colombie-Britannique,8525,Fabrication du papier
2017,Colombie-Britannique,7795,Activités de soutien à la foresterie
2017,Colombie-Britannique,29930,Fabrication de produits en bois
2017,Manitoba,280,Foresterie et exploitation forestière
2017,Manitoba,1300,Fabrication du papier
2017,Manitoba,485,Activités de soutien à la foresterie
2017,Manitoba,2495,Fabrication de produits en bois
2017,Nouveau-Brunswick,2705,Foresterie et exploitation forestière
2017,Nouveau-Brunswick,3095,Fabrication du papier
2017,Nouveau-Brunswick,935,Activités de soutien à la foresterie
2017,Nouveau-Brunswick,5735,Fabrication de produits en bois
2017,Terre-Neuve-et-Labrador,315,Foresterie et exploitation forestière
2017,Terre-Neuve-et-Labrador,360,Fabrication du papier
2017,Terre-Neuve-et-Labrador,150,Activités de soutien à la foresterie
2017,Terre-Neuve-et-Labrador,390,Fabrication de produits en bois
2017,Territoires du Nord-Ouest,5,Foresterie et exploitation forestière
2017,Territoires du Nord-Ouest,0,Fabrication du papier
2017,Territoires du Nord-Ouest,170,Activités de soutien à la foresterie
2017,Territoires du Nord-Ouest,5,Fabrication de produits en bois
2017,Nouvelle-Écosse,800,Foresterie et exploitation forestière
2017,Nouvelle-Écosse,1290,Fabrication du papier
2017,Nouvelle-Écosse,540,Activités de soutien à la foresterie
2017,Nouvelle-Écosse,1875,Fabrication de produits en bois
2017,Nunavut,0,Foresterie et exploitation forestière
2017,Nunavut,0,Fabrication du papier
2017,Nunavut,0,Activités de soutien à la foresterie
2017,Nunavut,0,Fabrication de produits en bois
2017,Ontario,4250,Foresterie et exploitation forestière
2017,Ontario,19290,Fabrication du papier
2017,Ontario,3090,Activités de soutien à la foresterie
2017,Ontario,18410,Fabrication de produits en bois
2017,Île-du-Prince-Édouard,70,Foresterie et exploitation forestière
2017,Île-du-Prince-Édouard,315,Fabrication du papier
2017,Île-du-Prince-Édouard,40,Activités de soutien à la foresterie
2017,Île-du-Prince-Édouard,150,Fabrication de produits en bois
2017,Québec,8300,Foresterie et exploitation forestière
2017,Québec,20735,Fabrication du papier
2017,Québec,5885,Activités de soutien à la foresterie
2017,Québec,33420,Fabrication de produits en bois
2017,Saskatchewan,400,Foresterie et exploitation forestière
2017,Saskatchewan,300,Fabrication du papier
2017,Saskatchewan,900,Activités de soutien à la foresterie
2017,Saskatchewan,1770,Fabrication de produits en bois
2017,Yukon,30,Foresterie et exploitation forestière
2017,Yukon,0,Fabrication du papier
2017,Yukon,25,Activités de soutien à la foresterie
2017,Yukon,5,Fabrication de produits en bois
2018,Canada,34205,Foresterie et exploitation forestière
2018,Canada,58320,Fabrication du papier
2018,Canada,22155,Activités de soutien à la foresterie
2018,Canada,102130,Fabrication de produits en bois
2018,Alberta,3190,Foresterie et exploitation forestière
2018,Alberta,2855,Fabrication du papier
2018,Alberta,1745,Activités de soutien à la foresterie
2018,Alberta,9475,Fabrication de produits en bois
2018,Colombie-Britannique,13825,Foresterie et exploitation forestière
2018,Colombie-Britannique,8765,Fabrication du papier
2018,Colombie-Britannique,8460,Activités de soutien à la foresterie
2018,Colombie-Britannique,29530,Fabrication de produits en bois
2018,Manitoba,280,Foresterie et exploitation forestière
2018,Manitoba,1330,Fabrication du papier
2018,Manitoba,490,Activités de soutien à la foresterie
2018,Manitoba,2430,Fabrication de produits en bois
2018,Nouveau-Brunswick,2505,Foresterie et exploitation forestière
2018,Nouveau-Brunswick,3100,Fabrication du papier
2018,Nouveau-Brunswick,970,Activités de soutien à la foresterie
2018,Nouveau-Brunswick,5660,Fabrication de produits en bois
2018,Terre-Neuve-et-Labrador,310,Foresterie et exploitation forestière
2018,Terre-Neuve-et-Labrador,340,Fabrication du papier
2018,Terre-Neuve-et-Labrador,155,Activités de soutien à la foresterie
2018,Terre-Neuve-et-Labrador,410,Fabrication de produits en bois
2018,Territoires du Nord-Ouest,5,Foresterie et exploitation forestière
2018,Territoires du Nord-Ouest,0,Fabrication du papier
2018,Territoires du Nord-Ouest,165,Activités de soutien à la foresterie
2018,Territoires du Nord-Ouest,5,Fabrication de produits en bois
2018,Nouvelle-Écosse,800,Foresterie et exploitation forestière
2018,Nouvelle-Écosse,1270,Fabrication du papier
2018,Nouvelle-Écosse,470,Activités de soutien à la foresterie
2018,Nouvelle-Écosse,1615,Fabrication de produits en bois
2018,Nunavut,0,Foresterie et exploitation forestière
2018,Nunavut,0,Fabrication du papier
2018,Nunavut,0,Activités de soutien à la foresterie
2018,Nunavut,0,Fabrication de produits en bois
2018,Ontario,4130,Foresterie et exploitation forestière
2018,Ontario,19415,Fabrication du papier
2018,Ontario,2690,Activités de soutien à la foresterie
