Année,Juridiction,Type de commerce,Groupe de produits de base,Produit,Quantité
2006,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),803012
2006,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",696643
2006,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),108628316
2007,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),4246101
2007,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),1012967
2007,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),56864
2007,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),3038687
2007,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",708738
2007,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1076318
2007,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),127082
2007,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),2624444
2007,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),924455
2007,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",745584
2007,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),122071987
2008,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),4043418
2008,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),844367
2008,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),74510
2008,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2871986
2008,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",317588
2008,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1045370
2008,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),134974
2008,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),2538985
2008,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),2263231
2008,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",900365
2008,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),83192563
2009,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),3993623
2009,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),954033
2009,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),63333
2009,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2617663
2009,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",245501
2009,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),843724
2009,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),97236
2009,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),580579
2009,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),932733
2009,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",944169
2009,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),65529472
2010,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),4232196
2010,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),733077
2010,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),73466
