Année,Juridiction,Superficie (en hectare)
2015,Ontario,131081
2015,Île-du-Prince-Édouard,2760
2015,Québec,202054
2015,Saskatchewan,21265
2015,Yukon,150
2016,Canada,793989
2016,Alberta,89381
2016,Colombie-Britannique,207607
2016,Manitoba,8563
2016,Nouveau-Brunswick,81439
2016,Terre-Neuve-et-Labrador,7881
2016,Territoires du Nord-Ouest,390
2016,Nouvelle-Écosse,34075
2016,Nunavut,0
2016,Ontario,138222
2016,Île-du-Prince-Édouard,2919
2016,Québec,202124
2016,Saskatchewan,21119
2016,Yukon,270
2017,Canada,799932
2017,Alberta,91347
2017,Colombie-Britannique,203411
2017,Manitoba,9643
2017,Nouveau-Brunswick,80719
2017,Terre-Neuve-et-Labrador,7586
2017,Territoires du Nord-Ouest,530
2017,Nouvelle-Écosse,28550
2017,Nunavut,0
2017,Ontario,138640
2017,Île-du-Prince-Édouard,2777
2017,Québec,216383
2017,Saskatchewan,20246
2017,Yukon,100
2018,Canada,797453
2018,Alberta,92373
2018,Colombie-Britannique,199998
2018,Manitoba,9439
2018,Nouveau-Brunswick,74586
2018,Terre-Neuve-et-Labrador,8623
2018,Territoires du Nord-Ouest,417
2018,Nouvelle-Écosse,31800
2018,Nunavut,0
2018,Ontario,127272
2018,Île-du-Prince-Édouard,2241
2018,Québec,227945
2018,Saskatchewan,22659
2018,Yukon,100
2019,Canada,769631
2019,Alberta,105685
2019,Colombie-Britannique,155712
2019,Manitoba,9721
2019,Nouveau-Brunswick,79097
2019,Terre-Neuve-et-Labrador,7807
2019,Territoires du Nord-Ouest,440
2019,Nouvelle-Écosse,34118
2019,Ontario,132016
2019,Île-du-Prince-Édouard,2852
2019,Québec,219116
2019,Saskatchewan,22909
2019,Yukon,158
2020,Canada,744842
2020,Alberta,96317
2020,Colombie-Britannique,155443
2020,Manitoba,8946
2020,Nouveau-Brunswick,79047
2020,Terre-Neuve-et-Labrador,7509
2020,Territoires du Nord-Ouest,334
2020,Nouvelle-Écosse,25331
2020,Ontario,125456
2020,Île-du-Prince-Édouard,2652
2020,Québec,221709
2020,Saskatchewan,21796
2020,Yukon,302
2021,Canada,725098
2021,Alberta,85873
2021,Colombie-Britannique,142943
2021,Manitoba,7992
2021,Nouveau-Brunswick,79047
2021,Terre-Neuve-et-Labrador,8247
2021,Territoires du Nord-Ouest,362
2021,Nouvelle-Écosse,27950
2021,Ontario,119512
2021,Île-du-Prince-Édouard,2471
2021,Québec,229344
2021,Saskatchewan,21183
2021,Yukon,173
2022,Canada,674819
2022,Alberta,91058
2022,Colombie-Britannique,112902
2022,Manitoba,9091
2022,Nouveau-Brunswick,67253
2022,Terre-Neuve-et-Labrador,7659
2022,Territoires du Nord-Ouest,386
2022,Nouvelle-Écosse,28059
2022,Ontario,111544
2022,Île-du-Prince-Édouard,2439
2022,Québec,219809
2022,Saskatchewan,24389
2022,Yukon,230
2023,Canada,669812
2023,Alberta,105527
2023,Colombie-Britannique,91999
2023,Manitoba,9091
2023,Nouveau-Brunswick,72959
2023,Terre-Neuve-et-Labrador,7654
2023,Territoires du Nord-Ouest,249
2023,Nouvelle-Écosse,21182
2023,Ontario,114172
2023,Île-du-Prince-Édouard,2551
2023,Québec,219809
2023,Saskatchewan,24389
2023,Yukon,230
