Année,Juridiction,Secteur,Employé(e)s
2003,Colombie-Britannique,Fabrication du papier,13611
2003,Colombie-Britannique,Activités de soutien à la foresterie,5158
2003,Colombie-Britannique,Fabrication de produits en bois,35992
2003,Manitoba,Foresterie et exploitation forestière,0
2003,Manitoba,Fabrication du papier,1696
2003,Manitoba,Activités de soutien à la foresterie,0
2003,Manitoba,Fabrication de produits en bois,4569
2003,Nouveau-Brunswick,Foresterie et exploitation forestière,0
2003,Nouveau-Brunswick,Fabrication du papier,6555
2003,Nouveau-Brunswick,Activités de soutien à la foresterie,0
2003,Nouveau-Brunswick,Fabrication de produits en bois,6506
2003,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,0
2003,Terre-Neuve-et-Labrador,Fabrication du papier,0
2003,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,530
2003,Terre-Neuve-et-Labrador,Fabrication de produits en bois,476
2003,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2003,Territoires du Nord-Ouest,Fabrication du papier,0
2003,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2003,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2003,Nouvelle-Écosse,Foresterie et exploitation forestière,1465
2003,Nouvelle-Écosse,Fabrication du papier,2296
2003,Nouvelle-Écosse,Activités de soutien à la foresterie,352
2003,Nouvelle-Écosse,Fabrication de produits en bois,2770
2003,Nunavut,Foresterie et exploitation forestière,0
2003,Nunavut,Fabrication du papier,0
2003,Nunavut,Activités de soutien à la foresterie,0
2003,Nunavut,Fabrication de produits en bois,0
2003,Ontario,Foresterie et exploitation forestière,6877
2003,Ontario,Fabrication du papier,35243
2003,Ontario,Activités de soutien à la foresterie,1224
2003,Ontario,Fabrication de produits en bois,28439
2003,Île-du-Prince-Édouard,Foresterie et exploitation forestière,0
2003,Île-du-Prince-Édouard,Fabrication du papier,0
2003,Île-du-Prince-Édouard,Activités de soutien à la foresterie,0
2003,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2003,Québec,Foresterie et exploitation forestière,14257
2003,Québec,Fabrication du papier,31690
2003,Québec,Activités de soutien à la foresterie,4286
2003,Québec,Fabrication de produits en bois,43417
2003,Saskatchewan,Foresterie et exploitation forestière,784
2003,Saskatchewan,Fabrication du papier,1040
2003,Saskatchewan,Activités de soutien à la foresterie,648
2003,Saskatchewan,Fabrication de produits en bois,1458
2003,Yukon,Foresterie et exploitation forestière,0
2003,Yukon,Fabrication du papier,0
2003,Yukon,Activités de soutien à la foresterie,0
2003,Yukon,Fabrication de produits en bois,0
2004,Canada,Foresterie et exploitation forestière,47994
2004,Canada,Fabrication du papier,93718
2004,Canada,Activités de soutien à la foresterie,13503
2004,Canada,Fabrication de produits en bois,138402
2004,Alberta,Foresterie et exploitation forestière,2930
2004,Alberta,Fabrication du papier,3336
2004,Alberta,Activités de soutien à la foresterie,1539
2004,Alberta,Fabrication de produits en bois,11561
2004,Colombie-Britannique,Foresterie et exploitation forestière,17756
2004,Colombie-Britannique,Fabrication du papier,13214
2004,Colombie-Britannique,Activités de soutien à la foresterie,4409
2004,Colombie-Britannique,Fabrication de produits en bois,36513
2004,Manitoba,Foresterie et exploitation forestière,0
2004,Manitoba,Fabrication du papier,1740
2004,Manitoba,Activités de soutien à la foresterie,0
2004,Manitoba,Fabrication de produits en bois,4913
2004,Nouveau-Brunswick,Foresterie et exploitation forestière,0
2004,Nouveau-Brunswick,Fabrication du papier,5862
2004,Nouveau-Brunswick,Activités de soutien à la foresterie,0
2004,Nouveau-Brunswick,Fabrication de produits en bois,6594
2004,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,0
2004,Terre-Neuve-et-Labrador,Fabrication du papier,0
2004,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,0
2004,Terre-Neuve-et-Labrador,Fabrication de produits en bois,0
2004,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2004,Territoires du Nord-Ouest,Fabrication du papier,0
2004,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2004,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2004,Nouvelle-Écosse,Foresterie et exploitation forestière,0
2004,Nouvelle-Écosse,Fabrication du papier,2325
2004,Nouvelle-Écosse,Activités de soutien à la foresterie,399
2004,Nouvelle-Écosse,Fabrication de produits en bois,2758
2004,Nunavut,Foresterie et exploitation forestière,0
2004,Nunavut,Fabrication du papier,0
2004,Nunavut,Activités de soutien à la foresterie,0
2004,Nunavut,Fabrication de produits en bois,0
2004,Ontario,Foresterie et exploitation forestière,6805
2004,Ontario,Fabrication du papier,34013
2004,Ontario,Activités de soutien à la foresterie,1160
2004,Ontario,Fabrication de produits en bois,27883
2004,Île-du-Prince-Édouard,Foresterie et exploitation forestière,0
2004,Île-du-Prince-Édouard,Fabrication du papier,0
2004,Île-du-Prince-Édouard,Activités de soutien à la foresterie,0
2004,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2004,Québec,Foresterie et exploitation forestière,14140
2004,Québec,Fabrication du papier,30213
2004,Québec,Activités de soutien à la foresterie,3606
2004,Québec,Fabrication de produits en bois,45655
