Année,Juridiction,Type de commerce,Groupe de produits de base,Valeur (en dollars),Produit
2008,Canada,Importations,Produits bruts du bois,35055126,Bois à pâte
2008,Canada,Importations,Produits de pâtes et papiers,59338426,Papier journal
2008,Canada,Importations,Produits de pâtes et papiers,3191058029,Autres papiers et cartons
2008,Canada,Importations,Produits de pâtes et papiers,184301527,Pâte de bois
2008,Canada,Importations,Produits fabriqués en bois,340202196,Bois de feuillus
2008,Canada,Importations,Produits fabriqués en bois,40221269,Panneaux de particules orientées
2008,Canada,Importations,Produits fabriqués en bois,71668825,Panneau de particules
2008,Canada,Importations,Produits fabriqués en bois,272953607,Contreplaqué
2008,Canada,Importations,Produits fabriqués en bois,166560349,"Bois d'œuvre résineux"
2008,Canada,Importations,Produits fabriqués en bois,169908439,Placage
2009,Canada,Importations,Produits bruts du bois,289074182,Grumes
2009,Canada,Importations,Produits bruts du bois,51164940,Bois à pâte
2009,Canada,Importations,Produits de pâtes et papiers,43360553,Papier journal
2009,Canada,Importations,Produits de pâtes et papiers,2895907333,Autres papiers et cartons
2009,Canada,Importations,Produits de pâtes et papiers,164595179,Pâte de bois
2009,Canada,Importations,Produits fabriqués en bois,239484833,Bois de feuillus
2009,Canada,Importations,Produits fabriqués en bois,28227417,Panneaux de particules orientées
2009,Canada,Importations,Produits fabriqués en bois,44984555,Panneau de particules
2009,Canada,Importations,Produits fabriqués en bois,226217816,Contreplaqué
2009,Canada,Importations,Produits fabriqués en bois,158105398,"Bois d'œuvre résineux"
2009,Canada,Importations,Produits fabriqués en bois,141926025,Placage
2010,Canada,Importations,Produits bruts du bois,281434293,Grumes
2010,Canada,Importations,Produits bruts du bois,35328312,Bois à pâte
2010,Canada,Importations,Produits de pâtes et papiers,44511380,Papier journal
2010,Canada,Importations,Produits de pâtes et papiers,2815564949,Autres papiers et cartons
2010,Canada,Importations,Produits de pâtes et papiers,173593222,Pâte de bois
2010,Canada,Importations,Produits fabriqués en bois,281917161,Bois de feuillus
2010,Canada,Importations,Produits fabriqués en bois,33053168,Panneaux de particules orientées
2010,Canada,Importations,Produits fabriqués en bois,45895025,Panneau de particules
2010,Canada,Importations,Produits fabriqués en bois,303823975,Contreplaqué
2010,Canada,Importations,Produits fabriqués en bois,205545244,"Bois d'œuvre résineux"
2010,Canada,Importations,Produits fabriqués en bois,130756787,Placage
2011,Canada,Importations,Produits bruts du bois,237835032,Grumes
2011,Canada,Importations,Produits bruts du bois,32741792,Bois à pâte
2011,Canada,Importations,Produits de pâtes et papiers,42604742,Papier journal
2011,Canada,Importations,Produits de pâtes et papiers,2692150371,Autres papiers et cartons
2011,Canada,Importations,Produits de pâtes et papiers,168921129,Pâte de bois
2011,Canada,Importations,Produits fabriqués en bois,247583346,Bois de feuillus
2011,Canada,Importations,Produits fabriqués en bois,29613232,Panneaux de particules orientées
2011,Canada,Importations,Produits fabriqués en bois,46620703,Panneau de particules
2011,Canada,Importations,Produits fabriqués en bois,315489848,Contreplaqué
2011,Canada,Importations,Produits fabriqués en bois,187844903,"Bois d'œuvre résineux"
2011,Canada,Importations,Produits fabriqués en bois,127925871,Placage
2012,Canada,Importations,Produits bruts du bois,256523727,Grumes
2012,Canada,Importations,Produits bruts du bois,38545665,Bois à pâte
2012,Canada,Importations,Produits de pâtes et papiers,49088831,Papier journal
2012,Canada,Importations,Produits de pâtes et papiers,2681887303,Autres papiers et cartons
2012,Canada,Importations,Produits de pâtes et papiers,187948222,Pâte de bois
2012,Canada,Importations,Produits fabriqués en bois,265672539,Bois de feuillus
2012,Canada,Importations,Produits fabriqués en bois,33551317,Panneaux de particules orientées
2012,Canada,Importations,Produits fabriqués en bois,53201497,Panneau de particules
2012,Canada,Importations,Produits fabriqués en bois,362242414,Contreplaqué
2012,Canada,Importations,Produits fabriqués en bois,213124193,"Bois d'œuvre résineux"
2012,Canada,Importations,Produits fabriqués en bois,132079404,Placage
2013,Canada,Importations,Produits bruts du bois,281668264,Grumes
2013,Canada,Importations,Produits bruts du bois,37644226,Bois à pâte
2013,Canada,Importations,Produits de pâtes et papiers,60270874,Papier journal
2013,Canada,Importations,Produits de pâtes et papiers,2785203154,Autres papiers et cartons
2013,Canada,Importations,Produits de pâtes et papiers,173147389,Pâte de bois
2013,Canada,Importations,Produits fabriqués en bois,282651694,Bois de feuillus
2013,Canada,Importations,Produits fabriqués en bois,39949321,Panneaux de particules orientées
2013,Canada,Importations,Produits fabriqués en bois,58904659,Panneau de particules
2013,Canada,Importations,Produits fabriqués en bois,363295969,Contreplaqué
2013,Canada,Importations,Produits fabriqués en bois,249232778,"Bois d'œuvre résineux"
2013,Canada,Importations,Produits fabriqués en bois,133808963,Placage
2014,Canada,Importations,Produits bruts du bois,302784164,Grumes
2014,Canada,Importations,Produits bruts du bois,40710399,Bois à pâte
2014,Canada,Importations,Produits de pâtes et papiers,50930689,Papier journal
2014,Canada,Importations,Produits de pâtes et papiers,3000516701,Autres papiers et cartons
2014,Canada,Importations,Produits de pâtes et papiers,207963162,Pâte de bois
2014,Canada,Importations,Produits fabriqués en bois,342676880,Bois de feuillus
2014,Canada,Importations,Produits fabriqués en bois,39658537,Panneaux de particules orientées
2014,Canada,Importations,Produits fabriqués en bois,74074551,Panneau de particules
2014,Canada,Importations,Produits fabriqués en bois,377006407,Contreplaqué
2014,Canada,Importations,Produits fabriqués en bois,263491992,"Bois d'œuvre résineux"
2014,Canada,Importations,Produits fabriqués en bois,146339614,Placage
2015,Canada,Importations,Produits bruts du bois,383799433,Grumes
2015,Canada,Importations,Produits bruts du bois,39092331,Bois à pâte
2015,Canada,Importations,Produits de pâtes et papiers,49168797,Papier journal
2015,Canada,Importations,Produits de pâtes et papiers,3384249166,Autres papiers et cartons
2015,Canada,Importations,Produits de pâtes et papiers,271720954,Pâte de bois
2015,Canada,Importations,Produits fabriqués en bois,327237741,Bois de feuillus
