Année,Juridiction,Industrie,"Nombre d'emplois"
2003,Colombie-Britannique,,7805
2003,Colombie-Britannique,Fabrication de produits en bois,40130
2003,Manitoba,,625
2003,Manitoba,,2205
2003,Manitoba,,620
2003,Manitoba,Fabrication de produits en bois,4940
2003,Nouveau-Brunswick,,3945
2003,Nouveau-Brunswick,,3965
2003,Nouveau-Brunswick,,1340
2003,Nouveau-Brunswick,Fabrication de produits en bois,6065
2003,Terre-Neuve-et-Labrador,,965
2003,Terre-Neuve-et-Labrador,,925
2003,Terre-Neuve-et-Labrador,,300
2003,Terre-Neuve-et-Labrador,Fabrication de produits en bois,580
2003,Territoires du Nord-Ouest,,15
2003,Territoires du Nord-Ouest,,0
2003,Territoires du Nord-Ouest,,180
2003,Territoires du Nord-Ouest,Fabrication de produits en bois,5
2003,Nouvelle-Écosse,,2230
2003,Nouvelle-Écosse,,1930
2003,Nouvelle-Écosse,,620
2003,Nouvelle-Écosse,Fabrication de produits en bois,3385
2003,Nunavut,,0
2003,Nunavut,,0
2003,Nunavut,,0
2003,Nunavut,Fabrication de produits en bois,0
2003,Ontario,,8100
2003,Ontario,,34970
2003,Ontario,,2685
2003,Ontario,Fabrication de produits en bois,36010
2003,Île-du-Prince-Édouard,,130
2003,Île-du-Prince-Édouard,,60
2003,Île-du-Prince-Édouard,,35
2003,Île-du-Prince-Édouard,Fabrication de produits en bois,345
2003,Québec,,14030
2003,Québec,,30435
2003,Québec,,5030
2003,Québec,Fabrication de produits en bois,44345
2003,Saskatchewan,,985
2003,Saskatchewan,,1485
2003,Saskatchewan,,1405
2003,Saskatchewan,Fabrication de produits en bois,2260
2003,Yukon,,40
2003,Yukon,,0
2003,Yukon,,10
2003,Yukon,Fabrication de produits en bois,30
2004,Canada,,56610
2004,Canada,,90785
2004,Canada,,20305
2004,Canada,Fabrication de produits en bois,161165
2004,Alberta,,2875
2004,Alberta,,3425
2004,Alberta,,1920
2004,Alberta,Fabrication de produits en bois,13655
2004,Colombie-Britannique,,23580
2004,Colombie-Britannique,,14340
2004,Colombie-Britannique,,6775
2004,Colombie-Britannique,Fabrication de produits en bois,46495
2004,Manitoba,,595
2004,Manitoba,,2080
2004,Manitoba,,605
2004,Manitoba,Fabrication de produits en bois,5430
2004,Nouveau-Brunswick,,3630
2004,Nouveau-Brunswick,,4175
2004,Nouveau-Brunswick,,1305
2004,Nouveau-Brunswick,Fabrication de produits en bois,6020
2004,Terre-Neuve-et-Labrador,,975
2004,Terre-Neuve-et-Labrador,,720
2004,Terre-Neuve-et-Labrador,,290
2004,Terre-Neuve-et-Labrador,Fabrication de produits en bois,585
2004,Territoires du Nord-Ouest,,10
2004,Territoires du Nord-Ouest,,0
2004,Territoires du Nord-Ouest,,180
2004,Territoires du Nord-Ouest,Fabrication de produits en bois,15
2004,Nouvelle-Écosse,,2265
2004,Nouvelle-Écosse,,2210
2004,Nouvelle-Écosse,,635
2004,Nouvelle-Écosse,Fabrication de produits en bois,3385
2004,Nunavut,,0
2004,Nunavut,,0
2004,Nunavut,,0
2004,Nunavut,Fabrication de produits en bois,0
2004,Ontario,,7980
2004,Ontario,,33880
2004,Ontario,,2230
2004,Ontario,Fabrication de produits en bois,36235
2004,Île-du-Prince-Édouard,,80
2004,Île-du-Prince-Édouard,,105
2004,Île-du-Prince-Édouard,,25
2004,Île-du-Prince-Édouard,Fabrication de produits en bois,330
2004,Québec,,13740
2004,Québec,,28235
2004,Québec,,5000
2004,Québec,Fabrication de produits en bois,45445
2004,Saskatchewan,,850
2004,Saskatchewan,,1615
2004,Saskatchewan,,1330
2004,Saskatchewan,Fabrication de produits en bois,3555
2004,Yukon,,30
2004,Yukon,,0
2004,Yukon,,10
2004,Yukon,Fabrication de produits en bois,15
2005,Canada,,56710
2005,Canada,,90845
2005,Canada,,20405
2005,Canada,Fabrication de produits en bois,152745
2005,Alberta,,2885
2005,Alberta,,3370
2005,Alberta,,1870
2005,Alberta,Fabrication de produits en bois,12350
2005,Colombie-Britannique,,23515
2005,Colombie-Britannique,,15255
2005,Colombie-Britannique,,6735
2005,Colombie-Britannique,Fabrication de produits en bois,43690
2005,Manitoba,,595
2005,Manitoba,,2060
2005,Manitoba,,600
2005,Manitoba,Fabrication de produits en bois,5040
2005,Nouveau-Brunswick,,3410
2005,Nouveau-Brunswick,,2650
2005,Nouveau-Brunswick,,1250
2005,Nouveau-Brunswick,Fabrication de produits en bois,6185
2005,Terre-Neuve-et-Labrador,,885
2005,Terre-Neuve-et-Labrador,,665
2005,Terre-Neuve-et-Labrador,,270
2005,Terre-Neuve-et-Labrador,Fabrication de produits en bois,540
2005,Territoires du Nord-Ouest,,15
2005,Territoires du Nord-Ouest,,0
2005,Territoires du Nord-Ouest,,165
2005,Territoires du Nord-Ouest,Fabrication de produits en bois,10
2005,Nouvelle-Écosse,,2170
2005,Nouvelle-Écosse,,2185
2005,Nouvelle-Écosse,,600
2005,Nouvelle-Écosse,Fabrication de produits en bois,3320
2005,Nunavut,,0
2005,Nunavut,,0
2005,Nunavut,,0
2005,Nunavut,Fabrication de produits en bois,0
2005,Ontario,,8555
2005,Ontario,,32675
2005,Ontario,,2605
2005,Ontario,Fabrication de produits en bois,34315
2005,Île-du-Prince-Édouard,,65
2005,Île-du-Prince-Édouard,,125
2005,Île-du-Prince-Édouard,,15
2005,Île-du-Prince-Édouard,Fabrication de produits en bois,360
2005,Québec,,13895
2005,Québec,,30385
2005,Québec,,5125
2005,Québec,Fabrication de produits en bois,43540
2005,Saskatchewan,,695
2005,Saskatchewan,,1475
2005,Saskatchewan,,1160
2005,Saskatchewan,Fabrication de produits en bois,3370
2005,Yukon,,25
2005,Yukon,,0
2005,Yukon,,10
2005,Yukon,Fabrication de produits en bois,25
2006,Canada,,49960
2006,Canada,,83915
2006,Canada,,21435
2006,Canada,Fabrication de produits en bois,135690
2006,Alberta,,3025
2006,Alberta,,3625
2006,Alberta,,1990
2006,Alberta,Fabrication de produits en bois,12480
2006,Colombie-Britannique,,18815
2006,Colombie-Britannique,,14715
2006,Colombie-Britannique,,7625
2006,Colombie-Britannique,Fabrication de produits en bois,37855
2006,Manitoba,,575
2006,Manitoba,,1710
2006,Manitoba,,570
2006,Manitoba,Fabrication de produits en bois,4455
2006,Nouveau-Brunswick,,3195
2006,Nouveau-Brunswick,,2770
2006,Nouveau-Brunswick,,1245
2006,Nouveau-Brunswick,Fabrication de produits en bois,5390
2006,Terre-Neuve-et-Labrador,,840
2006,Terre-Neuve-et-Labrador,,1020
2006,Terre-Neuve-et-Labrador,,260
2006,Terre-Neuve-et-Labrador,Fabrication de produits en bois,460
2006,Territoires du Nord-Ouest,,15
2006,Territoires du Nord-Ouest,,0
2006,Territoires du Nord-Ouest,,180
2006,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2006,Nouvelle-Écosse,,1890
2006,Nouvelle-Écosse,,1860
2006,Nouvelle-Écosse,,515
2006,Nouvelle-Écosse,Fabrication de produits en bois,3540
2006,Nunavut,,0
2006,Nunavut,,0
2006,Nunavut,,0
2006,Nunavut,Fabrication de produits en bois,0
2006,Ontario,,7695
2006,Ontario,,29315
2006,Ontario,,2590
2006,Ontario,Fabrication de produits en bois,30555
2006,Île-du-Prince-Édouard,,65
2006,Île-du-Prince-Édouard,,120
2006,Île-du-Prince-Édouard,,10
2006,Île-du-Prince-Édouard,Fabrication de produits en bois,385
2006,Québec,,13210
2006,Québec,,28475
2006,Québec,,5230
2006,Québec,Fabrication de produits en bois,38440
2006,Saskatchewan,,610
2006,Saskatchewan,,305
2006,Saskatchewan,,1210
2006,Saskatchewan,Fabrication de produits en bois,2100
2006,Yukon,,25
2006,Yukon,,0
2006,Yukon,,10
2006,Yukon,Fabrication de produits en bois,30
2007,Canada,,45110
2007,Canada,,78080
2007,Canada,,21175
2007,Canada,Fabrication de produits en bois,114225
2007,Alberta,,2700
2007,Alberta,,3475
2007,Alberta,,1940
2007,Alberta,Fabrication de produits en bois,11255
2007,Colombie-Britannique,,16760
2007,Colombie-Britannique,,13395
2007,Colombie-Britannique,,7670
2007,Colombie-Britannique,Fabrication de produits en bois,33560
2007,Manitoba,,550
2007,Manitoba,,1760
2007,Manitoba,,575
2007,Manitoba,Fabrication de produits en bois,4200
2007,Nouveau-Brunswick,,3035
2007,Nouveau-Brunswick,,3960
2007,Nouveau-Brunswick,,1240
2007,Nouveau-Brunswick,Fabrication de produits en bois,4180
2007,Terre-Neuve-et-Labrador,,795
2007,Terre-Neuve-et-Labrador,,1005
2007,Terre-Neuve-et-Labrador,,260
2007,Terre-Neuve-et-Labrador,Fabrication de produits en bois,485
2007,Territoires du Nord-Ouest,,15
2007,Territoires du Nord-Ouest,,0
2007,Territoires du Nord-Ouest,,185
2007,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2007,Nouvelle-Écosse,,1850
2007,Nouvelle-Écosse,,2490
2007,Nouvelle-Écosse,,525
2007,Nouvelle-Écosse,Fabrication de produits en bois,2990
2007,Nunavut,,0
2007,Nunavut,,0
2007,Nunavut,,0
2007,Nunavut,Fabrication de produits en bois,0
2007,Ontario,,7090
2007,Ontario,,26445
2007,Ontario,,2595
2007,Ontario,Fabrication de produits en bois,23890
2007,Île-du-Prince-Édouard,,55
2007,Île-du-Prince-Édouard,,110
2007,Île-du-Prince-Édouard,,30
2007,Île-du-Prince-Édouard,Fabrication de produits en bois,255
2007,Québec,,11745
2007,Québec,,25035
2007,Québec,,5000
2007,Québec,Fabrication de produits en bois,32010
2007,Saskatchewan,,495
2007,Saskatchewan,,405
2007,Saskatchewan,,1145
2007,Saskatchewan,Fabrication de produits en bois,1385
2007,Yukon,,20
2007,Yukon,,0
2007,Yukon,,10
2007,Yukon,Fabrication de produits en bois,15
2008,Canada,,42105
2008,Canada,,70290
2008,Canada,,20765
2008,Canada,Fabrication de produits en bois,101955
2008,Alberta,,2540
2008,Alberta,,3115
2008,Alberta,,1940
2008,Alberta,Fabrication de produits en bois,9590
2008,Colombie-Britannique,,14060
2008,Colombie-Britannique,,11535
2008,Colombie-Britannique,,7480
2008,Colombie-Britannique,Fabrication de produits en bois,28330
2008,Manitoba,,450
2008,Manitoba,,1635
2008,Manitoba,,540
2008,Manitoba,Fabrication de produits en bois,4265
2008,Nouveau-Brunswick,,2835
2008,Nouveau-Brunswick,,3105
2008,Nouveau-Brunswick,,1045
2008,Nouveau-Brunswick,Fabrication de produits en bois,4105
2008,Terre-Neuve-et-Labrador,,675
2008,Terre-Neuve-et-Labrador,,995
2008,Terre-Neuve-et-Labrador,,215
2008,Terre-Neuve-et-Labrador,Fabrication de produits en bois,420
2008,Territoires du Nord-Ouest,,15
2008,Territoires du Nord-Ouest,,0
2008,Territoires du Nord-Ouest,,190
2008,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2008,Nouvelle-Écosse,,1735
2008,Nouvelle-Écosse,,2320
2008,Nouvelle-Écosse,,595
2008,Nouvelle-Écosse,Fabrication de produits en bois,3365
2008,Nunavut,,0
2008,Nunavut,,0
2008,Nunavut,,0
2008,Nunavut,Fabrication de produits en bois,0
2008,Ontario,,6215
2008,Ontario,,24420
2008,Ontario,,2595
2008,Ontario,Fabrication de produits en bois,20670
2008,Île-du-Prince-Édouard,,45
2008,Île-du-Prince-Édouard,,105
2008,Île-du-Prince-Édouard,,20
2008,Île-du-Prince-Édouard,Fabrication de produits en bois,230
2008,Québec,,13095
2008,Québec,,22865
2008,Québec,,4930
2008,Québec,Fabrication de produits en bois,29750
2008,Saskatchewan,,420
2008,Saskatchewan,,195
2008,Saskatchewan,,1205
2008,Saskatchewan,Fabrication de produits en bois,1215
2008,Yukon,,20
2008,Yukon,,0
2008,Yukon,,10
2008,Yukon,Fabrication de produits en bois,15
2009,Canada,,35045
2009,Canada,,64945
2009,Canada,,22045
2009,Canada,Fabrication de produits en bois,88000
2009,Alberta,,2320
2009,Alberta,,2735
2009,Alberta,,1875
2009,Alberta,Fabrication de produits en bois,9020
2009,Colombie-Britannique,,10155
2009,Colombie-Britannique,,10075
2009,Colombie-Britannique,,7240
2009,Colombie-Britannique,Fabrication de produits en bois,23180
2009,Manitoba,,350
2009,Manitoba,,1435
2009,Manitoba,,555
2009,Manitoba,Fabrication de produits en bois,3450
2009,Nouveau-Brunswick,,3020
2009,Nouveau-Brunswick,,2640
2009,Nouveau-Brunswick,,940
2009,Nouveau-Brunswick,Fabrication de produits en bois,3815
2009,Terre-Neuve-et-Labrador,,510
2009,Terre-Neuve-et-Labrador,,645
2009,Terre-Neuve-et-Labrador,,200
2009,Terre-Neuve-et-Labrador,Fabrication de produits en bois,395
2009,Territoires du Nord-Ouest,,10
2009,Territoires du Nord-Ouest,,0
2009,Territoires du Nord-Ouest,,170
2009,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2009,Nouvelle-Écosse,,1410
2009,Nouvelle-Écosse,,1810
2009,Nouvelle-Écosse,,680
2009,Nouvelle-Écosse,Fabrication de produits en bois,3200
2009,Nunavut,,0
2009,Nunavut,,0
2009,Nunavut,,0
2009,Nunavut,Fabrication de produits en bois,0
2009,Ontario,,4620
2009,Ontario,,22775
2009,Ontario,,3040
2009,Ontario,Fabrication de produits en bois,17385
2009,Île-du-Prince-Édouard,,40
2009,Île-du-Prince-Édouard,,120
2009,Île-du-Prince-Édouard,,20
2009,Île-du-Prince-Édouard,Fabrication de produits en bois,160
2009,Québec,,12250
2009,Québec,,22380
