Année,Mesure,Valeur
2012,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",154
2013,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",46.534275046969
2013,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",27
2013,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",73.534275046969
2013,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",154
2014,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",43.0543810063018
2014,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",160
2014,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",203.054381006302
2014,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",154
2015,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",46.8998552945983
2015,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",250
2015,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",296.899855294598
2015,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",161.333333333333
2016,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",36.800968700366
2016,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",86
2016,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",122.800968700366
2016,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",157.666666666667
2017,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",35.2062916482876
