Year,Jurisdiction,Number
2013,Canada,361567
2014,Canada,288700
2015,Canada,296691
2016,Canada,377000
2017,Canada,386000
2018,Canada,384000
2019,Canada,372000
2020,Canada,341000
2021,Canada,376000
2022,Canada,378000
2023,Canada,367000
