Année,Juridiction,Produit forestier,Unité de mesure,Valeur
2016,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,65031400
2016,Canada,Papier journal,tonnes,3342000
2016,Canada,"Papier d'impression et d'écriture",tonnes,2995000
2016,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,8728664
2016,Canada,Pâte de bois,tonnes,16508000
2017,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1488800
2017,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,65129100
2017,Canada,Papier journal,tonnes,3054000
2017,Canada,"Papier d'impression et d'écriture",tonnes,2975000
2017,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,8917148
2017,Canada,Pâte de bois,tonnes,16297000
2018,Canada,Bois lamellé-collé,en mètre cube,19910
2018,Canada,Solives en I,en mètre cube,223084
2018,Canada,Bois en placage stratifié,en mètre cube,6194
2018,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1250900
2018,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,64378500
2018,Canada,Papier journal,tonnes,3001000
2018,Canada,"Papier d'impression et d'écriture",tonnes,3053000
2018,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,9171115
2018,Canada,Panneaux de particules orientées total,en mètre cube,7428745
2018,Canada,Contreplaqués total,en mètre cube,1742370
2018,Canada,Pâte de bois,tonnes,16183000
2019,Canada,Bois lamellé-collé,en mètre cube,20441
2019,Canada,Solives en I,en mètre cube,220871
2019,Canada,Bois en placage stratifié,en mètre cube,5752
2019,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1032100
2019,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,56659300
2019,Canada,Papier journal,tonnes,2678000
2019,Canada,"Papier d'impression et d'écriture",tonnes,2612000
2019,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,8453460
2019,Canada,Panneaux de particules orientées total,en mètre cube,6752680
2019,Canada,Contreplaqués total,en mètre cube,1700780
2019,Canada,Pâte de bois,tonnes,15421000
2020,Canada,Bois lamellé-collé,en mètre cube,20176
2020,Canada,Solives en I,en mètre cube,232729
2020,Canada,Bois en placage stratifié,en mètre cube,5663
2020,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,997200
2020,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,54718300
2020,Canada,Papier journal,tonnes,1957000
2020,Canada,"Papier d'impression et d'écriture",tonnes,2266000
2020,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,8301257
2020,Canada,Panneaux de particules orientées total,en mètre cube,6628794
2020,Canada,Contreplaqués total,en mètre cube,1672463
2020,Canada,Pâte de bois,tonnes,14299000
2021,Canada,Bois lamellé-collé,en mètre cube,21149
2021,Canada,Solives en I,en mètre cube,258745
2021,Canada,Bois en placage stratifié,en mètre cube,6371
2021,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,880100
2021,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,55841700
2021,Canada,Papier journal,tonnes,1888000
2021,Canada,"Papier d'impression et d'écriture",tonnes,2434000
2021,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,8938386
2021,Canada,Panneaux de particules orientées total,en mètre cube,7240261
2021,Canada,Contreplaqués total,en mètre cube,1698125
2021,Canada,Pâte de bois,tonnes,14260000
2022,Canada,Bois lamellé-collé,en mètre cube,23184
2022,Canada,Solives en I,en mètre cube,239012
2022,Canada,Bois en placage stratifié,en mètre cube,6283
2022,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,873900
2022,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,50521200
2022,Canada,Papier journal,tonnes,1838000
2022,Canada,"Papier d'impression et d'écriture",tonnes,2599000
2022,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,8872903
2022,Canada,Panneaux de particules orientées total,en mètre cube,7269462
2022,Canada,Contreplaqués total,en mètre cube,1603441
2022,Canada,Pâte de bois,tonnes,13580000
2023,Canada,Bois lamellé-collé,en mètre cube,19291
2023,Canada,Solives en I,en mètre cube,203970
2023,Canada,Bois en placage stratifié,en mètre cube,4513
2023,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,875600
2023,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,47537800
2023,Canada,Papier journal,tonnes,1763000
2023,Canada,"Papier d'impression et d'écriture",tonnes,2002000
2023,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,8423373
2023,Canada,Panneaux de particules orientées total,en mètre cube,6819933
2023,Canada,Contreplaqués total,en mètre cube,1603441
2023,Canada,Pâte de bois,tonnes,12560000
