Année,Juridiction,Groupe de produits,Exportations,Importations,Consommation intérieure
2011,Canada,Pâte de bois (tonnes),9675844,222243,8833399
2012,Canada,Bois de feuillus (mètres cubes),485535,1340372,2131137
2012,Canada,Papier journal (tonnes),3496637,66958,444321
2012,Canada,"Papier d'impression et d'écriture (tonnes)",2688400,867647,1490247
2012,Canada,"Bois d'œuvre résineux (mètres cubes)",34559634,1752230,21736796
2012,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",3686839,1760457,4768771
2012,Canada,Pâte de bois (tonnes),9914534,279269,7513735
2013,Canada,Bois de feuillus (mètres cubes),469970,1115975,2034605
2013,Canada,Papier journal (tonnes),3657892,75878,389986
2013,Canada,"Papier d'impression et d'écriture (tonnes)",2818194,848283,1496089
2013,Canada,"Bois d'œuvre résineux (mètres cubes)",38274919,1534493,20769674
2013,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",4332197,1520572,4320669
2013,Canada,Pâte de bois (tonnes),9826635,250579,7677944
2014,Canada,Bois de feuillus (mètres cubes),569591,877886,1812295
2014,Canada,Papier journal (tonnes),3846864,66317,233453
2014,Canada,"Papier d'impression et d'écriture (tonnes)",2669869,787025,1372156
2014,Canada,"Bois d'œuvre résineux (mètres cubes)",40005621,1298082,19068561
2014,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",4903031,2041571,4825666
2014,Canada,Pâte de bois (tonnes),9680200,290214,7570014
2015,Canada,Bois de feuillus (mètres cubes),531726,1175989,2368663
2015,Canada,Papier journal (tonnes),3314038,59850,250812
2015,Canada,"Papier d'impression et d'écriture (tonnes)",2447204,752383,1341179
2015,Canada,"Bois d'œuvre résineux (mètres cubes)",41352636,1514137,22880901
2015,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",5348837,4269997,6887924
2015,Canada,Pâte de bois (tonnes),9922085,332685,6961600
2016,Canada,Bois de feuillus (mètres cubes),535211,617747,1683436
2016,Canada,Papier journal (tonnes),3106995,49708,284713
2016,Canada,"Papier d'impression et d'écriture (tonnes)",2321788,657940,1331152
2016,Canada,"Bois d'œuvre résineux (mètres cubes)",45317270,1185417,20899547
2016,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",6098315,1406482,4036831
2016,Canada,Pâte de bois (tonnes),9903829,445835,7050006
2017,Canada,Bois de feuillus (mètres cubes),586163,665025,1567662
2017,Canada,Papier journal (tonnes),2855993,34751,232758
2017,Canada,"Papier d'impression et d'écriture (tonnes)",2258961,653722,1369761
2017,Canada,"Bois d'œuvre résineux (mètres cubes)",43120555,1027628,23036173
2017,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",6631620,1851416,4136944
2017,Canada,Pâte de bois (tonnes),9922618,412374,6786756
