Year,Jurisdiction,Cause,Area (hectares),Number
2011,Manitoba,Natural cause,100615,159
2011,Manitoba,Unspecified,0,1
2012,Manitoba,Human activity,21027,205
2012,Manitoba,Natural cause,195861,293
2012,Manitoba,Unspecified,620,1
2013,Manitoba,Human activity,938,194
2013,Manitoba,Natural cause,1114519,302
2014,Manitoba,Human activity,1271,116
2014,Manitoba,Natural cause,37936,130
2015,Manitoba,Human activity,7834,166
2015,Manitoba,Natural cause,61353,295
2015,Manitoba,Unspecified,6,2
2016,Manitoba,Human activity,7451,110
2016,Manitoba,Natural cause,31707,96
2016,Manitoba,Unspecified,0,1
2017,Manitoba,Human activity,1368,143
2017,Manitoba,Natural cause,223056,423
2018,Manitoba,Human activity,78907,237
2018,Manitoba,Natural cause,155521,245
2018,Manitoba,Unspecified,50,1
2019,Manitoba,Human activity,7979,150
2019,Manitoba,Natural cause,63324,133
2019,Manitoba,Unspecified,33,1
2020,Manitoba,Human activity,34268,81
2020,Manitoba,Natural cause,15035,74
2021,Manitoba,Human activity,243052,120
2021,Manitoba,Natural cause,883671,369
2021,Manitoba,Unspecified,16038,8
2022,Manitoba,Human activity,4138,53
2022,Manitoba,Natural cause,187968,173
2022,Manitoba,Unspecified,1,1
2023,Manitoba,Human activity,6457,102
2023,Manitoba,Natural cause,192740,198
2023,Manitoba,Unspecified,2,2
2024,Manitoba,Human activity,3999,119
2024,Manitoba,Natural cause,233347,208
2000,New Brunswick,Human activity,372,265
2000,New Brunswick,Natural cause,71,20
2000,New Brunswick,Unspecified,50,57
2001,New Brunswick,Human activity,487,343
2001,New Brunswick,Natural cause,25,56
2001,New Brunswick,Unspecified,264,97
2002,New Brunswick,Human activity,255,211
2002,New Brunswick,Natural cause,33,55
2002,New Brunswick,Unspecified,37,51
2003,New Brunswick,Human activity,215,182
2003,New Brunswick,Natural cause,4,22
2003,New Brunswick,Unspecified,20,26
2004,New Brunswick,Human activity,389,212
2004,New Brunswick,Natural cause,5,8
2004,New Brunswick,Unspecified,68,36
2005,New Brunswick,Human activity,459,258
2005,New Brunswick,Natural cause,10,25
2005,New Brunswick,Unspecified,33,26
2006,New Brunswick,Human activity,574,249
2006,New Brunswick,Natural cause,9,27
2006,New Brunswick,Unspecified,42,34
2007,New Brunswick,Human activity,384,254
2007,New Brunswick,Natural cause,25,30
2007,New Brunswick,Unspecified,183,34
2008,New Brunswick,Human activity,126,140
2008,New Brunswick,Natural cause,7,13
2008,New Brunswick,Unspecified,10,15
2009,New Brunswick,Human activity,234,182
2009,New Brunswick,Natural cause,0,2
2009,New Brunswick,Unspecified,20,13
2010,New Brunswick,Human activity,130,143
2010,New Brunswick,Natural cause,11,9
2010,New Brunswick,Unspecified,15,27
2011,New Brunswick,Human activity,33,55
2011,New Brunswick,Natural cause,2,4
2011,New Brunswick,Unspecified,2,8
2012,New Brunswick,Human activity,288,277
2012,New Brunswick,Natural cause,1,6
2012,New Brunswick,Unspecified,72,55
2013,New Brunswick,Human activity,846,315
2013,New Brunswick,Natural cause,0,2
2013,New Brunswick,Unspecified,34,36
2014,New Brunswick,Human activity,101,154
2014,New Brunswick,Natural cause,1,4
2014,New Brunswick,Unspecified,11,22
2015,New Brunswick,Human activity,198,186
2015,New Brunswick,Natural cause,46,8
2015,New Brunswick,Unspecified,19,28
2016,New Brunswick,Human activity,199,238
2016,New Brunswick,Natural cause,22,13
2016,New Brunswick,Unspecified,44,34
2017,New Brunswick,Human activity,530,182
2017,New Brunswick,Natural cause,20,29
2017,New Brunswick,Unspecified,18,34
2018,New Brunswick,Human activity,250,229
2018,New Brunswick,Natural cause,16,19
2018,New Brunswick,Unspecified,44,37
2019,New Brunswick,Human activity,184,152
2019,New Brunswick,Natural cause,14,14
2019,New Brunswick,Unspecified,30,17
2020,New Brunswick,Human activity,1224,386
2020,New Brunswick,Natural cause,51,28
2020,New Brunswick,Unspecified,115,52
2021,New Brunswick,Human activity,332,148
2021,New Brunswick,Natural cause,30,8
2021,New Brunswick,Unspecified,18,23
2022,New Brunswick,Human activity,144,176
2022,New Brunswick,Natural cause,2,5
2022,New Brunswick,Unspecified,30,33
2023,New Brunswick,Human activity,832,181
2023,New Brunswick,Natural cause,14,10
2023,New Brunswick,Unspecified,8,11
