Year,Jurisdiction,Cause,Area (hectares),Number
2013,Saskatchewan,Natural cause,356635,160
2013,Saskatchewan,Unspecified,0,1
2014,Saskatchewan,Human activity,17955,211
2014,Saskatchewan,Natural cause,327254,194
2015,Saskatchewan,Human activity,43431,351
2015,Saskatchewan,Natural cause,1725597,384
2016,Saskatchewan,Human activity,3799,236
2016,Saskatchewan,Natural cause,251991,171
2016,Saskatchewan,Unspecified,0,1
2017,Saskatchewan,Human activity,1231,199
2017,Saskatchewan,Natural cause,398567,169
2018,Saskatchewan,Human activity,83817,281
2018,Saskatchewan,Natural cause,108916,170
2018,Saskatchewan,Unspecified,0,1
2019,Saskatchewan,Human activity,1531,178
2019,Saskatchewan,Natural cause,46622,73
2019,Saskatchewan,Unspecified,0,7
2020,Saskatchewan,Human activity,41398,136
2020,Saskatchewan,Natural cause,780,24
2020,Saskatchewan,Unspecified,774,41
2021,Saskatchewan,Human activity,6951,259
2021,Saskatchewan,Natural cause,949453,381
2021,Saskatchewan,Unspecified,1,2
2022,Saskatchewan,Human activity,13327,241
2022,Saskatchewan,Natural cause,252286,207
2022,Saskatchewan,Unspecified,0,2
2023,Saskatchewan,Human activity,309489,282
2023,Saskatchewan,Natural cause,1573578,207
2024,Saskatchewan,Human activity,19796,315
2024,Saskatchewan,Natural cause,916950,290
2000,Yukon,Human activity,10,31
2000,Yukon,Natural cause,7643,23
2000,Yukon,Unspecified,363,1
2001,Yukon,Human activity,7,18
2001,Yukon,Natural cause,17328,50
2002,Yukon,Human activity,23,39
2002,Yukon,Natural cause,36181,31
2003,Yukon,Human activity,2940,48
2003,Yukon,Natural cause,45845,29
2004,Yukon,Human activity,11631,33
2004,Yukon,Natural cause,1708033,249
2005,Yukon,Human activity,2,26
2005,Yukon,Natural cause,187437,57
2006,Yukon,Human activity,4,26
2006,Yukon,Natural cause,95029,54
2007,Yukon,Human activity,13989,20
2007,Yukon,Natural cause,24369,91
2008,Yukon,Human activity,12,27
2008,Yukon,Natural cause,13056,49
2009,Yukon,Human activity,3,33
2009,Yukon,Natural cause,230509,85
2010,Yukon,Human activity,5262,39
2010,Yukon,Natural cause,141702,50
2011,Yukon,Human activity,120,16
2011,Yukon,Natural cause,40344,40
2012,Yukon,Human activity,7,35
2012,Yukon,Natural cause,58274,92
2013,Yukon,Human activity,6,21
2013,Yukon,Natural cause,198307,156
2014,Yukon,Human activity,24,18
2014,Yukon,Natural cause,3137,16
2015,Yukon,Human activity,42,24
2015,Yukon,Natural cause,169801,162
2016,Yukon,Human activity,2,24
2016,Yukon,Natural cause,21535,29
2017,Yukon,Human activity,19,22
2017,Yukon,Natural cause,399261,93
2018,Yukon,Human activity,6487,18
2018,Yukon,Natural cause,74098,33
2019,Yukon,Human activity,1331,33
2019,Yukon,Natural cause,254735,85
2020,Yukon,Human activity,12,11
2020,Yukon,Natural cause,3452,13
2021,Yukon,Human activity,23,15
2021,Yukon,Natural cause,14252,98
2021,Yukon,Unspecified,200,1
2022,Yukon,Human activity,10,7
2022,Yukon,Unspecified,170357,282
2023,Yukon,Human activity,414,25
2023,Yukon,Natural cause,102780,73
2023,Yukon,Unspecified,425631,125
2024,Yukon,Human activity,582,15
2024,Yukon,Natural cause,178363,121
2024,Yukon,Unspecified,30932,33
