Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2007,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),708738
2007,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1076318
2007,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),127082
2007,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),2624444
2007,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),924455
2007,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),745584
2007,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),122071987
2008,Canada,Imports,Primary Wood Products,Logs (cubic metres),4043418
2008,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),844367
2008,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),74510
2008,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2871986
2008,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),317588
2008,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1045370
2008,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),134974
2008,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),2538985
2008,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),2263231
2008,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),900365
2008,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),83192563
2009,Canada,Imports,Primary Wood Products,Logs (cubic metres),3993623
2009,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),954033
2009,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),63333
2009,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2617663
2009,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),245501
2009,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),843724
2009,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),97236
