Year,Jurisdiction,Sector,Number of jobs
2002,Ontario,Forestry and logging,8595
2002,Ontario,Paper manufacturing,33875
2002,Ontario,Support activities for forestry,2210
2002,Ontario,Wood product manufacturing,35255
2002,Prince Edward Island,Forestry and logging,110
2002,Prince Edward Island,Paper manufacturing,75
2002,Prince Edward Island,Support activities for forestry,55
2002,Prince Edward Island,Wood product manufacturing,305
2002,Quebec,Forestry and logging,13705
2002,Quebec,Paper manufacturing,33330
2002,Quebec,Support activities for forestry,4540
2002,Quebec,Wood product manufacturing,47660
2002,Saskatchewan,Forestry and logging,1035
2002,Saskatchewan,Paper manufacturing,1345
2002,Saskatchewan,Support activities for forestry,1350
2002,Saskatchewan,Wood product manufacturing,1980
2002,Yukon,Forestry and logging,45
2002,Yukon,Paper manufacturing,0
2002,Yukon,Support activities for forestry,10
2002,Yukon,Wood product manufacturing,30
2003,Canada,Forestry and logging,56200
2003,Canada,Paper manufacturing,91515
2003,Canada,Support activities for forestry,21680
2003,Canada,Wood product manufacturing,150480
2003,Alberta,Forestry and logging,2555
2003,Alberta,Paper manufacturing,3500
2003,Alberta,Support activities for forestry,1650
2003,Alberta,Wood product manufacturing,12385
2003,British Columbia,Forestry and logging,22580
2003,British Columbia,Paper manufacturing,12040
2003,British Columbia,Support activities for forestry,7805
2003,British Columbia,Wood product manufacturing,40130
2003,Manitoba,Forestry and logging,625
2003,Manitoba,Paper manufacturing,2205
2003,Manitoba,Support activities for forestry,620
2003,Manitoba,Wood product manufacturing,4940
2003,New Brunswick,Forestry and logging,3945
2003,New Brunswick,Paper manufacturing,3965
2003,New Brunswick,Support activities for forestry,1340
2003,New Brunswick,Wood product manufacturing,6065
2003,Newfoundland and Labrador,Forestry and logging,965
2003,Newfoundland and Labrador,Paper manufacturing,925
2003,Newfoundland and Labrador,Support activities for forestry,300
2003,Newfoundland and Labrador,Wood product manufacturing,580
2003,Northwest Territories,Forestry and logging,15
2003,Northwest Territories,Paper manufacturing,0
2003,Northwest Territories,Support activities for forestry,180
2003,Northwest Territories,Wood product manufacturing,5
2003,Nova Scotia,Forestry and logging,2230
2003,Nova Scotia,Paper manufacturing,1930
2003,Nova Scotia,Support activities for forestry,620
2003,Nova Scotia,Wood product manufacturing,3385
2003,Nunavut,Forestry and logging,0
2003,Nunavut,Paper manufacturing,0
2003,Nunavut,Support activities for forestry,0
2003,Nunavut,Wood product manufacturing,0
2003,Ontario,Forestry and logging,8100
2003,Ontario,Paper manufacturing,34970
2003,Ontario,Support activities for forestry,2685
2003,Ontario,Wood product manufacturing,36010
2003,Prince Edward Island,Forestry and logging,130
2003,Prince Edward Island,Paper manufacturing,60
2003,Prince Edward Island,Support activities for forestry,35
2003,Prince Edward Island,Wood product manufacturing,345
2003,Quebec,Forestry and logging,14030
2003,Quebec,Paper manufacturing,30435
2003,Quebec,Support activities for forestry,5030
2003,Quebec,Wood product manufacturing,44345
2003,Saskatchewan,Forestry and logging,985
2003,Saskatchewan,Paper manufacturing,1485
2003,Saskatchewan,Support activities for forestry,1405
2003,Saskatchewan,Wood product manufacturing,2260
2003,Yukon,Forestry and logging,40
2003,Yukon,Paper manufacturing,0
2003,Yukon,Support activities for forestry,10
2003,Yukon,Wood product manufacturing,30
2004,Canada,Forestry and logging,56610
2004,Canada,Paper manufacturing,90785
2004,Canada,Support activities for forestry,20305
2004,Canada,Wood product manufacturing,161165
2004,Alberta,Forestry and logging,2875
2004,Alberta,Paper manufacturing,3425
2004,Alberta,Support activities for forestry,1920
2004,Alberta,Wood product manufacturing,13655
2004,British Columbia,Forestry and logging,23580
2004,British Columbia,Paper manufacturing,14340
2004,British Columbia,Support activities for forestry,6775
2004,British Columbia,Wood product manufacturing,46495
2004,Manitoba,Forestry and logging,595
2004,Manitoba,Paper manufacturing,2080
2004,Manitoba,Support activities for forestry,605
2004,Manitoba,Wood product manufacturing,5430
2004,New Brunswick,Forestry and logging,3630
2004,New Brunswick,Paper manufacturing,4175
2004,New Brunswick,Support activities for forestry,1305
2004,New Brunswick,Wood product manufacturing,6020
2004,Newfoundland and Labrador,Forestry and logging,975
2004,Newfoundland and Labrador,Paper manufacturing,720
2004,Newfoundland and Labrador,Support activities for forestry,290
2004,Newfoundland and Labrador,Wood product manufacturing,585
2004,Northwest Territories,Forestry and logging,10
2004,Northwest Territories,Paper manufacturing,0
2004,Northwest Territories,Support activities for forestry,180
2004,Northwest Territories,Wood product manufacturing,15
2004,Nova Scotia,Forestry and logging,2265
2004,Nova Scotia,Paper manufacturing,2210
2004,Nova Scotia,Support activities for forestry,635
2004,Nova Scotia,Wood product manufacturing,3385
2004,Nunavut,Forestry and logging,0
2004,Nunavut,Paper manufacturing,0
2004,Nunavut,Support activities for forestry,0
2004,Nunavut,Wood product manufacturing,0
2004,Ontario,Forestry and logging,7980
2004,Ontario,Paper manufacturing,33880
2004,Ontario,Support activities for forestry,2230
2004,Ontario,Wood product manufacturing,36235
2004,Prince Edward Island,Forestry and logging,80
2004,Prince Edward Island,Paper manufacturing,105
2004,Prince Edward Island,Support activities for forestry,25
2004,Prince Edward Island,Wood product manufacturing,330
2004,Quebec,Forestry and logging,13740
2004,Quebec,Paper manufacturing,28235
2004,Quebec,Support activities for forestry,5000
2004,Quebec,Wood product manufacturing,45445
2004,Saskatchewan,Forestry and logging,850
2004,Saskatchewan,Paper manufacturing,1615
2004,Saskatchewan,Support activities for forestry,1330
2004,Saskatchewan,Wood product manufacturing,3555
2004,Yukon,Forestry and logging,30
2004,Yukon,Paper manufacturing,0
2004,Yukon,Support activities for forestry,10
2004,Yukon,Wood product manufacturing,15
2005,Canada,Forestry and logging,56710
2005,Canada,Paper manufacturing,90845
2005,Canada,Support activities for forestry,20405
2005,Canada,Wood product manufacturing,152745
2005,Alberta,Forestry and logging,2885
2005,Alberta,Paper manufacturing,3370
2005,Alberta,Support activities for forestry,1870
2005,Alberta,Wood product manufacturing,12350
2005,British Columbia,Forestry and logging,23515
2005,British Columbia,Paper manufacturing,15255
2005,British Columbia,Support activities for forestry,6735
2005,British Columbia,Wood product manufacturing,43690
2005,Manitoba,Forestry and logging,595
2005,Manitoba,Paper manufacturing,2060
2005,Manitoba,Support activities for forestry,600
2005,Manitoba,Wood product manufacturing,5040
2005,New Brunswick,Forestry and logging,3410
2005,New Brunswick,Paper manufacturing,2650
2005,New Brunswick,Support activities for forestry,1250
2005,New Brunswick,Wood product manufacturing,6185
2005,Newfoundland and Labrador,Forestry and logging,885
2005,Newfoundland and Labrador,Paper manufacturing,665
2005,Newfoundland and Labrador,Support activities for forestry,270
2005,Newfoundland and Labrador,Wood product manufacturing,540
2005,Northwest Territories,Forestry and logging,15
2005,Northwest Territories,Paper manufacturing,0
2005,Northwest Territories,Support activities for forestry,165
2005,Northwest Territories,Wood product manufacturing,10
2005,Nova Scotia,Forestry and logging,2170
2005,Nova Scotia,Paper manufacturing,2185
2005,Nova Scotia,Support activities for forestry,600
2005,Nova Scotia,Wood product manufacturing,3320
2005,Nunavut,Forestry and logging,0
2005,Nunavut,Paper manufacturing,0
2005,Nunavut,Support activities for forestry,0
2005,Nunavut,Wood product manufacturing,0
2005,Ontario,Forestry and logging,8555
2005,Ontario,Paper manufacturing,32675
2005,Ontario,Support activities for forestry,2605
2005,Ontario,Wood product manufacturing,34315
2005,Prince Edward Island,Forestry and logging,65
2005,Prince Edward Island,Paper manufacturing,125
2005,Prince Edward Island,Support activities for forestry,15
2005,Prince Edward Island,Wood product manufacturing,360
2005,Quebec,Forestry and logging,13895
2005,Quebec,Paper manufacturing,30385
2005,Quebec,Support activities for forestry,5125
2005,Quebec,Wood product manufacturing,43540
2005,Saskatchewan,Forestry and logging,695
2005,Saskatchewan,Paper manufacturing,1475
2005,Saskatchewan,Support activities for forestry,1160
2005,Saskatchewan,Wood product manufacturing,3370
2005,Yukon,Forestry and logging,25
2005,Yukon,Paper manufacturing,0
2005,Yukon,Support activities for forestry,10
2005,Yukon,Wood product manufacturing,25
2006,Canada,Forestry and logging,49960
2006,Canada,Paper manufacturing,83915
2006,Canada,Support activities for forestry,21435
2006,Canada,Wood product manufacturing,135690
2006,Alberta,Forestry and logging,3025
2006,Alberta,Paper manufacturing,3625
2006,Alberta,Support activities for forestry,1990
2006,Alberta,Wood product manufacturing,12480
2006,British Columbia,Forestry and logging,18815
2006,British Columbia,Paper manufacturing,14715
2006,British Columbia,Support activities for forestry,7625
2006,British Columbia,Wood product manufacturing,37855
2006,Manitoba,Forestry and logging,575
2006,Manitoba,Paper manufacturing,1710
2006,Manitoba,Support activities for forestry,570
2006,Manitoba,Wood product manufacturing,4455
2006,New Brunswick,Forestry and logging,3195
2006,New Brunswick,Paper manufacturing,2770
2006,New Brunswick,Support activities for forestry,1245
2006,New Brunswick,Wood product manufacturing,5390
2006,Newfoundland and Labrador,Forestry and logging,840
2006,Newfoundland and Labrador,Paper manufacturing,1020
2006,Newfoundland and Labrador,Support activities for forestry,260
2006,Newfoundland and Labrador,Wood product manufacturing,460
2006,Northwest Territories,Forestry and logging,15
2006,Northwest Territories,Paper manufacturing,0
2006,Northwest Territories,Support activities for forestry,180
2006,Northwest Territories,Wood product manufacturing,0
2006,Nova Scotia,Forestry and logging,1890
2006,Nova Scotia,Paper manufacturing,1860
2006,Nova Scotia,Support activities for forestry,515
2006,Nova Scotia,Wood product manufacturing,3540
2006,Nunavut,Forestry and logging,0
2006,Nunavut,Paper manufacturing,0
2006,Nunavut,Support activities for forestry,0
2006,Nunavut,Wood product manufacturing,0
2006,Ontario,Forestry and logging,7695
2006,Ontario,Paper manufacturing,29315
2006,Ontario,Support activities for forestry,2590
2006,Ontario,Wood product manufacturing,30555
2006,Prince Edward Island,Forestry and logging,65
2006,Prince Edward Island,Paper manufacturing,120
2006,Prince Edward Island,Support activities for forestry,10
2006,Prince Edward Island,Wood product manufacturing,385
2006,Quebec,Forestry and logging,13210
2006,Quebec,Paper manufacturing,28475
2006,Quebec,Support activities for forestry,5230
2006,Quebec,Wood product manufacturing,38440
2006,Saskatchewan,Forestry and logging,610
2006,Saskatchewan,Paper manufacturing,305
2006,Saskatchewan,Support activities for forestry,1210
2006,Saskatchewan,Wood product manufacturing,2100
2006,Yukon,Forestry and logging,25
2006,Yukon,Paper manufacturing,0
2006,Yukon,Support activities for forestry,10
2006,Yukon,Wood product manufacturing,30
2007,Canada,Forestry and logging,45110
2007,Canada,Paper manufacturing,78080
2007,Canada,Support activities for forestry,21175
2007,Canada,Wood product manufacturing,114225
2007,Alberta,Forestry and logging,2700
2007,Alberta,Paper manufacturing,3475
2007,Alberta,Support activities for forestry,1940
2007,Alberta,Wood product manufacturing,11255
2007,British Columbia,Forestry and logging,16760
2007,British Columbia,Paper manufacturing,13395
2007,British Columbia,Support activities for forestry,7670
2007,British Columbia,Wood product manufacturing,33560
2007,Manitoba,Forestry and logging,550
2007,Manitoba,Paper manufacturing,1760
2007,Manitoba,Support activities for forestry,575
2007,Manitoba,Wood product manufacturing,4200
2007,New Brunswick,Forestry and logging,3035
2007,New Brunswick,Paper manufacturing,3960
2007,New Brunswick,Support activities for forestry,1240
2007,New Brunswick,Wood product manufacturing,4180
2007,Newfoundland and Labrador,Forestry and logging,795
