Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2008,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,340202196
2008,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,40221269
2008,Canada,Imports,Wood-Fabricated Materials,Particleboard,71668825
2008,Canada,Imports,Wood-Fabricated Materials,Plywood,272953607
2008,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,166560349
2008,Canada,Imports,Wood-Fabricated Materials,Veneer,169908439
2009,Canada,Imports,Primary Wood Products,Logs,289074182
2009,Canada,Imports,Primary Wood Products,Pulpwood,51164940
2009,Canada,Imports,Pulp and Paper Products,Newsprint,43360553
2009,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,2895907333
2009,Canada,Imports,Pulp and Paper Products,Wood pulp,164595179
2009,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,239484833
2009,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,28227417
2009,Canada,Imports,Wood-Fabricated Materials,Particleboard,44984555
2009,Canada,Imports,Wood-Fabricated Materials,Plywood,226217816
2009,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,158105398
2009,Canada,Imports,Wood-Fabricated Materials,Veneer,141926025
2010,Canada,Imports,Primary Wood Products,Logs,281434293
2010,Canada,Imports,Primary Wood Products,Pulpwood,35328312
2010,Canada,Imports,Pulp and Paper Products,Newsprint,44511380
2010,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,2815564949
2010,Canada,Imports,Pulp and Paper Products,Wood pulp,173593222
2010,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,281917161
2010,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,33053168
2010,Canada,Imports,Wood-Fabricated Materials,Particleboard,45895025
2010,Canada,Imports,Wood-Fabricated Materials,Plywood,303823975
2010,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,205545244
2010,Canada,Imports,Wood-Fabricated Materials,Veneer,130756787
2011,Canada,Imports,Primary Wood Products,Logs,237835032
2011,Canada,Imports,Primary Wood Products,Pulpwood,32741792
2011,Canada,Imports,Pulp and Paper Products,Newsprint,42604742
2011,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,2692150371
