Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2008,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,271504404
2008,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,709151204
2008,Canada,Exports,Wood-Fabricated Materials,Particleboard,185685043
2008,Canada,Exports,Wood-Fabricated Materials,Plywood,327787221
2008,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,5098752861
2008,Canada,Exports,Wood-Fabricated Materials,Veneer,262143299
2009,Canada,Exports,Primary Wood Products,Logs,276766839
2009,Canada,Exports,Primary Wood Products,Pulpwood,8729082
2009,Canada,Exports,Pulp and Paper Products,Newsprint,2672363902
2009,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,5443920232
2009,Canada,Exports,Pulp and Paper Products,Wood pulp,5075704546
2009,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,179023416
2009,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,549960647
2009,Canada,Exports,Wood-Fabricated Materials,Particleboard,163188559
2009,Canada,Exports,Wood-Fabricated Materials,Plywood,229071915
2009,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,3765497063
2009,Canada,Exports,Wood-Fabricated Materials,Veneer,199644946
2010,Canada,Exports,Primary Wood Products,Logs,394888548
2010,Canada,Exports,Primary Wood Products,Pulpwood,15282149
2010,Canada,Exports,Pulp and Paper Products,Newsprint,2652704950
2010,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,4706270986
2010,Canada,Exports,Pulp and Paper Products,Wood pulp,7013317343
2010,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,208076416
2010,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,725974081
2010,Canada,Exports,Wood-Fabricated Materials,Particleboard,173307620
2010,Canada,Exports,Wood-Fabricated Materials,Plywood,188309927
2010,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,4842174265
2010,Canada,Exports,Wood-Fabricated Materials,Veneer,199510350
2011,Canada,Exports,Primary Wood Products,Logs,593270851
2011,Canada,Exports,Primary Wood Products,Pulpwood,26391457
2011,Canada,Exports,Pulp and Paper Products,Newsprint,2779573365
2011,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,4540228931
2011,Canada,Exports,Pulp and Paper Products,Wood pulp,7203021626
2011,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,199928856
2011,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,636500314
2011,Canada,Exports,Wood-Fabricated Materials,Particleboard,158779868
2011,Canada,Exports,Wood-Fabricated Materials,Plywood,176568689
2011,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,5172695220
2011,Canada,Exports,Wood-Fabricated Materials,Veneer,184703621
2012,Canada,Exports,Primary Wood Products,Logs,599487183
2012,Canada,Exports,Primary Wood Products,Pulpwood,15109246
2012,Canada,Exports,Pulp and Paper Products,Newsprint,2322589907
2012,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,4207712204
2012,Canada,Exports,Pulp and Paper Products,Wood pulp,6428246257
2012,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,195323132
2012,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,883604872
2012,Canada,Exports,Wood-Fabricated Materials,Particleboard,200932810
2012,Canada,Exports,Wood-Fabricated Materials,Plywood,171017893
2012,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,5726487969
2012,Canada,Exports,Wood-Fabricated Materials,Veneer,217562280
2013,Canada,Exports,Primary Wood Products,Logs,832262433
2013,Canada,Exports,Primary Wood Products,Pulpwood,4671899
2013,Canada,Exports,Pulp and Paper Products,Newsprint,2384195883
2013,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,4413476705
2013,Canada,Exports,Pulp and Paper Products,Wood pulp,6744735451
2013,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,245578258
2013,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,1274086038
2013,Canada,Exports,Wood-Fabricated Materials,Particleboard,237310998
2013,Canada,Exports,Wood-Fabricated Materials,Plywood,228893927
2013,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,7414230737
2013,Canada,Exports,Wood-Fabricated Materials,Veneer,253802915
2014,Canada,Exports,Primary Wood Products,Logs,818520266
2014,Canada,Exports,Primary Wood Products,Pulpwood,8477025
2014,Canada,Exports,Pulp and Paper Products,Newsprint,2594151930
2014,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,4720251335
2014,Canada,Exports,Pulp and Paper Products,Wood pulp,7209052750
2014,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,325132301
2014,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,1146344180
2014,Canada,Exports,Wood-Fabricated Materials,Particleboard,284555669
2014,Canada,Exports,Wood-Fabricated Materials,Plywood,277449589
