Year,Jurisdiction,Area (hectares)
2015,New Brunswick,4185080
2015,Newfoundland and Labrador,1493405
2015,Northwest Territories,0
2015,Nova Scotia,1301299
2015,Nunavut,0
2015,Ontario,24839080
2015,Prince Edward Island,446
2015,Quebec,43651083
2015,Saskatchewan,5195176
2015,Yukon,0
2016,Canada,167797442
2016,Alberta,20240950
2016,British Columbia,51953410
2016,Manitoba,11373482
2016,New Brunswick,4190695
2016,Newfoundland and Labrador,1493405
2016,Northwest Territories,0
2016,Nova Scotia,1308691
2016,Nunavut,0
2016,Ontario,26788856
2016,Prince Edward Island,446
2016,Quebec,45155197
2016,Saskatchewan,5292756
2016,Yukon,0
2017,Canada,169865528
2017,Alberta,23060640
2017,British Columbia,50473380
2017,Manitoba,11373478
2017,New Brunswick,4208422
2017,Newfoundland and Labrador,1417834
2017,Northwest Territories,0
2017,Nova Scotia,1310665
2017,Nunavut,0
2017,Ontario,28171032
2017,Prince Edward Island,0
2017,Quebec,44557321
2017,Saskatchewan,5292756
2017,Yukon,0
2018,Canada,164476024
2018,Alberta,20270763
2018,British Columbia,50352453
2018,Manitoba,11091302
2018,New Brunswick,4234837
2018,Newfoundland and Labrador,1417834
2018,Northwest Territories,0
2018,Nova Scotia,1272577
2018,Nunavut,0
2018,Ontario,27608513
2018,Prince Edward Island,0
2018,Quebec,42231286
2018,Saskatchewan,5996459
2018,Yukon,0
2019,Canada,168002236
2019,Alberta,21149524
2019,British Columbia,51811125
2019,Manitoba,11091305
2019,New Brunswick,4235954
2019,Newfoundland and Labrador,1399901
2019,Northwest Territories,0
2019,Nova Scotia,1284871
2019,Nunavut,0
2019,Ontario,27539123
2019,Prince Edward Island,0
2019,Quebec,43493594
2019,Saskatchewan,5996839
2019,Yukon,0
2020,Canada,164290088
2020,Alberta,21429312
2020,British Columbia,46517615
2020,Manitoba,10927934
2020,New Brunswick,4233777
2020,Newfoundland and Labrador,1358643
2020,Northwest Territories,0
2020,Nova Scotia,1278688
2020,Nunavut,0
2020,Ontario,27601260
2020,Prince Edward Island,0
2020,Quebec,44276589
2020,Saskatchewan,6666270
2020,Yukon,0
2021,Canada,158391456
2021,Alberta,20549817
2021,British Columbia,40599622
2021,Manitoba,11373530
2021,New Brunswick,4245580
2021,Newfoundland and Labrador,1358643
2021,Northwest Territories,0
2021,Nova Scotia,1267392
2021,Nunavut,0
2021,Ontario,29149719
2021,Prince Edward Island,0
2021,Quebec,43174309
2021,Saskatchewan,6672844
2021,Yukon,0
2022,Canada,155266615
2022,Alberta,20471617
2022,British Columbia,40732576
2022,Manitoba,11373530
2022,New Brunswick,4246501
2022,Newfoundland and Labrador,1358643
2022,Northwest Territories,0
2022,Nova Scotia,1274764
2022,Nunavut,0
2022,Ontario,27566149
2022,Prince Edward Island,0
2022,Quebec,42964184
2022,Saskatchewan,5278651
2022,Yukon,0
2023,Canada,160045456
2023,Alberta,22534794
2023,British Columbia,44367533
2023,Manitoba,10506290
2023,New Brunswick,4230501
2023,Newfoundland and Labrador,1358643
2023,Northwest Territories,0
2023,Nova Scotia,1253849
2023,Nunavut,0
2023,Ontario,27199391
2023,Prince Edward Island,0
2023,Quebec,42367471
2023,Saskatchewan,6226984
2023,Yukon,0
2024,Canada,161562595
2024,Alberta,23554786
2024,British Columbia,42740613
2024,Manitoba,10506290
2024,New Brunswick,4215775
2024,Newfoundland and Labrador,1358643
2024,Northwest Territories,0
2024,Nova Scotia,1306919
2024,Nunavut,0
2024,Ontario,28973385
2024,Prince Edward Island,0
2024,Quebec,42666974
2024,Saskatchewan,6329210
2024,Yukon,0
