Year,Jurisdiction,Insect species,Defoliated area (hectares)
2020,Canada,Spongy moth,583158
2020,Canada,Spruce beetle,528124
2020,Canada,Spruce budworm,6987016
2020,Canada,Swaine jack pine sawfly,0
2020,Canada,Two-year-cycle spruce budworm,62711
2020,Canada,Western spruce budworm,13981
2021,Canada,Aspen twoleaf tier,224107
2021,Canada,Balsam fir sawfly,0
2021,Canada,Blackheaded budworm,217
2021,Canada,Bruce spanworm,0
2021,Canada,Forest tent caterpillar,71801
2021,Canada,Hemlock looper,799
2021,Canada,Jack pine budworm,2407838
2021,Canada,Large aspen tortrix,382166
2021,Canada,Mountain pine beetle,96289
2021,Canada,Spongy moth,1780000
2021,Canada,Spruce beetle,475039
2021,Canada,Spruce budworm,5178648
2021,Canada,Swaine jack pine sawfly,0
2021,Canada,Two-year-cycle spruce budworm,310976
2021,Canada,Western spruce budworm,0
2022,Canada,Aspen twoleaf tier,34860
2022,Canada,Balsam fir sawfly,0
2022,Canada,Blackheaded budworm,19103
2022,Canada,Bruce spanworm,0
2022,Canada,Forest tent caterpillar,414053
2022,Canada,Hemlock looper,37639
2022,Canada,Jack pine budworm,819071
2022,Canada,Large aspen tortrix,125185
2022,Canada,Mountain pine beetle,59801
2022,Canada,Spongy moth,57078
2022,Canada,Spruce beetle,144407
2022,Canada,Spruce budworm,6816144
2022,Canada,Swaine jack pine sawfly,0
2022,Canada,Two-year-cycle spruce budworm,60585
2022,Canada,Western spruce budworm,141611
2023,Canada,Aspen twoleaf tier,53346
2023,Canada,Balsam fir sawfly,0
2023,Canada,Blackheaded budworm,22155
2023,Canada,Bruce spanworm,0
2023,Canada,Forest tent caterpillar,564170
2023,Canada,Hemlock looper,68192
2023,Canada,Jack pine budworm,789156
2023,Canada,Large aspen tortrix,45135
2023,Canada,Mountain pine beetle,44779
2023,Canada,Spongy moth,2542
2023,Canada,Spruce beetle,96605
2023,Canada,Spruce budworm,5900893
2023,Canada,Swaine jack pine sawfly,0
2023,Canada,Two-year-cycle spruce budworm,284756
2023,Canada,Western spruce budworm,319397
2010,Alberta,Aspen twoleaf tier,0
2010,Alberta,Balsam fir sawfly,0
2010,Alberta,Blackheaded budworm,0
2010,Alberta,Bruce spanworm,50765
2010,Alberta,Forest tent caterpillar,10333
2010,Alberta,Hemlock looper,0
2010,Alberta,Jack pine budworm,0
2010,Alberta,Large aspen tortrix,1560
2010,Alberta,Mountain pine beetle,0
2010,Alberta,Spongy moth,0
2010,Alberta,Spruce beetle,0
2010,Alberta,Spruce budworm,269365
2010,Alberta,Swaine jack pine sawfly,0
2010,Alberta,Two-year-cycle spruce budworm,0
2010,Alberta,Western spruce budworm,2893
2011,Alberta,Aspen twoleaf tier,0
2011,Alberta,Balsam fir sawfly,0
2011,Alberta,Blackheaded budworm,0
2011,Alberta,Bruce spanworm,259
2011,Alberta,Forest tent caterpillar,79387
2011,Alberta,Hemlock looper,0
2011,Alberta,Jack pine budworm,0
2011,Alberta,Large aspen tortrix,0
2011,Alberta,Mountain pine beetle,0
2011,Alberta,Spongy moth,0
2011,Alberta,Spruce beetle,0
2011,Alberta,Spruce budworm,35403
2011,Alberta,Swaine jack pine sawfly,0
2011,Alberta,Two-year-cycle spruce budworm,0
2011,Alberta,Western spruce budworm,6914
2012,Alberta,Aspen twoleaf tier,0
2012,Alberta,Balsam fir sawfly,0
2012,Alberta,Blackheaded budworm,0
2012,Alberta,Bruce spanworm,0
2012,Alberta,Forest tent caterpillar,495726
2012,Alberta,Hemlock looper,0
2012,Alberta,Jack pine budworm,0
2012,Alberta,Large aspen tortrix,462
2012,Alberta,Mountain pine beetle,0
2012,Alberta,Spongy moth,0
2012,Alberta,Spruce beetle,0
2012,Alberta,Spruce budworm,28530
2012,Alberta,Swaine jack pine sawfly,0
2012,Alberta,Two-year-cycle spruce budworm,0
2012,Alberta,Western spruce budworm,0
2013,Alberta,Aspen twoleaf tier,2118223
2013,Alberta,Balsam fir sawfly,0
2013,Alberta,Blackheaded budworm,0
2013,Alberta,Bruce spanworm,5061
2013,Alberta,Forest tent caterpillar,6473001
2013,Alberta,Hemlock looper,0
2013,Alberta,Jack pine budworm,0
2013,Alberta,Large aspen tortrix,1820
2013,Alberta,Mountain pine beetle,0
2013,Alberta,Spongy moth,0
2013,Alberta,Spruce beetle,0
2013,Alberta,Spruce budworm,37076
2013,Alberta,Swaine jack pine sawfly,0
2013,Alberta,Two-year-cycle spruce budworm,0
2013,Alberta,Western spruce budworm,0
2014,Alberta,Aspen twoleaf tier,0
2014,Alberta,Balsam fir sawfly,0
2014,Alberta,Blackheaded budworm,0
2014,Alberta,Bruce spanworm,0
2014,Alberta,Forest tent caterpillar,3567254
2014,Alberta,Hemlock looper,0
2014,Alberta,Jack pine budworm,0
2014,Alberta,Large aspen tortrix,1389
2014,Alberta,Mountain pine beetle,0
2014,Alberta,Spongy moth,0
2014,Alberta,Spruce beetle,0
2014,Alberta,Spruce budworm,44387
2014,Alberta,Swaine jack pine sawfly,0
2014,Alberta,Two-year-cycle spruce budworm,0
2014,Alberta,Western spruce budworm,0
2015,Alberta,Aspen twoleaf tier,536
2015,Alberta,Balsam fir sawfly,0
2015,Alberta,Blackheaded budworm,0
2015,Alberta,Bruce spanworm,3564
2015,Alberta,Forest tent caterpillar,1586486
2015,Alberta,Hemlock looper,0
2015,Alberta,Jack pine budworm,0
2015,Alberta,Large aspen tortrix,54444
2015,Alberta,Mountain pine beetle,1121477
2015,Alberta,Spongy moth,0
2015,Alberta,Spruce beetle,1405
2015,Alberta,Spruce budworm,51750
2015,Alberta,Swaine jack pine sawfly,0
2015,Alberta,Two-year-cycle spruce budworm,0
2015,Alberta,Western spruce budworm,0
2016,Alberta,Aspen twoleaf tier,18786
2016,Alberta,Balsam fir sawfly,0
2016,Alberta,Blackheaded budworm,0
2016,Alberta,Bruce spanworm,0
2016,Alberta,Forest tent caterpillar,525135
2016,Alberta,Hemlock looper,0
2016,Alberta,Jack pine budworm,0
2016,Alberta,Large aspen tortrix,213316
2016,Alberta,Mountain pine beetle,198963
2016,Alberta,Spongy moth,0
2016,Alberta,Spruce beetle,10465
2016,Alberta,Spruce budworm,19265
2016,Alberta,Swaine jack pine sawfly,0
