Year,Jurisdiction,Insect species,Defoliated area (hectares)
2012,Manitoba,Western spruce budworm,0
2013,Manitoba,Aspen twoleaf tier,0
2013,Manitoba,Balsam fir sawfly,0
2013,Manitoba,Blackheaded budworm,0
2013,Manitoba,Bruce spanworm,0
2013,Manitoba,Forest tent caterpillar,210361
2013,Manitoba,Hemlock looper,0
2013,Manitoba,Jack pine budworm,311
2013,Manitoba,Large aspen tortrix,0
2013,Manitoba,Mountain pine beetle,0
2013,Manitoba,Spongy moth,0
2013,Manitoba,Spruce beetle,0
2013,Manitoba,Spruce budworm,1163
2013,Manitoba,Swaine jack pine sawfly,0
2013,Manitoba,Two-year-cycle spruce budworm,0
2013,Manitoba,Western spruce budworm,0
2014,Manitoba,Aspen twoleaf tier,0
2014,Manitoba,Balsam fir sawfly,0
2014,Manitoba,Blackheaded budworm,0
2014,Manitoba,Bruce spanworm,0
2014,Manitoba,Forest tent caterpillar,904126
2014,Manitoba,Hemlock looper,0
2014,Manitoba,Jack pine budworm,4346
2014,Manitoba,Large aspen tortrix,0
2014,Manitoba,Mountain pine beetle,0
2014,Manitoba,Spongy moth,0
2014,Manitoba,Spruce beetle,0
2014,Manitoba,Spruce budworm,0
2014,Manitoba,Swaine jack pine sawfly,0
2014,Manitoba,Two-year-cycle spruce budworm,0
2014,Manitoba,Western spruce budworm,0
2015,Manitoba,Aspen twoleaf tier,0
2015,Manitoba,Balsam fir sawfly,0
2015,Manitoba,Blackheaded budworm,0
2015,Manitoba,Bruce spanworm,0
2015,Manitoba,Forest tent caterpillar,1411322
2015,Manitoba,Hemlock looper,0
2015,Manitoba,Jack pine budworm,3285
2015,Manitoba,Large aspen tortrix,0
2015,Manitoba,Mountain pine beetle,0
2015,Manitoba,Spongy moth,0
2015,Manitoba,Spruce beetle,0
2015,Manitoba,Spruce budworm,0
2015,Manitoba,Swaine jack pine sawfly,0
2015,Manitoba,Two-year-cycle spruce budworm,0
2015,Manitoba,Western spruce budworm,0
2016,Manitoba,Aspen twoleaf tier,0
2016,Manitoba,Balsam fir sawfly,0
2016,Manitoba,Blackheaded budworm,0
2016,Manitoba,Bruce spanworm,0
2016,Manitoba,Forest tent caterpillar,1411322
2016,Manitoba,Hemlock looper,0
2016,Manitoba,Jack pine budworm,199799
2016,Manitoba,Large aspen tortrix,0
2016,Manitoba,Mountain pine beetle,0
2016,Manitoba,Spongy moth,0
2016,Manitoba,Spruce beetle,0
2016,Manitoba,Spruce budworm,12597
2016,Manitoba,Swaine jack pine sawfly,0
2016,Manitoba,Two-year-cycle spruce budworm,0
2016,Manitoba,Western spruce budworm,0
2017,Manitoba,Aspen twoleaf tier,0
2017,Manitoba,Balsam fir sawfly,0
2017,Manitoba,Blackheaded budworm,0
2017,Manitoba,Bruce spanworm,0
2017,Manitoba,Forest tent caterpillar,403704
2017,Manitoba,Hemlock looper,0
2017,Manitoba,Jack pine budworm,638181
2017,Manitoba,Large aspen tortrix,0
2017,Manitoba,Mountain pine beetle,0
2017,Manitoba,Spongy moth,0
2017,Manitoba,Spruce beetle,0
2017,Manitoba,Spruce budworm,388
2017,Manitoba,Swaine jack pine sawfly,0
2017,Manitoba,Two-year-cycle spruce budworm,0
2017,Manitoba,Western spruce budworm,0
2018,Manitoba,Aspen twoleaf tier,0
2018,Manitoba,Balsam fir sawfly,0
2018,Manitoba,Blackheaded budworm,0
2018,Manitoba,Bruce spanworm,0
2018,Manitoba,Forest tent caterpillar,33946
2018,Manitoba,Hemlock looper,0
2018,Manitoba,Jack pine budworm,552118
2018,Manitoba,Large aspen tortrix,0
2018,Manitoba,Mountain pine beetle,0
2018,Manitoba,Spongy moth,0
2018,Manitoba,Spruce beetle,0
2018,Manitoba,Spruce budworm,0
2018,Manitoba,Swaine jack pine sawfly,0
2018,Manitoba,Two-year-cycle spruce budworm,0
2018,Manitoba,Western spruce budworm,0
2019,Manitoba,Aspen twoleaf tier,0
2019,Manitoba,Balsam fir sawfly,0
2019,Manitoba,Blackheaded budworm,0
2019,Manitoba,Bruce spanworm,0
2019,Manitoba,Forest tent caterpillar,714
2019,Manitoba,Hemlock looper,0
2019,Manitoba,Jack pine budworm,1025850
2019,Manitoba,Large aspen tortrix,0
2019,Manitoba,Mountain pine beetle,0
2019,Manitoba,Spongy moth,0
2019,Manitoba,Spruce beetle,0
2019,Manitoba,Spruce budworm,34305
2019,Manitoba,Swaine jack pine sawfly,0
2019,Manitoba,Two-year-cycle spruce budworm,0
2019,Manitoba,Western spruce budworm,0
2020,Manitoba,Aspen twoleaf tier,0
2020,Manitoba,Balsam fir sawfly,0
2020,Manitoba,Blackheaded budworm,0
2020,Manitoba,Bruce spanworm,0
2020,Manitoba,Forest tent caterpillar,3067
2020,Manitoba,Hemlock looper,0
2020,Manitoba,Jack pine budworm,2580000
2020,Manitoba,Large aspen tortrix,0
2020,Manitoba,Mountain pine beetle,0
2020,Manitoba,Spongy moth,0
2020,Manitoba,Spruce beetle,0
2020,Manitoba,Spruce budworm,104433
2020,Manitoba,Swaine jack pine sawfly,0
2020,Manitoba,Two-year-cycle spruce budworm,0
2020,Manitoba,Western spruce budworm,0
2021,Manitoba,Aspen twoleaf tier,0
2021,Manitoba,Balsam fir sawfly,0
2021,Manitoba,Blackheaded budworm,0
2021,Manitoba,Bruce spanworm,0
2021,Manitoba,Forest tent caterpillar,34937
2021,Manitoba,Hemlock looper,0
2021,Manitoba,Jack pine budworm,2030000
2021,Manitoba,Large aspen tortrix,0
2021,Manitoba,Mountain pine beetle,0
2021,Manitoba,Spongy moth,0
2021,Manitoba,Spruce beetle,0
2021,Manitoba,Spruce budworm,156055
2021,Manitoba,Swaine jack pine sawfly,0
2021,Manitoba,Two-year-cycle spruce budworm,0
2021,Manitoba,Western spruce budworm,0
2022,Manitoba,Aspen twoleaf tier,0
2022,Manitoba,Balsam fir sawfly,0
2022,Manitoba,Blackheaded budworm,0
2022,Manitoba,Bruce spanworm,0
2022,Manitoba,Forest tent caterpillar,151956
2022,Manitoba,Hemlock looper,0
2022,Manitoba,Jack pine budworm,673851
2022,Manitoba,Large aspen tortrix,0
2022,Manitoba,Mountain pine beetle,0
2022,Manitoba,Spongy moth,0
2022,Manitoba,Spruce beetle,0
2022,Manitoba,Spruce budworm,19422
2022,Manitoba,Swaine jack pine sawfly,0
2022,Manitoba,Two-year-cycle spruce budworm,0
2022,Manitoba,Western spruce budworm,0
2023,Manitoba,Aspen twoleaf tier,0
2023,Manitoba,Balsam fir sawfly,0
2023,Manitoba,Blackheaded budworm,0
2023,Manitoba,Bruce spanworm,0
2023,Manitoba,Forest tent caterpillar,151956
2023,Manitoba,Hemlock looper,0
2023,Manitoba,Jack pine budworm,673851
2023,Manitoba,Large aspen tortrix,0
2023,Manitoba,Mountain pine beetle,0
2023,Manitoba,Spongy moth,0
2023,Manitoba,Spruce beetle,0
2023,Manitoba,Spruce budworm,19422
2023,Manitoba,Swaine jack pine sawfly,0
2023,Manitoba,Two-year-cycle spruce budworm,0
2023,Manitoba,Western spruce budworm,0
2010,New Brunswick,Aspen twoleaf tier,0
2010,New Brunswick,Balsam fir sawfly,46600
2010,New Brunswick,Blackheaded budworm,0
2010,New Brunswick,Bruce spanworm,0
2010,New Brunswick,Forest tent caterpillar,2001
2010,New Brunswick,Hemlock looper,0
2010,New Brunswick,Jack pine budworm,0
2010,New Brunswick,Large aspen tortrix,0
2010,New Brunswick,Mountain pine beetle,0
2010,New Brunswick,Spongy moth,0
2010,New Brunswick,Spruce beetle,19
2010,New Brunswick,Spruce budworm,0
2010,New Brunswick,Swaine jack pine sawfly,0
2010,New Brunswick,Two-year-cycle spruce budworm,0
2010,New Brunswick,Western spruce budworm,0
2011,New Brunswick,Aspen twoleaf tier,0
2011,New Brunswick,Balsam fir sawfly,45700
2011,New Brunswick,Blackheaded budworm,0
2011,New Brunswick,Bruce spanworm,0
2011,New Brunswick,Forest tent caterpillar,7500
2011,New Brunswick,Hemlock looper,0
2011,New Brunswick,Jack pine budworm,0
2011,New Brunswick,Large aspen tortrix,800
2011,New Brunswick,Mountain pine beetle,0
2011,New Brunswick,Spongy moth,0
2011,New Brunswick,Spruce beetle,20
2011,New Brunswick,Spruce budworm,0
2011,New Brunswick,Swaine jack pine sawfly,0
2011,New Brunswick,Two-year-cycle spruce budworm,0
2011,New Brunswick,Western spruce budworm,0
2012,New Brunswick,Aspen twoleaf tier,0
2012,New Brunswick,Balsam fir sawfly,45700
2012,New Brunswick,Blackheaded budworm,0
2012,New Brunswick,Bruce spanworm,0
2012,New Brunswick,Forest tent caterpillar,7500
2012,New Brunswick,Hemlock looper,0
2012,New Brunswick,Jack pine budworm,0
2012,New Brunswick,Large aspen tortrix,800
2012,New Brunswick,Mountain pine beetle,0
2012,New Brunswick,Spongy moth,0
2012,New Brunswick,Spruce beetle,20
2012,New Brunswick,Spruce budworm,0
2012,New Brunswick,Swaine jack pine sawfly,0
2012,New Brunswick,Two-year-cycle spruce budworm,0
2012,New Brunswick,Western spruce budworm,0
2013,New Brunswick,Aspen twoleaf tier,0
2013,New Brunswick,Balsam fir sawfly,0
2013,New Brunswick,Blackheaded budworm,0
2013,New Brunswick,Bruce spanworm,0
2013,New Brunswick,Forest tent caterpillar,4000
2013,New Brunswick,Hemlock looper,0
2013,New Brunswick,Jack pine budworm,0
2013,New Brunswick,Large aspen tortrix,0
2013,New Brunswick,Mountain pine beetle,0
2013,New Brunswick,Spongy moth,0
2013,New Brunswick,Spruce beetle,0
2013,New Brunswick,Spruce budworm,0
2013,New Brunswick,Swaine jack pine sawfly,0
2013,New Brunswick,Two-year-cycle spruce budworm,0
2013,New Brunswick,Western spruce budworm,0
2014,New Brunswick,Aspen twoleaf tier,0
2014,New Brunswick,Balsam fir sawfly,0
2014,New Brunswick,Blackheaded budworm,0
2014,New Brunswick,Bruce spanworm,0
2014,New Brunswick,Forest tent caterpillar,0
2014,New Brunswick,Hemlock looper,0
2014,New Brunswick,Jack pine budworm,0
2014,New Brunswick,Large aspen tortrix,0
2014,New Brunswick,Mountain pine beetle,0
2014,New Brunswick,Spongy moth,0
2014,New Brunswick,Spruce beetle,0
2014,New Brunswick,Spruce budworm,0
2014,New Brunswick,Swaine jack pine sawfly,0
2014,New Brunswick,Two-year-cycle spruce budworm,0
2014,New Brunswick,Western spruce budworm,0
2015,New Brunswick,Aspen twoleaf tier,0
2015,New Brunswick,Balsam fir sawfly,0
2015,New Brunswick,Blackheaded budworm,0
2015,New Brunswick,Bruce spanworm,0
2015,New Brunswick,Forest tent caterpillar,0
2015,New Brunswick,Hemlock looper,0
2015,New Brunswick,Jack pine budworm,0
2015,New Brunswick,Large aspen tortrix,0
2015,New Brunswick,Mountain pine beetle,0
2015,New Brunswick,Spongy moth,0
2015,New Brunswick,Spruce beetle,0
2015,New Brunswick,Spruce budworm,0
2015,New Brunswick,Swaine jack pine sawfly,0
2015,New Brunswick,Two-year-cycle spruce budworm,0
2015,New Brunswick,Western spruce budworm,0
2016,New Brunswick,Aspen twoleaf tier,0
2016,New Brunswick,Balsam fir sawfly,0
2016,New Brunswick,Blackheaded budworm,0
2016,New Brunswick,Bruce spanworm,0
2016,New Brunswick,Forest tent caterpillar,0
2016,New Brunswick,Hemlock looper,0
2016,New Brunswick,Jack pine budworm,0
2016,New Brunswick,Large aspen tortrix,0
2016,New Brunswick,Mountain pine beetle,0
2016,New Brunswick,Spongy moth,0
2016,New Brunswick,Spruce beetle,0
2016,New Brunswick,Spruce budworm,0
2016,New Brunswick,Swaine jack pine sawfly,0
2016,New Brunswick,Two-year-cycle spruce budworm,0
2016,New Brunswick,Western spruce budworm,0
2017,New Brunswick,Aspen twoleaf tier,0
2017,New Brunswick,Balsam fir sawfly,0
2017,New Brunswick,Blackheaded budworm,0
2017,New Brunswick,Bruce spanworm,0
2017,New Brunswick,Forest tent caterpillar,0
2017,New Brunswick,Hemlock looper,0
2017,New Brunswick,Jack pine budworm,0
2017,New Brunswick,Large aspen tortrix,0
2017,New Brunswick,Mountain pine beetle,0
2017,New Brunswick,Spongy moth,0
2017,New Brunswick,Spruce beetle,0
2017,New Brunswick,Spruce budworm,875
2017,New Brunswick,Swaine jack pine sawfly,0
2017,New Brunswick,Two-year-cycle spruce budworm,0
2017,New Brunswick,Western spruce budworm,0
2018,New Brunswick,Aspen twoleaf tier,0
2018,New Brunswick,Balsam fir sawfly,0
2018,New Brunswick,Blackheaded budworm,0
2018,New Brunswick,Bruce spanworm,0
2018,New Brunswick,Forest tent caterpillar,0
2018,New Brunswick,Hemlock looper,0
2018,New Brunswick,Jack pine budworm,0
2018,New Brunswick,Large aspen tortrix,0
2018,New Brunswick,Mountain pine beetle,0
2018,New Brunswick,Spongy moth,0
2018,New Brunswick,Spruce beetle,0
2018,New Brunswick,Spruce budworm,440
2018,New Brunswick,Swaine jack pine sawfly,0
2018,New Brunswick,Two-year-cycle spruce budworm,0
2018,New Brunswick,Western spruce budworm,0
2019,New Brunswick,Aspen twoleaf tier,0
2019,New Brunswick,Balsam fir sawfly,0
2019,New Brunswick,Blackheaded budworm,0
2019,New Brunswick,Bruce spanworm,0
2019,New Brunswick,Forest tent caterpillar,0
2019,New Brunswick,Hemlock looper,0
2019,New Brunswick,Jack pine budworm,0
2019,New Brunswick,Large aspen tortrix,0
2019,New Brunswick,Mountain pine beetle,0
2019,New Brunswick,Spongy moth,0
2019,New Brunswick,Spruce beetle,0
2019,New Brunswick,Spruce budworm,0
2019,New Brunswick,Swaine jack pine sawfly,0
2019,New Brunswick,Two-year-cycle spruce budworm,0
2019,New Brunswick,Western spruce budworm,0
2020,New Brunswick,Aspen twoleaf tier,0
2020,New Brunswick,Balsam fir sawfly,0
2020,New Brunswick,Blackheaded budworm,0
2020,New Brunswick,Bruce spanworm,0
2020,New Brunswick,Forest tent caterpillar,0
2020,New Brunswick,Hemlock looper,0
2020,New Brunswick,Jack pine budworm,0
2020,New Brunswick,Large aspen tortrix,0
2020,New Brunswick,Mountain pine beetle,0
2020,New Brunswick,Spongy moth,0
2020,New Brunswick,Spruce beetle,0
2020,New Brunswick,Spruce budworm,0
2020,New Brunswick,Swaine jack pine sawfly,0
2020,New Brunswick,Two-year-cycle spruce budworm,0
2020,New Brunswick,Western spruce budworm,0
2021,New Brunswick,Aspen twoleaf tier,0
2021,New Brunswick,Balsam fir sawfly,0
2021,New Brunswick,Blackheaded budworm,0
2021,New Brunswick,Bruce spanworm,0
2021,New Brunswick,Forest tent caterpillar,0
2021,New Brunswick,Hemlock looper,0
2021,New Brunswick,Jack pine budworm,0
2021,New Brunswick,Large aspen tortrix,0
2021,New Brunswick,Mountain pine beetle,0
2021,New Brunswick,Spongy moth,0
2021,New Brunswick,Spruce beetle,0
2021,New Brunswick,Spruce budworm,0
2021,New Brunswick,Swaine jack pine sawfly,0
2021,New Brunswick,Two-year-cycle spruce budworm,0
2021,New Brunswick,Western spruce budworm,0
2022,New Brunswick,Aspen twoleaf tier,0
2022,New Brunswick,Balsam fir sawfly,0
2022,New Brunswick,Blackheaded budworm,0
2022,New Brunswick,Bruce spanworm,0
2022,New Brunswick,Forest tent caterpillar,2100
2022,New Brunswick,Hemlock looper,0
2022,New Brunswick,Jack pine budworm,0
2022,New Brunswick,Large aspen tortrix,0
2022,New Brunswick,Mountain pine beetle,0
2022,New Brunswick,Spongy moth,0
2022,New Brunswick,Spruce beetle,100
2022,New Brunswick,Spruce budworm,1200
2022,New Brunswick,Swaine jack pine sawfly,0
2022,New Brunswick,Two-year-cycle spruce budworm,0
2022,New Brunswick,Western spruce budworm,0
2023,New Brunswick,Aspen twoleaf tier,0
2023,New Brunswick,Balsam fir sawfly,0
2023,New Brunswick,Blackheaded budworm,0
2023,New Brunswick,Bruce spanworm,0
2023,New Brunswick,Forest tent caterpillar,7500
2023,New Brunswick,Hemlock looper,0
2023,New Brunswick,Jack pine budworm,0
2023,New Brunswick,Large aspen tortrix,0
2023,New Brunswick,Mountain pine beetle,0
2023,New Brunswick,Spongy moth,0
2023,New Brunswick,Spruce beetle,0
2023,New Brunswick,Spruce budworm,100
2023,New Brunswick,Swaine jack pine sawfly,0
2023,New Brunswick,Two-year-cycle spruce budworm,0
2023,New Brunswick,Western spruce budworm,0
2010,Newfoundland and Labrador,Aspen twoleaf tier,0
2010,Newfoundland and Labrador,Balsam fir sawfly,4709
2010,Newfoundland and Labrador,Blackheaded budworm,0
2010,Newfoundland and Labrador,Bruce spanworm,0
2010,Newfoundland and Labrador,Forest tent caterpillar,0
2010,Newfoundland and Labrador,Hemlock looper,2210
2010,Newfoundland and Labrador,Jack pine budworm,0
2010,Newfoundland and Labrador,Large aspen tortrix,0
2010,Newfoundland and Labrador,Mountain pine beetle,0
2010,Newfoundland and Labrador,Spongy moth,0
2010,Newfoundland and Labrador,Spruce beetle,34841
2010,Newfoundland and Labrador,Spruce budworm,58012
2010,Newfoundland and Labrador,Swaine jack pine sawfly,0
2010,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2010,Newfoundland and Labrador,Western spruce budworm,0
2011,Newfoundland and Labrador,Aspen twoleaf tier,0
2011,Newfoundland and Labrador,Balsam fir sawfly,12937
2011,Newfoundland and Labrador,Blackheaded budworm,0
2011,Newfoundland and Labrador,Bruce spanworm,0
2011,Newfoundland and Labrador,Forest tent caterpillar,0
2011,Newfoundland and Labrador,Hemlock looper,0
2011,Newfoundland and Labrador,Jack pine budworm,0
2011,Newfoundland and Labrador,Large aspen tortrix,0
2011,Newfoundland and Labrador,Mountain pine beetle,0
2011,Newfoundland and Labrador,Spongy moth,0
2011,Newfoundland and Labrador,Spruce beetle,41097
2011,Newfoundland and Labrador,Spruce budworm,21790
2011,Newfoundland and Labrador,Swaine jack pine sawfly,0
2011,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2011,Newfoundland and Labrador,Western spruce budworm,0
2012,Newfoundland and Labrador,Aspen twoleaf tier,0
2012,Newfoundland and Labrador,Balsam fir sawfly,536
2012,Newfoundland and Labrador,Blackheaded budworm,0
2012,Newfoundland and Labrador,Bruce spanworm,0
2012,Newfoundland and Labrador,Forest tent caterpillar,0
2012,Newfoundland and Labrador,Hemlock looper,0
2012,Newfoundland and Labrador,Jack pine budworm,0
2012,Newfoundland and Labrador,Large aspen tortrix,0
2012,Newfoundland and Labrador,Mountain pine beetle,0
2012,Newfoundland and Labrador,Spongy moth,0
2012,Newfoundland and Labrador,Spruce beetle,0
2012,Newfoundland and Labrador,Spruce budworm,33255
2012,Newfoundland and Labrador,Swaine jack pine sawfly,0
2012,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2012,Newfoundland and Labrador,Western spruce budworm,0
2013,Newfoundland and Labrador,Aspen twoleaf tier,0
2013,Newfoundland and Labrador,Balsam fir sawfly,1492
2013,Newfoundland and Labrador,Blackheaded budworm,0
2013,Newfoundland and Labrador,Bruce spanworm,0
2013,Newfoundland and Labrador,Forest tent caterpillar,0
2013,Newfoundland and Labrador,Hemlock looper,0
2013,Newfoundland and Labrador,Jack pine budworm,0
2013,Newfoundland and Labrador,Large aspen tortrix,0
2013,Newfoundland and Labrador,Mountain pine beetle,0
2013,Newfoundland and Labrador,Spongy moth,0
2013,Newfoundland and Labrador,Spruce beetle,7848
2013,Newfoundland and Labrador,Spruce budworm,55045
2013,Newfoundland and Labrador,Swaine jack pine sawfly,0
2013,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2013,Newfoundland and Labrador,Western spruce budworm,0
2014,Newfoundland and Labrador,Aspen twoleaf tier,0
2014,Newfoundland and Labrador,Balsam fir sawfly,0
2014,Newfoundland and Labrador,Blackheaded budworm,0
2014,Newfoundland and Labrador,Bruce spanworm,0
2014,Newfoundland and Labrador,Forest tent caterpillar,0
2014,Newfoundland and Labrador,Hemlock looper,3083
2014,Newfoundland and Labrador,Jack pine budworm,0
2014,Newfoundland and Labrador,Large aspen tortrix,0
2014,Newfoundland and Labrador,Mountain pine beetle,0
2014,Newfoundland and Labrador,Spongy moth,0
2014,Newfoundland and Labrador,Spruce beetle,46839
2014,Newfoundland and Labrador,Spruce budworm,50767
2014,Newfoundland and Labrador,Swaine jack pine sawfly,0
2014,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2014,Newfoundland and Labrador,Western spruce budworm,0
2015,Newfoundland and Labrador,Aspen twoleaf tier,0
2015,Newfoundland and Labrador,Balsam fir sawfly,0
2015,Newfoundland and Labrador,Blackheaded budworm,0
2015,Newfoundland and Labrador,Bruce spanworm,0
2015,Newfoundland and Labrador,Forest tent caterpillar,0
2015,Newfoundland and Labrador,Hemlock looper,2730
2015,Newfoundland and Labrador,Jack pine budworm,0
2015,Newfoundland and Labrador,Large aspen tortrix,0
2015,Newfoundland and Labrador,Mountain pine beetle,0
2015,Newfoundland and Labrador,Spongy moth,0
2015,Newfoundland and Labrador,Spruce beetle,46839
2015,Newfoundland and Labrador,Spruce budworm,36352
2015,Newfoundland and Labrador,Swaine jack pine sawfly,0
2015,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2015,Newfoundland and Labrador,Western spruce budworm,0
2016,Newfoundland and Labrador,Aspen twoleaf tier,0
2016,Newfoundland and Labrador,Balsam fir sawfly,0
2016,Newfoundland and Labrador,Blackheaded budworm,0
2016,Newfoundland and Labrador,Bruce spanworm,0
2016,Newfoundland and Labrador,Forest tent caterpillar,0
2016,Newfoundland and Labrador,Hemlock looper,3897
2016,Newfoundland and Labrador,Jack pine budworm,0
2016,Newfoundland and Labrador,Large aspen tortrix,0
2016,Newfoundland and Labrador,Mountain pine beetle,0
2016,Newfoundland and Labrador,Spongy moth,0
2016,Newfoundland and Labrador,Spruce beetle,0
2016,Newfoundland and Labrador,Spruce budworm,34520
2016,Newfoundland and Labrador,Swaine jack pine sawfly,0
2016,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2016,Newfoundland and Labrador,Western spruce budworm,0
2017,Newfoundland and Labrador,Aspen twoleaf tier,0
2017,Newfoundland and Labrador,Balsam fir sawfly,0
2017,Newfoundland and Labrador,Blackheaded budworm,0
2017,Newfoundland and Labrador,Bruce spanworm,0
2017,Newfoundland and Labrador,Forest tent caterpillar,0
2017,Newfoundland and Labrador,Hemlock looper,1443
2017,Newfoundland and Labrador,Jack pine budworm,0
2017,Newfoundland and Labrador,Large aspen tortrix,0
2017,Newfoundland and Labrador,Mountain pine beetle,0
2017,Newfoundland and Labrador,Spongy moth,0
2017,Newfoundland and Labrador,Spruce beetle,0
2017,Newfoundland and Labrador,Spruce budworm,430
2017,Newfoundland and Labrador,Swaine jack pine sawfly,0
2017,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2017,Newfoundland and Labrador,Western spruce budworm,0
2018,Newfoundland and Labrador,Aspen twoleaf tier,0
2018,Newfoundland and Labrador,Balsam fir sawfly,0
2018,Newfoundland and Labrador,Blackheaded budworm,0
2018,Newfoundland and Labrador,Bruce spanworm,0
2018,Newfoundland and Labrador,Forest tent caterpillar,0
2018,Newfoundland and Labrador,Hemlock looper,343
2018,Newfoundland and Labrador,Jack pine budworm,0
2018,Newfoundland and Labrador,Large aspen tortrix,0
2018,Newfoundland and Labrador,Mountain pine beetle,0
2018,Newfoundland and Labrador,Spongy moth,0
2018,Newfoundland and Labrador,Spruce beetle,0
2018,Newfoundland and Labrador,Spruce budworm,0
2018,Newfoundland and Labrador,Swaine jack pine sawfly,0
2018,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2018,Newfoundland and Labrador,Western spruce budworm,0
2019,Newfoundland and Labrador,Aspen twoleaf tier,0
2019,Newfoundland and Labrador,Balsam fir sawfly,0
2019,Newfoundland and Labrador,Blackheaded budworm,0
2019,Newfoundland and Labrador,Bruce spanworm,0
2019,Newfoundland and Labrador,Forest tent caterpillar,0
2019,Newfoundland and Labrador,Hemlock looper,0
2019,Newfoundland and Labrador,Jack pine budworm,0
2019,Newfoundland and Labrador,Large aspen tortrix,0
2019,Newfoundland and Labrador,Mountain pine beetle,0
2019,Newfoundland and Labrador,Spongy moth,0
2019,Newfoundland and Labrador,Spruce beetle,0
2019,Newfoundland and Labrador,Spruce budworm,0
2019,Newfoundland and Labrador,Swaine jack pine sawfly,0
2019,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2019,Newfoundland and Labrador,Western spruce budworm,0
2020,Newfoundland and Labrador,Aspen twoleaf tier,0
2020,Newfoundland and Labrador,Balsam fir sawfly,55
2020,Newfoundland and Labrador,Blackheaded budworm,0
2020,Newfoundland and Labrador,Bruce spanworm,0
2020,Newfoundland and Labrador,Forest tent caterpillar,0
2020,Newfoundland and Labrador,Hemlock looper,159
2020,Newfoundland and Labrador,Jack pine budworm,0
2020,Newfoundland and Labrador,Large aspen tortrix,0
2020,Newfoundland and Labrador,Mountain pine beetle,0
2020,Newfoundland and Labrador,Spongy moth,0
2020,Newfoundland and Labrador,Spruce beetle,0
2020,Newfoundland and Labrador,Spruce budworm,3319
2020,Newfoundland and Labrador,Swaine jack pine sawfly,0
2020,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2020,Newfoundland and Labrador,Western spruce budworm,0
2021,Newfoundland and Labrador,Aspen twoleaf tier,0
2021,Newfoundland and Labrador,Balsam fir sawfly,0
2021,Newfoundland and Labrador,Blackheaded budworm,0
2021,Newfoundland and Labrador,Bruce spanworm,0
2021,Newfoundland and Labrador,Forest tent caterpillar,0
2021,Newfoundland and Labrador,Hemlock looper,799
2021,Newfoundland and Labrador,Jack pine budworm,0
2021,Newfoundland and Labrador,Large aspen tortrix,0
2021,Newfoundland and Labrador,Mountain pine beetle,0
2021,Newfoundland and Labrador,Spongy moth,0
2021,Newfoundland and Labrador,Spruce beetle,0
2021,Newfoundland and Labrador,Spruce budworm,65701
2021,Newfoundland and Labrador,Swaine jack pine sawfly,0
2021,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2021,Newfoundland and Labrador,Western spruce budworm,0
2022,Newfoundland and Labrador,Aspen twoleaf tier,0
2022,Newfoundland and Labrador,Balsam fir sawfly,0
2022,Newfoundland and Labrador,Blackheaded budworm,0
2022,Newfoundland and Labrador,Bruce spanworm,0
2022,Newfoundland and Labrador,Forest tent caterpillar,0
2022,Newfoundland and Labrador,Hemlock looper,0
2022,Newfoundland and Labrador,Jack pine budworm,0
2022,Newfoundland and Labrador,Large aspen tortrix,0
2022,Newfoundland and Labrador,Mountain pine beetle,0
2022,Newfoundland and Labrador,Spongy moth,0
2022,Newfoundland and Labrador,Spruce beetle,0
2022,Newfoundland and Labrador,Spruce budworm,167209
2022,Newfoundland and Labrador,Swaine jack pine sawfly,0
2022,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2022,Newfoundland and Labrador,Western spruce budworm,0
2023,Newfoundland and Labrador,Aspen twoleaf tier,0
2023,Newfoundland and Labrador,Balsam fir sawfly,0
2023,Newfoundland and Labrador,Blackheaded budworm,0
2023,Newfoundland and Labrador,Bruce spanworm,0
2023,Newfoundland and Labrador,Forest tent caterpillar,0
2023,Newfoundland and Labrador,Hemlock looper,0
2023,Newfoundland and Labrador,Jack pine budworm,0
2023,Newfoundland and Labrador,Large aspen tortrix,0
2023,Newfoundland and Labrador,Mountain pine beetle,0
2023,Newfoundland and Labrador,Spongy moth,0
2023,Newfoundland and Labrador,Spruce beetle,0
2023,Newfoundland and Labrador,Spruce budworm,73356
2023,Newfoundland and Labrador,Swaine jack pine sawfly,0
2023,Newfoundland and Labrador,Two-year-cycle spruce budworm,0
2023,Newfoundland and Labrador,Western spruce budworm,0
2010,Northwest Territories,Aspen twoleaf tier,0
2010,Northwest Territories,Balsam fir sawfly,0
2010,Northwest Territories,Blackheaded budworm,0
2010,Northwest Territories,Bruce spanworm,0
2010,Northwest Territories,Forest tent caterpillar,0
