Year,Jurisdiction,Sector,Employees
2003,Ontario,Paper manufacturing,35243
2003,Ontario,Support activities for forestry,1224
2003,Ontario,Wood product manufacturing,28439
2003,Prince Edward Island,Forestry and logging,0
2003,Prince Edward Island,Paper manufacturing,0
2003,Prince Edward Island,Support activities for forestry,0
2003,Prince Edward Island,Wood product manufacturing,0
2003,Quebec,Forestry and logging,14257
2003,Quebec,Paper manufacturing,31690
2003,Quebec,Support activities for forestry,4286
2003,Quebec,Wood product manufacturing,43417
2003,Saskatchewan,Forestry and logging,784
2003,Saskatchewan,Paper manufacturing,1040
2003,Saskatchewan,Support activities for forestry,648
2003,Saskatchewan,Wood product manufacturing,1458
2003,Yukon,Forestry and logging,0
2003,Yukon,Paper manufacturing,0
2003,Yukon,Support activities for forestry,0
2003,Yukon,Wood product manufacturing,0
2004,Canada,Forestry and logging,47994
2004,Canada,Paper manufacturing,93718
2004,Canada,Support activities for forestry,13503
2004,Canada,Wood product manufacturing,138402
2004,Alberta,Forestry and logging,2930
2004,Alberta,Paper manufacturing,3336
2004,Alberta,Support activities for forestry,1539
2004,Alberta,Wood product manufacturing,11561
2004,British Columbia,Forestry and logging,17756
2004,British Columbia,Paper manufacturing,13214
2004,British Columbia,Support activities for forestry,4409
2004,British Columbia,Wood product manufacturing,36513
2004,Manitoba,Forestry and logging,0
2004,Manitoba,Paper manufacturing,1740
2004,Manitoba,Support activities for forestry,0
2004,Manitoba,Wood product manufacturing,4913
2004,New Brunswick,Forestry and logging,0
2004,New Brunswick,Paper manufacturing,5862
2004,New Brunswick,Support activities for forestry,0
2004,New Brunswick,Wood product manufacturing,6594
2004,Newfoundland and Labrador,Forestry and logging,0
2004,Newfoundland and Labrador,Paper manufacturing,0
2004,Newfoundland and Labrador,Support activities for forestry,0
2004,Newfoundland and Labrador,Wood product manufacturing,0
2004,Northwest Territories,Forestry and logging,0
2004,Northwest Territories,Paper manufacturing,0
2004,Northwest Territories,Support activities for forestry,0
2004,Northwest Territories,Wood product manufacturing,0
2004,Nova Scotia,Forestry and logging,0
2004,Nova Scotia,Paper manufacturing,2325
2004,Nova Scotia,Support activities for forestry,399
2004,Nova Scotia,Wood product manufacturing,2758
2004,Nunavut,Forestry and logging,0
2004,Nunavut,Paper manufacturing,0
2004,Nunavut,Support activities for forestry,0
2004,Nunavut,Wood product manufacturing,0
2004,Ontario,Forestry and logging,6805
2004,Ontario,Paper manufacturing,34013
2004,Ontario,Support activities for forestry,1160
2004,Ontario,Wood product manufacturing,27883
2004,Prince Edward Island,Forestry and logging,0
2004,Prince Edward Island,Paper manufacturing,0
2004,Prince Edward Island,Support activities for forestry,0
2004,Prince Edward Island,Wood product manufacturing,0
2004,Quebec,Forestry and logging,14140
2004,Quebec,Paper manufacturing,30213
2004,Quebec,Support activities for forestry,3606
2004,Quebec,Wood product manufacturing,45655
2004,Saskatchewan,Forestry and logging,818
2004,Saskatchewan,Paper manufacturing,1049
2004,Saskatchewan,Support activities for forestry,707
2004,Saskatchewan,Wood product manufacturing,1634
2004,Yukon,Forestry and logging,0
2004,Yukon,Paper manufacturing,0
2004,Yukon,Support activities for forestry,0
2004,Yukon,Wood product manufacturing,0
2005,Canada,Forestry and logging,45727
2005,Canada,Paper manufacturing,87689
2005,Canada,Support activities for forestry,13416
2005,Canada,Wood product manufacturing,136555
2005,Alberta,Forestry and logging,3049
2005,Alberta,Paper manufacturing,3431
2005,Alberta,Support activities for forestry,1598
2005,Alberta,Wood product manufacturing,12017
2005,British Columbia,Forestry and logging,16517
2005,British Columbia,Paper manufacturing,12260
2005,British Columbia,Support activities for forestry,4128
2005,British Columbia,Wood product manufacturing,35936
2005,Manitoba,Forestry and logging,0
2005,Manitoba,Paper manufacturing,1908
2005,Manitoba,Support activities for forestry,0
2005,Manitoba,Wood product manufacturing,4899
2005,New Brunswick,Forestry and logging,0
2005,New Brunswick,Paper manufacturing,4055
2005,New Brunswick,Support activities for forestry,0
2005,New Brunswick,Wood product manufacturing,6032
2005,Newfoundland and Labrador,Forestry and logging,807
2005,Newfoundland and Labrador,Paper manufacturing,0
2005,Newfoundland and Labrador,Support activities for forestry,0
2005,Newfoundland and Labrador,Wood product manufacturing,513
2005,Northwest Territories,Forestry and logging,0
2005,Northwest Territories,Paper manufacturing,0
2005,Northwest Territories,Support activities for forestry,0
2005,Northwest Territories,Wood product manufacturing,0
2005,Nova Scotia,Forestry and logging,0
2005,Nova Scotia,Paper manufacturing,1858
2005,Nova Scotia,Support activities for forestry,0
2005,Nova Scotia,Wood product manufacturing,2748
2005,Nunavut,Forestry and logging,0
2005,Nunavut,Paper manufacturing,0
2005,Nunavut,Support activities for forestry,0
2005,Nunavut,Wood product manufacturing,0
2005,Ontario,Forestry and logging,6459
2005,Ontario,Paper manufacturing,31240
2005,Ontario,Support activities for forestry,1207
2005,Ontario,Wood product manufacturing,27446
