Year,Jurisdiction,Area (hectares)
2015,Yukon,0
2016,Canada,432291
2016,Alberta,65227
2016,British Columbia,191060
2016,Manitoba,3436
2016,New Brunswick,17625
2016,Newfoundland and Labrador,3721
2016,Northwest Territories,0
2016,Nova Scotia,5024
2016,Nunavut,0
2016,Ontario,49154
2016,Prince Edward Island,317
2016,Quebec,88538
2016,Saskatchewan,8182
2016,Yukon,7
2017,Canada,440884
2017,Alberta,73183
2017,British Columbia,221770
2017,Manitoba,2854
2017,New Brunswick,15340
2017,Newfoundland and Labrador,3469
2017,Northwest Territories,0
2017,Nova Scotia,5059
2017,Nunavut,0
2017,Ontario,49063
2017,Prince Edward Island,309
2017,Quebec,62539
2017,Saskatchewan,7292
2017,Yukon,6
2018,Canada,434183
2018,Alberta,74428
2018,British Columbia,214134
2018,Manitoba,2010
2018,New Brunswick,11505
2018,Newfoundland and Labrador,3331
2018,Northwest Territories,0
2018,Nova Scotia,5142
2018,Nunavut,0
2018,Ontario,47829
2018,Prince Edward Island,273
2018,Quebec,69799
2018,Saskatchewan,5732
2018,Yukon,0
2019,Canada,448384
2019,Alberta,77920
2019,British Columbia,224835
2019,Manitoba,3353
2019,New Brunswick,12384
2019,Newfoundland and Labrador,3201
2019,Northwest Territories,0
2019,Nova Scotia,5521
2019,Ontario,47296
2019,Prince Edward Island,322
2019,Quebec,68043
2019,Saskatchewan,5509
2019,Yukon,0
2020,Canada,434987
2020,Alberta,79898
2020,British Columbia,211035
2020,Manitoba,3412
2020,New Brunswick,12384
2020,Newfoundland and Labrador,3433
2020,Northwest Territories,0
2020,Nova Scotia,5386
2020,Ontario,43141
2020,Prince Edward Island,369
2020,Quebec,69960
2020,Saskatchewan,5955
2020,Yukon,14
2021,Canada,459791
2021,Alberta,91824
2021,British Columbia,207163
2021,Manitoba,3797
2021,New Brunswick,12384
2021,Newfoundland and Labrador,2362
2021,Northwest Territories,14
2021,Nova Scotia,6022
2021,Ontario,59508
2021,Prince Edward Island,466
2021,Quebec,69322
2021,Saskatchewan,6833
2021,Yukon,95
2022,Canada,415471
2022,Alberta,84742
2022,British Columbia,184450
2022,Manitoba,0
2022,New Brunswick,10778
2022,Newfoundland and Labrador,3703
2022,Northwest Territories,0
2022,Nova Scotia,4932
2022,Ontario,51499
2022,Prince Edward Island,359
2022,Quebec,69109
2022,Saskatchewan,5823
2022,Yukon,76
2023,Canada,407819
2023,Alberta,75887
2023,British Columbia,187292
2023,Manitoba,3088
2023,New Brunswick,10778
2023,Newfoundland and Labrador,2880
2023,Northwest Territories,0
2023,Nova Scotia,4535
2023,Ontario,47951
2023,Prince Edward Island,401
2023,Quebec,69109
2023,Saskatchewan,5823
2023,Yukon,76
