Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2007,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7318826
2007,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),10619520
2007,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),727279
2007,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),6522023
2007,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),786026
2007,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),779176
2007,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),44968335
2007,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),263758208
2008,Canada,Exports,Primary Wood Products,Logs (cubic metres),2721224
2008,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),178354
2008,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),5762374
2008,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),6623475
2008,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9604248
2008,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),488724
2008,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),3541892
2008,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),650985
2008,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),621192
2008,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),32960650
2008,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),207008524
2009,Canada,Exports,Primary Wood Products,Logs (cubic metres),2683051
2009,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),184525
2009,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),3754982
2009,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),5650784
2009,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),8278920
2009,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),343401
2009,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2696932
2009,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),571826
2009,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),321964
2009,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),25941267
2009,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),162101104
2010,Canada,Exports,Primary Wood Products,Logs (cubic metres),3879772
2010,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),223701
2010,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),4228570
2010,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),5344430
2010,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9316119
2010,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),512124
2010,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2890709
2010,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),701504
2010,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),305393
2010,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),30364279
2010,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),163966657
2011,Canada,Exports,Primary Wood Products,Logs (cubic metres),5444470
2011,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),325037
2011,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),4168773
2011,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4967033
2011,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9675844
2011,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),377807
2011,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),3073596
2011,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),686493
2011,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),379849
2011,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),33090348
2011,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),183989118
2012,Canada,Exports,Primary Wood Products,Logs (cubic metres),5787769
2012,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),418645
2012,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),3496637
2012,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4438947
2012,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9914534
2012,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),485535
2012,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),3379798
2012,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),812408
2012,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),307041
