Year,Jurisdiction,Housing starts (total units)
2014,Nova Scotia,3056
2014,Ontario,59134
2014,Prince Edward Island,511
2014,Quebec,38810
2014,Saskatchewan,8257
2015,Canada,195535
2015,Alberta,37282
2015,British Columbia,31446
2015,Manitoba,5501
2015,New Brunswick,1995
2015,Newfoundland and Labrador,1697
2015,Nova Scotia,3825
2015,Ontario,70156
2015,Prince Edward Island,558
2015,Quebec,37926
2015,Saskatchewan,5149
2016,Canada,197916
2016,Alberta,24533
2016,British Columbia,41843
2016,Manitoba,5319
2016,New Brunswick,1838
2016,Newfoundland and Labrador,1398
2016,Nova Scotia,3767
2016,Ontario,74952
2016,Prince Edward Island,556
2016,Quebec,38935
2016,Saskatchewan,4775
2017,Canada,219763
2017,Alberta,29457
2017,British Columbia,43664
2017,Manitoba,7501
2017,New Brunswick,2324
2017,Newfoundland and Labrador,1400
2017,Nova Scotia,3984
2017,Ontario,79123
2017,Prince Edward Island,911
2017,Quebec,46495
2017,Saskatchewan,4904
2018,Canada,212843
2018,Alberta,26085
2018,British Columbia,40857
2018,Manitoba,7376
2018,New Brunswick,2328
2018,Newfoundland and Labrador,1096
2018,Nova Scotia,4786
2018,Ontario,78742
2018,Prince Edward Island,1089
2018,Quebec,46874
2018,Saskatchewan,3610
2019,Canada,208685
2019,Alberta,27325
2019,British Columbia,44932
2019,Manitoba,6946
2019,New Brunswick,2935
2019,Newfoundland and Labrador,945
2019,Nova Scotia,4719
2019,Ontario,68985
2019,Prince Edward Island,1504
2019,Quebec,47967
2019,Saskatchewan,2427
2020,Canada,217880
2020,Alberta,24023
2020,British Columbia,37734
2020,Manitoba,7314
2020,New Brunswick,3483
2020,Newfoundland and Labrador,763
2020,Nova Scotia,4865
2020,Ontario,81305
2020,Prince Edward Island,1240
2020,Quebec,54066
2020,Saskatchewan,3087
2021,Canada,271198
2021,Alberta,31935
2021,British Columbia,47607
2021,Manitoba,8023
2021,New Brunswick,3829
2021,Newfoundland and Labrador,1021
2021,Nova Scotia,5975
2021,Ontario,99566
2021,Prince Edward Island,1260
2021,Quebec,67810
2021,Saskatchewan,4172
2022,Canada,261849
2022,Alberta,36544
2022,British Columbia,46721
2022,Manitoba,8095
2022,New Brunswick,4680
2022,Newfoundland and Labrador,1379
2022,Nova Scotia,5714
2022,Ontario,96080
2022,Prince Edward Island,1318
2022,Quebec,57107
2022,Saskatchewan,4211
2023,Canada,240267
2023,Alberta,36022
2023,British Columbia,50490
2023,Manitoba,7104
