Year,Jurisdiction,Area (hectares)
2015,Quebec,202054
2015,Saskatchewan,21265
2015,Yukon,150
2016,Canada,793989
2016,Alberta,89381
2016,British Columbia,207607
2016,Manitoba,8563
2016,New Brunswick,81439
2016,Newfoundland and Labrador,7881
2016,Northwest Territories,390
2016,Nova Scotia,34075
2016,Nunavut,0
2016,Ontario,138222
2016,Prince Edward Island,2919
2016,Quebec,202124
2016,Saskatchewan,21119
2016,Yukon,270
2017,Canada,799932
2017,Alberta,91347
2017,British Columbia,203411
2017,Manitoba,9643
2017,New Brunswick,80719
2017,Newfoundland and Labrador,7586
2017,Northwest Territories,530
2017,Nova Scotia,28550
2017,Nunavut,0
2017,Ontario,138640
2017,Prince Edward Island,2777
2017,Quebec,216383
2017,Saskatchewan,20246
2017,Yukon,100
2018,Canada,797453
2018,Alberta,92373
2018,British Columbia,199998
2018,Manitoba,9439
2018,New Brunswick,74586
2018,Newfoundland and Labrador,8623
2018,Northwest Territories,417
2018,Nova Scotia,31800
2018,Nunavut,0
2018,Ontario,127272
2018,Prince Edward Island,2241
2018,Quebec,227945
2018,Saskatchewan,22659
2018,Yukon,100
2019,Canada,769631
2019,Alberta,105685
2019,British Columbia,155712
2019,Manitoba,9721
2019,New Brunswick,79097
2019,Newfoundland and Labrador,7807
2019,Northwest Territories,440
2019,Nova Scotia,34118
2019,Ontario,132016
2019,Prince Edward Island,2852
2019,Quebec,219116
2019,Saskatchewan,22909
2019,Yukon,158
2020,Canada,744842
2020,Alberta,96317
2020,British Columbia,155443
2020,Manitoba,8946
2020,New Brunswick,79047
2020,Newfoundland and Labrador,7509
2020,Northwest Territories,334
2020,Nova Scotia,25331
2020,Ontario,125456
2020,Prince Edward Island,2652
2020,Quebec,221709
2020,Saskatchewan,21796
2020,Yukon,302
2021,Canada,725098
2021,Alberta,85873
2021,British Columbia,142943
2021,Manitoba,7992
2021,New Brunswick,79047
2021,Newfoundland and Labrador,8247
2021,Northwest Territories,362
2021,Nova Scotia,27950
2021,Ontario,119512
2021,Prince Edward Island,2471
2021,Quebec,229344
2021,Saskatchewan,21183
2021,Yukon,173
2022,Canada,674819
2022,Alberta,91058
2022,British Columbia,112902
2022,Manitoba,9091
2022,New Brunswick,67253
2022,Newfoundland and Labrador,7659
2022,Northwest Territories,386
2022,Nova Scotia,28059
2022,Ontario,111544
2022,Prince Edward Island,2439
2022,Quebec,219809
2022,Saskatchewan,24389
2022,Yukon,230
2023,Canada,669812
2023,Alberta,105527
2023,British Columbia,91999
2023,Manitoba,9091
2023,New Brunswick,72959
2023,Newfoundland and Labrador,7654
2023,Northwest Territories,249
2023,Nova Scotia,21182
2023,Ontario,114172
2023,Prince Edward Island,2551
2023,Quebec,219809
2023,Saskatchewan,24389
2023,Yukon,230
