Year,Jurisdiction,Commodity Group,Exports,Imports,Production,Domestic consumption
2006,Canada,Wood pulp (tonnes),10898318,312505,23440000,12854187
2007,Canada,Hardwood lumber (cubic metres),727279,1076318,1858200,2207239
2007,Canada,Newsprint (tonnes),6030298,56864,6640000,666566
2007,Canada,Printing and writing paper (tonnes),4837951,1304256,5948000,2414305
2007,Canada,Softwood lumber (cubic metres),44968335,745584,70549200,26326449
2007,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",7301199,1051537,10180775,3931113
2007,Canada,Wood pulp (tonnes),10619520,708738,22106000,12195218
2008,Canada,Hardwood lumber (cubic metres),488724,1045370,1565700,2122346
2008,Canada,Newsprint (tonnes),5762374,74510,5993000,305136
2008,Canada,Printing and writing paper (tonnes),4367707,1192419,5266000,2090712
2008,Canada,Softwood lumber (cubic metres),32960650,900365,56002800,23942515
2008,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",4163084,2398205,6611088,4846209
2008,Canada,Wood pulp (tonnes),9604248,317588,20366000,11079340
2009,Canada,Hardwood lumber (cubic metres),343401,843724,1219000,1719323
2009,Canada,Newsprint (tonnes),3754982,63333,4378000,686351
2009,Canada,Printing and writing paper (tonnes),3657203,942086,4429000,1713883
2009,Canada,Softwood lumber (cubic metres),25941267,944169,44232500,19235402
2009,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",3018896,1029969,5385501,3396574
2009,Canada,Wood pulp (tonnes),8278920,245501,17095000,9061581
2010,Canada,Hardwood lumber (cubic metres),512124,1747087,1524000,2758963
2010,Canada,Newsprint (tonnes),4228570,73466,4639000,483896
2010,Canada,Printing and writing paper (tonnes),3310525,978243,4070000,1737718
2010,Canada,Softwood lumber (cubic metres),30364279,1210912,51915400,22762033
2010,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",3196102,1916591,5992543,4713032
2010,Canada,Wood pulp (tonnes),9316119,226552,18536000,9446433
2011,Canada,Hardwood lumber (cubic metres),377807,918225,1471100,2011518
2011,Canada,Newsprint (tonnes),4168773,63033,4382000,276260
2011,Canada,Printing and writing paper (tonnes),2977827,942234,3774000,1738407
2011,Canada,Softwood lumber (cubic metres),33090348,883886,51935000,19728538
2011,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",3453445,1772821,6247394,4566770
2011,Canada,Wood pulp (tonnes),9675844,222243,18287000,8833399
2012,Canada,Hardwood lumber (cubic metres),485535,1340372,1276300,2131137
2012,Canada,Newsprint (tonnes),3496637,66958,3874000,444321
2012,Canada,Printing and writing paper (tonnes),2688400,867647,3311000,1490247
2012,Canada,Softwood lumber (cubic metres),34559634,1752230,54544200,21736796
2012,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",3686839,1760457,6695153,4768771
2012,Canada,Wood pulp (tonnes),9914534,279269,17149000,7513735
2013,Canada,Hardwood lumber (cubic metres),469970,1115975,1388600,2034605
