Terrestrial ecozone,Predominant tree genus,Percentage
Taiga Cordillera,Larch,2.86143617175579e-03
Taiga Cordillera,Pine,8.81289850952362e-03
Taiga Cordillera,Poplar,2.80109769611455e-03
Taiga Cordillera,Spruce,0.920064283683664
Taiga Cordillera,Unclassified,0
Taiga Plains,Birch,2.04857627052242e-02
Taiga Plains,Fir,1.30053224062263e-03
Taiga Plains,Larch,1.27340120485964e-02
Taiga Plains,Pine,4.36564361425672e-02
Taiga Plains,Poplar,0.1747255179474
Taiga Plains,Spruce,0.74709773891559
Taiga Plains,Unclassified,0
Taiga Shield,Birch,4.38205983283995e-03
Taiga Shield,Fir,4.33073026797907e-03
Taiga Shield,Larch,1.52807146108476e-02
Taiga Shield,Maple,6.45654903910409e-07
Taiga Shield,Other hardwoods,1.48855738096545e-03
Taiga Shield,Pine,3.4505412202232e-02
Taiga Shield,Poplar,2.38695389701159e-02
Taiga Shield,Spruce,0.916136530185981
Taiga Shield,Unclassified,0
Taiga Shield,Unspecified conifers,5.81089413519368e-06
